,Proximity_to_Hole_from_30_yards_RANK THIS WEEK,Proximity_to_Hole_from_30_yards_RANK LAST WEEK,Proximity_to_Hole_from_30_yards_PLAYER NAME,Proximity_to_Hole_from_30_yards_ROUNDS,Proximity_to_Hole_from_30_yards_AVG DTP,Proximity_to_Hole_from_30_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_30_yards_# OF SHOTS,Proximity_to_Hole_from_30_yards_SCRAMBLING RANK
0,1,1,Roberto Castro,54,"9' 2""",228.833,25,169
1,T2,T2,Hideki Matsuyama,95,"9' 5""",584.75,62,30
2,T2,T2,Tim Wilkinson,73,"9' 5""",406.0,43,111
3,T4,T4,Jim Furyk,71,"9' 9""",185.667,19,18
4,T4,T4,Zach Johnson,90,"9' 9""",672.9169999999999,69,49
5,6,6,Padraig Harrington,60,"9' 10""",500.25,51,137
6,7,7,Justin Leonard,61,"10' 0""",380.583,38,34
7,8,8,Jonas Blixt,78,"10' 1""",453.583,45,107
8,T9,T9,Steven Bowditch,103,"10' 2""",724.6669999999999,71,3
9,T9,T9,Ian Poulter,68,"10' 2""",436.0,43,54
10,T9,T9,Patrick Rodgers,57,"10' 2""",437.333,43,145
11,12,12,K.J. Choi,66,"10' 4""",535.5,52,16
12,13,13,Martin Laird,77,"10' 5""",572.8330000000001,55,67
13,14,14,Chris Stroud,84,"10' 7""",592.0830000000001,56,71
14,T15,T15,Erik Compton,86,"10' 8""",480.0,45,61
15,T15,T15,Justin Thomas,106,"10' 8""",953.0,89,37
16,T17,T17,Kevin Na,98,"10' 9""",698.5,65,19
17,T17,T17,Brendon Todd,96,"10' 9""",570.0,53,22
18,T17,T17,Mark Wilson,89,"10' 9""",646.3330000000001,60,63
19,20,20,Matt Kuchar,97,"10' 10""",866.25,80,13
20,T21,T21,Ángel Cabrera,53,"10' 11""",481.417,44,183
21,T21,T21,Louis Oosthuizen,68,"10' 11""",392.667,36,41
22,T21,T21,Sung Joon Park,79,"10' 11""",631.5,58,8
23,T21,T21,Cameron Tringale,96,"10' 11""",926.3330000000001,85,27
24,25,25,Justin Rose,69,"11' 0""",364.083,33,94
25,T26,T26,Ricky Barnes,82,"11' 1""",564.0830000000001,51,69
26,T26,T26,Ernie Els,57,"11' 1""",411.25,37,144
27,T26,T26,Scott Langley,94,"11' 1""",689.1669999999999,62,93
28,T26,T26,Rory Sabbatini,81,"11' 1""",630.6669999999999,57,17
29,T26,T26,Nick Taylor,91,"11' 1""",799.75,72,113
30,T31,T31,Max Homa,78,"11' 2""",490.167,44,90
31,T31,T31,Brandt Snedeker,98,"11' 2""",678.8330000000001,61,15
32,T33,T33,Rickie Fowler,76,"11' 3""",484.667,43,47
33,T33,T33,Charley Hoffman,97,"11' 3""",606.6669999999999,54,100
34,T35,T35,Seung-Yul Noh,65,"11' 4""",577.0830000000001,51,166
35,T35,T35,Adam Scott,51,"11' 4""",283.83299999999997,25,173
36,37,37,David Lingmerth,90,"11' 5""",625.75,55,42
37,T38,T38,Ben Crane,62,"11' 6""",599.4169999999999,52,29
38,T38,T38,Phil Mickelson,70,"11' 6""",550.1669999999999,48,84
39,T38,T38,Roger Sloan,56,"11' 6""",425.417,37,175
40,T41,T41,Scott Brown,97,"11' 7""",774.25,67,55
41,T41,T41,Kevin Chappell,86,"11' 7""",578.1669999999999,50,87
42,T41,T41,Sergio Garcia,59,"11' 7""",496.667,43,109
43,T41,T41,Morgan Hoffmann,85,"11' 7""",880.25,76,92
44,T41,T41,Chez Reavie,56,"11' 7""",311.66700000000003,27,152
45,46,46,Marc Leishman,74,"11' 8""",653.6669999999999,56,141
46,T47,T47,John Merrick,78,"11' 9""",528.75,45,134
47,T47,T47,Webb Simpson,81,"11' 9""",564.0,48,9
48,T47,T47,Daniel Summerhays,101,"11' 9""",714.5,61,122
49,T50,T50,Sangmoon Bae,98,"11' 10""",973.0,82,45
50,T50,T50,Charlie Beljan,76,"11' 10""",403.417,34,184
51,T50,T50,Jason Dufner,76,"11' 10""",342.917,29,162
52,T50,T50,Derek Ernst,75,"11' 10""",569.5,48,135
53,T50,T50,Matt Every,73,"11' 10""",674.3330000000001,57,153
54,T50,T50,Billy Horschel,99,"11' 10""",946.1669999999999,80,126
55,T50,T50,Vijay Singh,78,"11' 10""",699.1669999999999,59,50
56,T50,T50,Jordan Spieth,91,"11' 10""",651.1669999999999,55,4
57,T50,T50,Boo Weekley,79,"11' 10""",638.25,54,73
58,T59,T59,Jim Herman,88,"11' 11""",558.4169999999999,47,118
59,T59,T59,Billy Hurley III,83,"11' 11""",488.833,41,10
60,T59,T59,Kevin Streelman,95,"11' 11""",867.3330000000001,73,104
61,T62,T62,Zac Blair,108,"12' 0""",757.4169999999999,63,6
62,T62,T62,Patrick Reed,103,"12' 0""",862.3330000000001,72,28
63,T62,T62,Charl Schwartzel,67,"12' 0""",359.25,30,168
64,T65,T65,Luke Donald,71,"12' 1""",629.1669999999999,52,46
65,T65,T65,Luke Guthrie,84,"12' 1""",690.0830000000001,57,127
66,T65,T65,Tom Hoge,83,"12' 1""",506.917,42,106
67,T65,T65,John Huh,102,"12' 1""",1342.5829999999999,111,23
