,Scrambling__30_yds_RTP_Score_RANK THIS WEEK,Scrambling__30_yds_RTP_Score_RANK LAST WEEK,Scrambling__30_yds_RTP_Score_PLAYER NAME,Scrambling__30_yds_RTP_Score_ROUNDS,Scrambling__30_yds_RTP_Score_AVG RTP,Scrambling__30_yds_RTP_Score_TOTAL HOLES,Scrambling__30_yds_RTP_Score_TOTAL RTP
0,1,1,Henrik Stenson,63,0.5760000000000001,33,19.0
1,2,2,Jerry Kelly,79,0.596,52,31.0
2,3,3,Daniel Summerhays,101,0.61,77,47.0
3,4,4,Zac Blair,108,0.66,97,64.0
4,5,5,Jim Furyk,71,0.6729999999999999,52,35.0
5,6,6,Francesco Molinari,56,0.6759999999999999,37,25.0
6,7,7,Bubba Watson,71,0.677,65,44.0
7,8,8,David Hearn,97,0.6890000000000001,103,71.0
8,9,9,Kevin Na,98,0.691,81,56.0
9,10,10,Jordan Spieth,91,0.716,67,48.0
10,11,11,Mark Wilson,89,0.721,86,62.0
11,12,12,Brendon Todd,96,0.722,79,57.0
12,13,13,Blayne Barber,76,0.73,63,46.0
13,14,14,Zach Johnson,90,0.731,67,49.0
14,15,15,K.J. Choi,66,0.733,75,55.0
15,16,16,Scott Pinckney,88,0.737,95,70.0
16,17,17,Charles Howell III,105,0.743,113,84.0
17,18,18,Kevin Kisner,104,0.745,94,70.0
18,19,19,Ben Crane,62,0.754,69,52.0
19,20,20,John Senden,80,0.755,49,37.0
20,21,21,Camilo Villegas,83,0.7559999999999999,90,68.0
21,22,22,Greg Chalmers,58,0.7609999999999999,46,35.0
22,23,23,Ken Duke,93,0.763,76,58.0
23,T24,T24,Chad Campbell,97,0.765,85,65.0
24,T24,T24,Jimmy Walker,89,0.765,81,62.0
25,26,26,Heath Slocum,57,0.767,43,33.0
26,27,27,Jonas Blixt,78,0.77,74,57.0
27,28,28,Patrick Reed,103,0.7709999999999999,96,74.0
28,T29,T29,Jonathan Byrd,69,0.7759999999999999,49,38.0
29,T29,T29,Chad Collins,79,0.7759999999999999,67,52.0
30,T29,T29,Cameron Tringale,96,0.7759999999999999,98,76.0
31,32,32,Willy Wilcox,58,0.7809999999999999,32,25.0
32,33,33,Matt Kuchar,97,0.784,88,69.0
33,T34,T34,Luke Donald,71,0.789,76,60.0
34,T34,T34,John Huh,102,0.789,95,75.0
35,36,36,David Lingmerth,90,0.79,62,49.0
36,37,37,Brooks Koepka,84,0.792,72,57.0
37,T38,T38,Louis Oosthuizen,68,0.8,50,40.0
38,T38,T38,Sung Joon Park,79,0.8,70,56.0
39,T38,T38,Kyle Reifers,96,0.8,95,76.0
40,T41,T41,Justin Leonard,61,0.8059999999999999,72,58.0
41,T41,T41,D.A. Points,72,0.8059999999999999,67,54.0
42,43,43,Brendon de Jonge,106,0.807,83,67.0
43,44,44,Matt Jones,89,0.81,63,51.0
44,45,45,Steven Bowditch,103,0.8109999999999999,111,90.0
45,46,46,Hunter Mahan,88,0.812,85,69.0
46,T47,T47,Russell Henley,87,0.813,80,65.0
47,T47,T47,David Toms,62,0.813,48,39.0
48,49,49,Webb Simpson,81,0.8170000000000001,60,49.0
49,T50,T50,Daniel Berger,97,0.818,88,72.0
50,T50,T50,Charl Schwartzel,67,0.818,33,27.0
51,T52,T52,Oscar Fraustro,58,0.821,39,32.0
52,T52,T52,Davis Love III,51,0.821,39,32.0
53,54,54,Morgan Hoffmann,85,0.823,96,79.0
54,T55,T55,Keegan Bradley,87,0.8240000000000001,74,61.0
55,T55,T55,Ian Poulter,68,0.8240000000000001,51,42.0
56,T55,T55,Patrick Rodgers,57,0.8240000000000001,51,42.0
57,58,58,Brandt Snedeker,98,0.828,87,72.0
58,T59,T59,Harris English,105,0.8290000000000001,105,87.0
59,T59,T59,Colt Knost,90,0.8290000000000001,70,58.0
60,T59,T59,Kevin Streelman,95,0.8290000000000001,70,58.0
61,62,62,Scott Piercy,90,0.83,94,78.0
62,T63,T63,Brian Davis,86,0.831,71,59.0
63,T63,T63,Jhonattan Vegas,90,0.831,83,69.0
64,T65,T65,Marc Leishman,74,0.833,66,55.0
65,T65,T65,Vijay Singh,78,0.833,54,45.0
66,T67,T67,Brian Harman,90,0.835,91,76.0
67,T67,T67,Scott Langley,94,0.835,79,66.0
68,69,69,William McGirt,103,0.836,67,56.0
69,70,70,Fabián Gómez,83,0.8370000000000001,92,77.0
70,71,71,George McNeill,93,0.838,74,62.0
71,72,72,J.J. Henry,94,0.8390000000000001,93,78.0
72,73,73,Sean O'Hair,86,0.84,81,68.0
73,74,74,Paul Casey,87,0.841,69,58.0
74,75,75,Sergio Garcia,59,0.8420000000000001,38,32.0
75,76,76,Tom Hoge,83,0.843,70,59.0
76,77,77,Jamie Donaldson,50,0.848,33,28.0
77,T78,T78,Jon Curran,83,0.851,67,57.0
78,T78,T78,Ryan Palmer,80,0.851,67,57.0
79,80,80,Robert Streb,110,0.861,101,87.0
80,81,81,Seung-Yul Noh,65,0.862,87,75.0
81,82,82,Russell Knox,96,0.863,80,69.0
82,T83,T83,Martin Laird,77,0.865,96,83.0
83,T83,T83,Danny Lee,120,0.865,104,90.0
84,T83,T83,Alex Prugh,84,0.865,74,64.0
85,86,86,Luke Guthrie,84,0.867,83,72.0
86,87,87,John Peterson,84,0.8690000000000001,61,53.0
87,T88,T88,Scott Brown,97,0.875,72,63.0
88,T88,T88,Johnson Wagner,68,0.875,56,49.0
89,T88,T88,Tim Wilkinson,73,0.875,64,56.0
90,91,91,Jason Bohn,95,0.877,73,64.0
91,92,92,Troy Merritt,91,0.88,100,88.0
92,93,93,Bill Haas,89,0.8809999999999999,67,59.0
93,T94,T94,Bryce Molder,91,0.882,76,67.0
94,T94,T94,Chris Stroud,84,0.882,85,75.0
95,96,96,Gonzalo Fernandez-Castaño,81,0.884,69,61.0
96,97,97,Rory Sabbatini,81,0.8859999999999999,70,62.0
97,98,98,Boo Weekley,79,0.887,62,55.0
98,T99,T99,Alex Cejka,94,0.888,89,79.0
99,T99,T99,James Hahn,94,0.888,80,71.0
100,T101,T101,Spencer Levin,99,0.889,63,56.0
101,T101,T101,Pat Perez,96,0.889,72,64.0
102,T101,T101,Adam Scott,51,0.889,36,32.0
103,104,104,Bo Van Pelt,81,0.892,93,83.0
104,105,105,Martin Flores,95,0.893,75,67.0
105,106,106,Carl Pettersson,106,0.898,118,106.0
106,T107,T107,Ángel Cabrera,53,0.902,51,46.0
107,T107,T107,Geoff Ogilvy,50,0.902,41,37.0
108,109,109,Jason Gore,76,0.904,52,47.0
109,110,110,Derek Ernst,75,0.9059999999999999,53,48.0
110,T111,T111,Sangmoon Bae,98,0.907,107,97.0
111,T111,T111,Brian Stuard,97,0.907,75,68.0
112,T113,T113,J.B. Holmes,89,0.9079999999999999,98,89.0
113,T113,T113,Nick Watney,91,0.9079999999999999,87,79.0
114,115,115,Mark Hubbard,79,0.909,55,50.0
