,Driving_Pct.__240_All_Drives_RANK THIS WEEK,Driving_Pct.__240_All_Drives_RANK LAST WEEK,Driving_Pct.__240_All_Drives_PLAYER NAME,Driving_Pct.__240_All_Drives_ROUNDS,Driving_Pct.__240_All_Drives_%,Driving_Pct.__240_All_Drives_TOTAL DRIVES FOR <= 240,Driving_Pct.__240_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct.__240_All_Drives_RELATIVE TO PAR
0,1,1,Michael Bradley,56,13.55,81,598,+0.210
1,2,2,Mike Weir,60,10.38,68,655,+0.338
2,3,3,Michael Thompson,66,9.86,73,740,+0.082
3,4,4,Chris Stroud,88,9.48,103,1087,+0.136
4,5,5,Bryce Molder,82,9.21,91,988,+0.055
5,6,6,Jim Furyk,80,9.08,81,892,-0.099
6,7,7,Stephen Ames,49,9.02,55,610,+0.200
7,8,8,Luke Donald,60,8.91,57,640,-0.053
8,9,9,Mark Wilson,56,8.71,61,700,-0.082
9,T10,T10,Bob Estes,66,8.56,74,864,+0.041
10,T10,T10,"Ted Potter, Jr.",65,8.56,66,771,+0.197
11,12,12,Jin Park,52,8.51,51,599,+0.196
12,T13,T13,Justin Hicks,79,8.5,78,918,+0.051
13,T13,T13,Johnson Wagner,64,8.5,62,729,+0.210
14,15,15,Rickie Fowler,75,8.44,70,829,+0.043
15,16,16,Richard Lee,81,8.28,83,1002,+0.096
16,17,17,Marc Leishman,77,8.27,74,895,+0.081
17,18,18,Trevor Immelman,73,8.23,71,863,+0.225
18,T19,T19,Jonas Blixt,76,8.22,77,937,+0.065
19,T19,T19,Brandt Jobe,62,8.22,61,742,+0.049
20,21,21,Charlie Beljan,62,8.05,62,770,+0.065
21,22,22,Scott Langley,79,7.97,71,891,+0.169
22,23,23,Ken Duke,87,7.93,83,1047,+0.193
23,T24,T24,J.J. Henry,83,7.92,82,1035,-0.024
24,T24,T24,Dicky Pride,71,7.92,65,821,+0.138
25,26,26,Graham DeLaet,94,7.89,89,1128,+0.079
26,27,27,Robert Allenby,58,7.86,57,725,+0.193
27,28,28,John Huh,88,7.8,82,1051,+0.073
28,29,29,Ben Curtis,59,7.73,50,647,+0.180
29,30,30,Brad Fritsch,81,7.7,73,948,+0.151
30,31,31,Chad Campbell,78,7.66,77,1005,+0.039
31,32,32,Brian Stuard,78,7.65,67,876,+0.075
32,33,33,Casey Wittenberg,72,7.64,65,851,+0.308
33,34,34,Ryan Moore,72,7.63,61,799,-0.016
34,35,35,Lee Williams,62,7.61,54,710,+0.056
35,36,36,Chris Kirk,89,7.59,86,1133,+0.198
36,37,37,Zach Johnson,84,7.58,71,937,-0.014
37,38,38,Tiger Woods,61,7.48,45,602,+0.267
38,39,39,Daniel Summerhays,83,7.37,80,1086,+0.113
39,40,40,Stuart Appleby,88,7.36,81,1100,+0.136
40,41,41,Tim Herron,45,7.35,45,612,-0.022
41,42,42,Graeme McDowell,53,7.34,38,518,-0.026
42,43,43,Greg Chalmers,77,7.29,71,974,+0.338
43,T44,T44,Aaron Baddeley,68,7.2,59,820,+0.254
44,T44,T44,Stewart Cink,71,7.2,56,778,+0.286
45,T44,T44,D.J. Trahan,48,7.2,38,528,+0.158
46,47,47,Aaron Watkins,46,7.16,35,489,+0.429
47,48,48,John Merrick,79,7.15,68,951,+0.044
48,49,49,D.A. Points,87,7.07,67,948,+0.179
49,50,50,Sangmoon Bae,83,6.99,70,1002,+0.186
50,51,51,Charlie Wi,75,6.97,64,918,+0.156
51,52,52,Troy Matteson,68,6.94,57,821,+0.158
52,53,53,Steve Stricker,51,6.9,34,493,-0.176
53,T54,T54,Brendon de Jonge,110,6.88,93,1352,+0.054
54,T54,T54,Charl Schwartzel,69,6.88,52,756,+0.058
55,56,56,Brian Davis,91,6.83,79,1157,+0.114
56,57,57,Doug LaBelle II,72,6.8,56,823,+0.107
57,58,58,Brian Gay,79,6.77,67,990,+0.164
58,59,59,Matt Jones,83,6.76,66,976,-0.030
59,60,60,Tag Ridings,69,6.7,54,806,+0.315
60,T61,T61,D.H. Lee,65,6.68,54,808,+0.222
61,T61,T61,Henrik Norlander,70,6.68,55,823,+0.127
62,63,63,Kevin Streelman,86,6.66,63,946,-0.016
63,T64,T64,Jerry Kelly,75,6.63,59,890,+0.119
64,T64,T64,Sean O'Hair,56,6.63,47,709,+0.043
65,66,66,Ben Kohles,75,6.61,57,862,+0.246
66,67,67,George McNeill,68,6.59,59,895,+0.169
67,68,68,Colt Knost,69,6.58,53,806,+0.321
68,69,69,Scott Piercy,78,6.56,57,869,+0.211
69,T70,T70,Ángel Cabrera,73,6.55,52,794,E
70,T70,T70,Kevin Stadler,83,6.55,63,962,+0.079
71,72,72,Ricky Barnes,74,6.51,59,906,+0.085
72,T73,T73,Carl Pettersson,82,6.48,58,895,+0.293
73,T73,T73,Shawn Stefani,63,6.48,45,694,+0.111
74,75,75,Matt Kuchar,93,6.44,62,963,-0.016
75,76,76,Erik Compton,74,6.41,58,905,+0.103
76,77,77,Bobby Gates,49,6.4,34,531,+0.235
77,T78,T78,James Driscoll,76,6.39,56,877,+0.304
78,T78,T78,Hunter Mahan,91,6.39,61,955,-0.049
79,T80,T80,K.J. Choi,85,6.38,56,878,+0.071
80,T80,T80,Robert Streb,75,6.38,55,862,+0.255
81,T82,T82,Freddie Jacobson,63,6.37,41,644,+0.098
82,T82,T82,David Mathis,71,6.37,55,864,+0.073
83,T84,T84,Martin Kaymer,61,6.31,37,586,-0.027
84,T84,T84,Darron Stiles,51,6.31,37,586,+0.243
85,86,86,Sergio Garcia,65,6.27,41,654,E
86,87,87,David Lynn,70,6.26,49,783,+0.122
87,88,88,Seung-Yul Noh,71,6.24,54,865,-0.019
88,89,89,Chez Reavie,72,6.21,58,934,+0.069
89,90,90,David Hearn,88,6.18,63,1019,-0.063
90,91,91,Pat Perez,69,6.17,55,891,+0.164
91,92,92,Justin Leonard,86,6.13,64,1044,+0.234
92,93,93,Jason Day,86,6.12,52,850,+0.096
93,94,94,Roberto Castro,97,6.07,71,1170,+0.113
94,95,95,Cameron Tringale,80,6.03,63,1044,-0.016
95,96,96,Scott Brown,65,6.01,46,766,+0.130
96,97,97,Jason Dufner,78,5.98,51,853,+0.020
97,T98,T98,Steve LeBrun,66,5.94,44,741,+0.091
98,T98,T98,Alistair Presnell,59,5.94,38,640,+0.158
