,Carry_Efficiency_RANK THIS WEEK,Carry_Efficiency_RANK LAST WEEK,Carry_Efficiency_PLAYER NAME,Carry_Efficiency_ROUNDS,Carry_Efficiency_AVG.,Carry_Efficiency_AVERAGE CARRY DIST. YARDS,Carry_Efficiency_AVERAGE CLUB HEAD SPEED,Carry_Efficiency_TOTAL ATTEMPTS,Carry_Efficiency_HIGHEST CARRY EFFICIENCY
0,1,1,Justin Rose,62,2.55,293.4,115.07700000000001,36,2.7569999999999997
1,2,2,Ernie Els,63,2.513,280.8,111.77600000000001,38,2.736
2,3,3,Hunter Mahan,91,2.505,281.6,112.41,58,2.6710000000000003
3,4,4,Peter Hanson,45,2.502,283.1,113.116,29,2.707
4,T5,T5,Billy Horschel,96,2.498,282.5,113.089,74,2.702
5,T5,T5,Sean O'Hair,56,2.498,291.8,116.81200000000001,37,2.67
6,T5,T5,Vaughn Taylor,50,2.498,274.9,110.073,33,2.6689999999999996
7,8,8,Nicolas Colsaerts,50,2.497,302.1,120.96,25,2.752
8,9,9,Mark Wilson,56,2.4930000000000003,267.8,107.402,42,2.718
9,10,10,Nicholas Thompson,99,2.484,281.3,113.242,79,2.763
10,11,11,David Hearn,88,2.478,269.0,108.561,66,2.6660000000000004
11,12,12,Chris Kirk,89,2.477,278.4,112.397,69,2.641
12,T13,T13,Brian Harman,89,2.4730000000000003,273.9,110.75200000000001,72,2.737
13,T13,T13,Andres Romero,63,2.4730000000000003,284.0,114.84299999999999,40,2.7939999999999996
14,15,15,Ben Crane,62,2.47,267.3,108.25399999999999,49,2.6239999999999997
15,T16,T16,Jason Day,86,2.469,297.3,120.417,37,2.717
16,T16,T16,David Toms,49,2.469,260.6,105.565,23,2.5989999999999998
17,T18,T18,Keegan Bradley,88,2.468,292.5,118.507,52,2.725
18,T18,T18,Bud Cauley,67,2.468,273.3,110.736,49,2.71
19,T18,T18,Ryan Palmer,79,2.468,287.2,116.396,52,2.761
20,T21,T21,Russell Henley,80,2.467,281.3,114.064,49,2.6710000000000003
21,T21,T21,Josh Teater,86,2.467,282.4,114.473,51,2.748
22,T23,T23,Scott Stallings,79,2.464,294.0,119.296,51,2.673
23,T23,T23,Bo Van Pelt,72,2.464,278.7,113.118,44,2.6489999999999996
24,25,25,Martin Laird,68,2.463,287.9,116.913,40,2.7089999999999996
25,T26,T26,James Hahn,78,2.4619999999999997,280.6,113.96600000000001,53,2.6860000000000004
26,T26,T26,Doug LaBelle II,72,2.4619999999999997,263.8,107.139,53,2.6489999999999996
27,T26,T26,Rory Sabbatini,86,2.4619999999999997,279.5,113.507,59,2.645
28,T29,T29,Zach Johnson,84,2.459,265.7,108.075,64,2.654
29,T29,T29,Chez Reavie,72,2.459,265.4,107.914,68,2.682
30,31,31,Steven Bowditch,67,2.458,287.6,116.96700000000001,46,2.6719999999999997
31,32,32,Kevin Stadler,83,2.457,282.2,114.896,62,2.6439999999999997
32,T33,T33,Dustin Johnson,71,2.455,299.0,121.801,29,2.7569999999999997
33,T33,T33,Tiger Woods,61,2.455,289.8,118.04700000000001,20,2.753
34,T35,T35,Henrik Stenson,65,2.4530000000000003,295.5,120.43299999999999,22,2.799
35,T35,T35,Steve Stricker,51,2.4530000000000003,272.4,111.031,32,2.687
36,T37,T37,Scott Piercy,78,2.452,285.1,116.259,41,2.787
37,T37,T37,Brandt Snedeker,79,2.452,270.9,110.48299999999999,46,2.657
38,T39,T39,Brian Davis,91,2.451,263.2,107.37299999999999,82,2.6289999999999996
39,T39,T39,Jeff Maggert,63,2.451,258.3,105.39200000000001,54,2.628
40,T41,T41,Jin Park,52,2.45,255.8,104.419,41,2.667
41,T41,T41,Michael Thompson,66,2.45,273.5,111.595,48,2.6210000000000004
42,T43,T43,Jonas Blixt,76,2.449,274.6,112.10600000000001,59,2.727
43,T43,T43,Matt Every,89,2.449,277.0,113.08,78,2.647
44,T43,T43,Henrik Norlander,70,2.449,280.3,114.441,40,2.7539999999999996
45,T46,T46,Graham DeLaet,94,2.4459999999999997,295.5,120.814,59,2.7110000000000003
46,T46,T46,Kyle Stanley,71,2.4459999999999997,292.2,119.44,49,2.6519999999999997
47,T48,T48,Geoff Ogilvy,57,2.445,278.7,114.009,34,2.655
48,T48,T48,Carl Pettersson,82,2.445,277.8,113.613,52,2.685
49,T48,T48,Brian Stuard,78,2.445,267.4,109.39,60,2.6239999999999997
50,T51,T51,Tommy Gainey,84,2.444,275.7,112.774,59,2.677
51,T51,T51,Morgan Hoffmann,64,2.444,278.7,114.025,48,2.675
52,T51,T51,Chris Stroud,88,2.444,268.5,109.844,63,2.62
