,Hit_Fairway_Percentage_RANK THIS WEEK,Hit_Fairway_Percentage_RANK LAST WEEK,Hit_Fairway_Percentage_PLAYER NAME,Hit_Fairway_Percentage_ROUNDS,Hit_Fairway_Percentage_%,Hit_Fairway_Percentage_FAIRWAYS HIT,Hit_Fairway_Percentage_POSSIBLE FAIRWAYS,Hit_Fairway_Percentage_RELATIVE TO PAR
0,1,1,Henrik Stenson,65,72.65,441,607,-0.19
1,2,2,Steve Stricker,51,72.24,354,490,-0.28
2,3,3,Jerry Kelly,75,71.51,635,888,-0.16
3,4,4,Mark Wilson,56,71.26,496,696,-0.11
4,5,5,Jim Furyk,80,70.87,630,889,-0.18
5,6,6,Chez Reavie,72,70.28,655,932,-0.12
6,7,7,Ken Duke,87,70.18,732,1043,-0.11
7,8,8,Zach Johnson,84,70.09,656,936,-0.16
8,9,9,Graeme McDowell,53,69.5,360,518,-0.09
9,10,10,Tim Clark,64,69.23,414,598,-0.1
10,T11,T11,Justin Hicks,79,69.1,633,916,-0.08
11,T11,T11,Ryan Moore,72,69.1,550,796,-0.16
12,13,13,Darron Stiles,51,69.07,402,582,-0.09
13,14,14,K.J. Choi,85,69.06,605,876,-0.18
14,15,15,Brian Davis,91,68.95,795,1153,-0.13
15,16,16,Jordan Spieth,82,68.39,636,930,-0.19
16,17,17,John Huh,88,68.35,717,1049,-0.09
17,18,18,Jin Park,52,68.34,408,597,-0.08
18,19,19,"Ted Potter, Jr.",65,68.23,524,768,-0.11
19,20,20,Jeff Maggert,63,68.22,543,796,-0.13
20,21,21,Roberto Castro,97,68.19,793,1163,-0.16
21,22,22,Doug LaBelle II,72,68.02,553,813,-0.1
22,23,23,Ben Kohles,75,67.52,578,856,-0.09
23,24,24,Graham DeLaet,94,67.29,751,1116,-0.18
24,25,25,Kevin Streelman,86,67.23,634,943,-0.16
25,26,26,D.H. Lee,65,67.13,537,800,-0.14
26,27,27,Brendon de Jonge,110,66.99,897,1339,-0.18
27,28,28,Hunter Mahan,91,66.88,636,951,-0.21
28,29,29,Richard Lee,81,66.77,667,999,-0.12
29,30,30,Colt Knost,69,66.67,534,801,-0.08
30,31,31,Boo Weekley,100,66.46,767,1154,-0.18
31,32,32,Jason Bohn,70,66.16,604,913,-0.14
32,33,33,George McNeill,68,66.03,587,889,-0.15
33,34,34,Russell Henley,80,66.01,604,915,-0.17
34,35,35,J.J. Henry,83,65.86,677,1028,-0.12
35,36,36,David Lingmerth,68,65.82,518,787,-0.1
36,37,37,Matt Jones,83,65.7,634,965,-0.17
