,Distance_from_Edge_of_Fairway_RANK THIS WEEK,Distance_from_Edge_of_Fairway_RANK LAST WEEK,Distance_from_Edge_of_Fairway_PLAYER NAME,Distance_from_Edge_of_Fairway_EVENTS,Distance_from_Edge_of_Fairway_AVG,Distance_from_Edge_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Edge_of_Fairway_TOTAL STROKES
0,1,1,"Ted Potter, Jr.",22,"18' 4""",4371.583,238
1,2,2,Tim Clark,20,"19' 2""",3411.583,178
2,3,3,Jerry Kelly,22,"19' 3""",4723.5,245
3,4,4,Chez Reavie,22,"20' 5""",5497.5830000000005,269
4,5,5,K.J. Choi,24,"20' 6""",5345.3330000000005,261
5,T6,T6,Scott Langley,27,"20' 9""",6589.75,318
6,T6,T6,Mark Wilson,19,"20' 9""",3991.5,192
7,8,8,Jeff Maggert,21,"20' 11""",5176.25,247
8,9,9,Hunter Mahan,25,"21' 0""",6162.1669999999995,293
9,10,10,Justin Hicks,25,"21' 2""",5885.8330000000005,278
10,11,11,Jim Furyk,22,"21' 5""",5429.5,254
11,12,12,Boo Weekley,27,"21' 6""",7838.0,364
12,T13,T13,Ken Duke,28,"21' 10""",6615.4169999999995,303
13,T13,T13,Zach Johnson,24,"21' 10""",5891.5,270
14,T15,T15,Jason Dufner,22,"21' 11""",6323.0830000000005,288
15,T15,T15,Colt Knost,25,"21' 11""",5659.5,258
16,17,17,Jordan Spieth,23,"22' 0""",6149.8330000000005,280
17,T18,T18,Bryce Molder,24,"22' 4""",7276.75,326
18,T18,T18,Dicky Pride,23,"22' 4""",6311.5830000000005,283
19,T20,T20,Ian Poulter,16,"22' 6""",4070.667,181
20,T20,T20,Brandt Snedeker,23,"22' 6""",6582.75,293
21,22,22,Richard Lee,24,"22' 8""",7229.0830000000005,319
22,T23,T23,Tom Gillis,22,"22' 9""",6465.5,284
23,T23,T23,John Merrick,23,"22' 9""",8248.0,363
24,T25,T25,Brian Davis,28,"22' 10""",7890.5,346
25,T25,T25,Graeme McDowell,16,"22' 10""",3399.167,149
26,T25,T25,Rod Pampling,16,"22' 10""",4024.667,176
27,T25,T25,Justin Rose,17,"22' 10""",5004.417,219
28,29,29,Kevin Streelman,25,"22' 11""",6888.4169999999995,301
29,T30,T30,Will Claxton,24,"23' 0""",6456.25,281
30,T30,T30,Nicholas Thompson,29,"23' 0""",9108.833,396
31,32,32,Jin Park,20,"23' 1""",4293.167,186
32,33,33,Adam Scott,16,"23' 2""",5066.5,219
33,T34,T34,Webb Simpson,25,"23' 3""",7614.25,327
34,T34,T34,Darron Stiles,20,"23' 3""",4133.833,178
35,36,36,Ryan Moore,22,"23' 4""",5522.5,237
36,37,37,John Huh,28,"23' 7""",7502.0,318
37,T38,T38,J.J. Henry,26,"23' 8""",8040.6669999999995,340
38,T38,T38,Camilo Villegas,23,"23' 8""",8129.5,343
39,40,40,Steve Stricker,13,"23' 9""",3135.25,132
40,T41,T41,Ben Kohles,25,"23' 10""",6432.9169999999995,270
41,T41,T41,Matt Kuchar,23,"23' 10""",9172.583,385
42,T41,T41,Brian Stuard,25,"23' 10""",7023.25,295
43,T44,T44,Jason Bohn,23,"23' 11""",7322.0,306
44,T44,T44,Justin Leonard,24,"23' 11""",8593.917,359
45,46,46,David Lingmerth,23,"24' 0""",6255.1669999999995,261
46,T47,T47,Brendon de Jonge,30,"24' 1""",10491.75,435
47,T47,T47,Kevin Stadler,25,"24' 1""",7933.8330000000005,329
48,T47,T47,Y.E. Yang,19,"24' 1""",4624.25,192
49,50,50,Brian Harman,29,"24' 2""",9605.833,397
50,51,51,D.H. Lee,22,"24' 3""",6184.25,255
51,52,52,Roberto Castro,29,"24' 4""",8830.0,363
52,T53,T53,Brian Gay,24,"24' 5""",8216.083,336
53,T53,T53,Fabián Gómez,23,"24' 5""",7137.6669999999995,292
54,T53,T53,Trevor Immelman,24,"24' 5""",7948.75,325
55,T53,T53,John Senden,25,"24' 5""",7959.1669999999995,326
56,57,57,Bob Estes,18,"24' 6""",7482.1669999999995,305
57,T58,T58,Doug LaBelle II,23,"24' 7""",6299.8330000000005,256
58,T58,T58,Andrew Svoboda,18,"24' 7""",4333.833,176
59,T60,T60,Ben Crane,21,"24' 8""",7028.3330000000005,285
60,T60,T60,Derek Ernst,21,"24' 8""",6462.4169999999995,262
61,T62,T62,Matt Every,28,"24' 9""",10659.0,431
62,T62,T62,David Lynn,22,"24' 9""",7586.75,307
63,64,64,Vijay Singh,19,"24' 10""",6397.0830000000005,258
64,T65,T65,Keegan Bradley,25,"25' 0""",8370.583,335
65,T65,T65,Billy Horschel,26,"25' 0""",9861.583,395
66,67,67,Lee Westwood,19,"25' 1""",6068.9169999999995,242
67,T68,T68,Chad Campbell,25,"25' 4""",9486.25,374
68,T68,T68,Lucas Glover,23,"25' 4""",6738.8330000000005,266
69,T68,T68,Freddie Jacobson,19,"25' 4""",6536.5830000000005,258
70,T71,T71,Jonas Blixt,24,"25' 5""",9276.75,365
71,T71,T71,Brendan Steele,26,"25' 5""",10081.667,397
72,T73,T73,Scott Brown,21,"25' 6""",7166.6669999999995,281
73,T73,T73,Luke Donald,17,"25' 6""",5995.9169999999995,235
74,75,75,Sangmoon Bae,26,"25' 7""",10359.5,405
75,T76,T76,Rory Sabbatini,27,"25' 8""",9974.167,389
