,SG_Tee-to-Green_RANK THIS WEEK,SG_Tee-to-Green_RANK LAST WEEK,SG_Tee-to-Green_PLAYER NAME,SG_Tee-to-Green_ROUNDS,SG_Tee-to-Green_AVERAGE,SG_Tee-to-Green_SG:OTT,SG_Tee-to-Green_SG:APR,SG_Tee-to-Green_SG:ARG,SG_Tee-to-Green_MEASURED ROUNDS
0,1,1,Justin Rose,62,1.912,0.45899999999999996,0.961,0.491,46
1,2,2,Tiger Woods,61,1.6369999999999998,-0.142,1.5330000000000001,0.247,43
2,3,3,Henrik Stenson,65,1.614,0.71,0.7759999999999999,0.128,44
3,4,4,Steve Stricker,51,1.474,0.311,0.5670000000000001,0.596,35
4,5,5,Adam Scott,61,1.337,0.7340000000000001,0.5479999999999999,0.055,44
5,6,6,Jim Furyk,80,1.297,0.023,0.95,0.32299999999999995,64
6,7,7,Jordan Spieth,82,1.291,0.611,0.48,0.2,67
7,8,8,Bubba Watson,76,1.1640000000000001,0.937,0.292,-0.065,59
8,9,9,Keegan Bradley,88,1.153,0.698,0.27,0.185,72
9,10,10,Lee Westwood,70,1.088,0.439,0.479,0.17,51
10,11,11,Rory McIlroy,56,1.077,0.624,0.42,0.032,41
11,T12,T12,Bill Haas,85,0.9990000000000001,0.365,0.34600000000000003,0.289,69
12,T12,T12,Matt Kuchar,93,0.9990000000000001,-0.01,0.731,0.278,69
13,14,14,Graham DeLaet,94,0.9690000000000001,0.488,0.64,-0.159,81
14,15,15,Charl Schwartzel,69,0.9670000000000001,0.195,0.711,0.061,54
15,16,16,Webb Simpson,92,0.958,0.21600000000000003,0.517,0.225,70
16,17,17,Roberto Castro,97,0.9309999999999999,0.204,0.379,0.348,84
17,18,18,Sergio Garcia,65,0.9279999999999999,0.131,0.5379999999999999,0.259,47
18,19,19,Dustin Johnson,71,0.9059999999999999,0.332,0.6629999999999999,-0.09,51
19,20,20,Vijay Singh,61,0.851,0.371,0.501,-0.021,48
