,Missed_Fairway_Percent_-_Other_RANK THIS WEEK,Missed_Fairway_Percent_-_Other_RANK LAST WEEK,Missed_Fairway_Percent_-_Other_PLAYER NAME,Missed_Fairway_Percent_-_Other_ROUNDS,Missed_Fairway_Percent_-_Other_%,Missed_Fairway_Percent_-_Other_TOTAL MISSED,Missed_Fairway_Percent_-_Other_TOTAL FWYS,Missed_Fairway_Percent_-_Other_RELATIVE TO PAR
0,1,1,Jason Dufner,78,1.41,12,852,0.42
1,2,2,Jerry Kelly,75,1.46,13,888,0.31
2,3,3,Jim Furyk,80,1.57,14,889,0.64
3,4,4,Justin Hicks,79,1.64,15,916,0.8
4,5,5,Henrik Stenson,65,1.65,10,607,0.4
5,T6,T6,John Senden,79,1.66,14,845,0.57
6,T6,T6,Vijay Singh,61,1.66,11,663,0.18
7,8,8,Chez Reavie,72,1.72,16,932,0.81
8,9,9,Kevin Streelman,86,1.8,17,943,0.29
9,10,10,Andrew Svoboda,46,1.85,9,486,0.56
10,11,11,Jeff Maggert,63,1.88,15,796,0.87
11,12,12,Darron Stiles,51,1.89,11,582,0.82
12,13,13,Tom Gillis,69,1.92,16,832,0.5
13,14,14,Fabián Gómez,65,1.94,15,773,1.13
14,T15,T15,Tim Clark,64,2.01,12,598,0.75
15,T15,T15,Ken Duke,87,2.01,21,1043,0.71
16,T15,T15,Jin Park,52,2.01,12,597,1.08
17,18,18,David Lingmerth,68,2.03,16,787,0.44
18,19,19,Rod Pampling,46,2.05,10,488,1.1
19,20,20,Aaron Watkins,46,2.06,10,486,0.9
20,T21,T21,Jason Bohn,70,2.08,19,913,0.58
21,T21,T21,"Ted Potter, Jr.",65,2.08,16,768,0.94
22,23,23,Y.E. Yang,56,2.11,12,570,0.58
23,24,24,Jim Herman,59,2.13,13,610,1.38
24,25,25,Roberto Castro,97,2.15,25,1163,0.68
25,26,26,Mark Wilson,56,2.16,15,696,0.13
26,27,27,Steve Stricker,51,2.24,11,490,0.55
27,28,28,J.J. Henry,83,2.33,24,1028,0.5
28,29,29,George McNeill,68,2.36,21,889,0.57
29,30,30,John Huh,88,2.38,25,1049,0.68
30,T31,T31,Brendon de Jonge,110,2.39,32,1339,0.44
31,T31,T31,Ryan Moore,72,2.39,19,796,0.68
32,33,33,Bryce Molder,82,2.44,24,982,0.67
33,34,34,Will Claxton,67,2.45,19,775,0.58
34,35,35,Justin Leonard,86,2.5,26,1038,0.96
35,36,36,Boo Weekley,100,2.51,29,1154,0.59
36,37,37,Brian Stuard,78,2.52,22,873,0.77
37,38,38,D.A. Points,87,2.55,24,942,0.54
38,39,39,Doug LaBelle II,72,2.58,21,813,0.67
39,40,40,Daniel Summerhays,83,2.6,28,1075,0.43
40,41,41,D.H. Lee,65,2.63,21,800,0.95
41,42,42,Zach Johnson,84,2.67,25,936,0.24
42,43,43,Brian Davis,91,2.69,31,1153,0.55
43,44,44,Graeme McDowell,53,2.7,14,518,0.14
44,45,45,Vaughn Taylor,50,2.71,15,553,0.6
45,46,46,Bud Cauley,67,2.72,21,772,0.76
46,47,47,Eric Meierdierks,48,2.76,14,508,0.93
47,48,48,Nick Watney,88,2.77,28,1011,0.54
48,49,49,Graham DeLaet,94,2.78,31,1116,0.32
49,T50,T50,Keegan Bradley,88,2.81,28,996,0.5
50,T50,T50,Dicky Pride,71,2.81,23,819,0.91
51,52,52,Lee Williams,62,2.82,20,708,0.95
52,53,53,Richard Lee,81,2.9,29,999,0.52
53,T54,T54,Bill Haas,85,2.92,28,960,0.46
54,T54,T54,Scott Langley,79,2.92,26,890,0.85
55,56,56,Nicholas Thompson,99,2.94,35,1191,0.69
56,T57,T57,Greg Owen,73,2.96,27,913,0.93
57,T57,T57,Adam Scott,61,2.96,18,608,0.28
58,T57,T57,Robert Streb,75,2.96,25,844,0.8
59,60,60,Ben Curtis,59,2.98,19,638,1.0
60,61,61,Justin Bolli,59,2.99,19,636,1.05
61,62,62,Kyle Stanley,71,3.0,25,832,0.6
62,63,63,Bob Estes,66,3.03,26,858,0.46
63,64,64,Jeff Overton,78,3.04,31,1020,0.42
64,T65,T65,Russell Henley,80,3.06,28,915,0.57
65,T65,T65,John Merrick,79,3.06,29,948,0.34
66,67,67,Webb Simpson,92,3.08,30,975,0.6
67,68,68,Sangmoon Bae,83,3.11,31,998,0.45
68,69,69,Colt Knost,69,3.12,25,801,1.28
69,70,70,Ian Poulter,59,3.13,17,544,0.82
70,71,71,Billy Horschel,96,3.14,36,1147,0.64
71,T72,T72,Ben Crane,62,3.15,24,763,0.25
72,T72,T72,Morgan Hoffmann,64,3.15,23,731,0.83
73,T72,T72,Ben Kohles,75,3.15,27,856,0.59
74,T72,T72,David Toms,49,3.15,14,444,0.79
75,T76,T76,K.J. Choi,85,3.2,28,876,0.25
76,T76,T76,Henrik Norlander,70,3.2,26,813,0.65
77,T78,T78,David Lynn,70,3.23,25,775,0.64
78,T78,T78,Josh Teater,86,3.23,27,835,0.56
79,80,80,Matt Every,89,3.24,36,1110,0.44
80,81,81,David Hearn,88,3.26,33,1013,0.52
81,82,82,Steve LeBrun,66,3.27,24,734,0.67
82,T83,T83,Tommy Gainey,84,3.28,34,1038,1.21
83,T83,T83,Trevor Immelman,73,3.28,28,853,0.5
84,T83,T83,Cameron Tringale,80,3.28,34,1037,0.62
85,T83,T83,Charlie Wi,75,3.28,30,916,0.6
86,T87,T87,Rickie Fowler,75,3.29,27,820,0.48
87,T87,T87,Martin Laird,68,3.29,24,729,0.63
88,89,89,Martin Kaymer,61,3.31,19,574,0.37
89,90,90,Matt Jones,83,3.32,32,965,0.56
90,91,91,Luke Guthrie,82,3.33,30,901,0.9
91,T92,T92,Greg Chalmers,77,3.34,32,958,0.91
92,T92,T92,Brandt Snedeker,79,3.34,27,809,0.48
93,94,94,Scott Gardiner,61,3.35,24,716,1.0
94,T95,T95,Erik Compton,74,3.37,30,890,0.53
95,T95,T95,Tiger Woods,61,3.37,20,593,0.55
96,97,97,Shawn Stefani,63,3.38,23,680,0.43
97,98,98,Brian Harman,89,3.42,36,1054,0.67
98,T99,T99,Ricky Barnes,74,3.44,31,901,0.48
99,T99,T99,Jordan Spieth,82,3.44,32,930,0.47
100,T101,T101,Freddie Jacobson,63,3.46,22,636,0.36
101,T101,T101,William McGirt,75,3.46,34,982,0.88
102,103,103,Stephen Ames,49,3.48,21,604,0.76
103,104,104,Lucas Glover,65,3.49,25,717,0.52
104,105,105,Chad Campbell,78,3.5,35,999,0.77
105,106,106,Carl Pettersson,82,3.51,31,883,0.94
106,107,107,Brandt Jobe,62,3.55,26,733,0.85
107,108,108,Brian Gay,79,3.56,35,983,0.54
108,109,109,Charlie Beljan,62,3.59,27,752,0.48
109,110,110,Phil Mickelson,78,3.6,28,777,0.82
110,111,111,David Mathis,71,3.62,31,857,0.74
111,112,112,Brendan Steele,86,3.66,39,1066,0.49
112,113,113,Derek Ernst,58,3.67,25,681,0.68
113,114,114,Hunter Mahan,91,3.68,35,951,0.49
114,115,115,Bobby Gates,49,3.69,19,515,1.0
115,116,116,Mike Weir,60,3.72,24,645,1.04
116,117,117,Robert Karlsson,56,3.73,19,510,0.63
117,118,118,Justin Rose,62,3.75,24,640,0.63
118,119,119,Matt Kuchar,93,3.76,36,958,0.42
119,120,120,Ernie Els,63,3.77,25,663,0.36
120,T121,T121,D.J. Trahan,48,3.83,20,522,0.55
121,T121,T121,Camilo Villegas,79,3.83,34,888,0.5
122,123,123,Chris Kirk,89,3.85,43,1116,0.65
123,T124,T124,Sean O'Hair,56,3.88,27,696,0.74
124,T124,T124,Bo Van Pelt,72,3.88,29,748,0.48
125,126,126,Rory Sabbatini,86,3.92,39,994,0.77
126,127,127,Cameron Percy,68,3.94,31,786,0.71
