,Driving_Accuracy_Percentage_RANK THIS WEEK,Driving_Accuracy_Percentage_RANK LAST WEEK,Driving_Accuracy_Percentage_PLAYER NAME,Driving_Accuracy_Percentage_ROUNDS,Driving_Accuracy_Percentage_%,Driving_Accuracy_Percentage_FAIRWAYS HIT,Driving_Accuracy_Percentage_POSSIBLE FAIRWAYS
0,1,1,Jerry Kelly,75,71.81,749,1043
1,2,2,Mark Wilson,56,70.74,515,728
2,3,3,Steve Stricker,51,70.65,467,661
3,4,4,Jim Furyk,80,70.47,766,1087
4,5,5,Tim Clark,64,70.31,599,852
5,6,6,Chez Reavie,72,70.29,705,1003
6,7,7,Henrik Stenson,65,70.09,628,896
7,8,8,Zach Johnson,84,69.68,809,1161
8,9,9,Justin Hicks,79,69.61,726,1043
9,10,10,Ken Duke,87,69.28,841,1214
10,11,11,Jeff Maggert,63,68.83,605,879
11,12,12,Jin Park,52,68.82,479,696
12,13,13,Brian Davis,91,68.61,870,1268
13,14,14,John Huh,88,68.53,845,1233
14,15,15,Graeme McDowell,53,68.51,470,686
15,16,16,Ryan Moore,72,68.44,681,995
16,17,17,"Ted Potter, Jr.",65,68.03,581,854
17,18,18,Jordan Spieth,82,67.8,775,1143
18,19,19,Ben Kohles,75,67.78,669,987
19,20,20,Darron Stiles,51,67.64,462,683
20,21,21,Doug LaBelle II,72,67.42,658,976
21,22,22,Roberto Castro,97,67.36,910,1351
22,23,23,Kevin Streelman,86,67.25,805,1197
23,24,24,Richard Lee,81,66.95,717,1071
24,25,25,Hunter Mahan,91,66.61,794,1192
25,26,26,David Toms,49,66.5,407,612
26,27,27,Colt Knost,69,66.48,601,904
27,28,28,Boo Weekley,100,66.36,925,1394
28,29,29,Brendon de Jonge,110,66.28,1016,1533
29,30,30,D.H. Lee,65,66.23,600,906
30,31,31,K.J. Choi,85,66.04,774,1172
31,32,32,Brian Stuard,78,65.99,679,1029
32,33,33,Bryce Molder,82,65.95,734,1113
33,34,34,Graham DeLaet,94,65.8,862,1310
34,35,35,Jason Bohn,70,65.74,641,975
35,36,36,George McNeill,68,65.62,624,951
36,37,37,Vaughn Taylor,50,65.32,420,643
37,38,38,Dicky Pride,71,65.24,608,932
38,39,39,J.J. Henry,83,64.93,735,1132
39,40,40,David Lingmerth,68,64.87,613,945
40,41,41,Jason Dufner,78,64.81,698,1077
41,42,42,Brian Gay,79,64.79,714,1102
42,43,43,Brandt Jobe,62,64.78,526,812
43,44,44,Tom Gillis,69,64.75,586,905
44,T45,T45,Matt Jones,83,64.74,749,1157
45,T45,T45,Nicholas Thompson,99,64.74,894,1381
46,47,47,Russell Henley,80,64.68,705,1090
47,48,48,Justin Leonard,86,64.36,771,1198
48,49,49,Kevin Stadler,83,64.21,707,1101
49,50,50,Billy Horschel,96,64.17,858,1337
50,51,51,Bo Van Pelt,72,63.8,624,978
51,52,52,Justin Rose,62,63.57,534,840
52,53,53,D.J. Trahan,48,63.54,406,639
53,54,54,D.A. Points,87,63.48,770,1213
54,55,55,Webb Simpson,92,63.3,778,1229
55,56,56,Bob Estes,66,63.11,580,919
56,57,57,Aaron Watkins,46,63.03,387,614
57,58,58,Charlie Wi,75,63.02,622,987
58,59,59,Cameron Tringale,80,62.89,700,1113
59,60,60,Luke Donald,60,62.87,508,808
60,61,61,Keegan Bradley,88,62.82,767,1221
61,T62,T62,Greg Chalmers,77,62.8,638,1016
62,T62,T62,Will Claxton,67,62.8,552,879
63,64,64,Y.E. Yang,56,62.79,491,782
64,65,65,Jim Herman,59,62.71,481,767
65,66,66,Lee Westwood,70,62.59,604,965
