,Percentage_of_Yardage_covered_by_Tee_Shots_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL DISTANCE
0,1,1,Bubba Watson,76,65.22,246724.9,378324
1,2,2,Dustin Johnson,71,64.71,212288.6,328047
2,3,3,Nicolas Colsaerts,50,64.09,148502.7,231718
3,4,4,Rory McIlroy,56,64.08,168856.8,263501
4,5,5,Luke List,65,63.86,211806.1,331696
5,6,6,Keegan Bradley,88,63.81,293575.1,460098
6,7,7,Robert Garrigus,69,63.75,198432.4,311282
7,8,8,Kyle Stanley,71,63.74,244986.0,384371
8,9,9,Morgan Hoffmann,64,63.66,213807.2,335852
9,10,10,Scott Piercy,78,63.6,252273.9,396688
10,11,11,Steven Bowditch,67,63.49,232962.7,366936
11,T12,T12,Scott Stallings,79,63.45,267343.9,421327
12,T12,T12,Gary Woodland,94,63.45,337383.9,531747
13,14,14,Ryan Palmer,79,63.39,277570.4,437901
14,15,15,Eric Meierdierks,48,63.27,149051.7,235568
15,16,16,Jason Kokrak,78,63.18,290268.4,459441
16,17,17,Rory Sabbatini,86,63.14,286623.1,453984
17,18,18,Jason Day,86,63.05,245862.6,389956
18,19,19,Martin Flores,83,62.97,304983.6,484307
19,20,20,Shawn Stefani,63,62.9,199254.2,316757
20,21,21,Charlie Beljan,62,62.82,220431.5,350872
21,22,22,Charles Howell III,87,62.8,320868.1,510901
22,23,23,Ángel Cabrera,73,62.75,228266.2,363793
23,24,24,Patrick Reed,83,62.73,294502.9,469451
24,T25,T25,Jim Herman,59,62.68,174950.4,279133
25,T25,T25,Seung-Yul Noh,71,62.68,247316.2,394544
26,27,27,Charl Schwartzel,69,62.65,216358.8,345362
27,28,28,Justin Rose,62,62.64,183575.9,293052
28,29,29,Jimmy Walker,84,62.63,300259.9,479431
29,30,30,Robert Streb,75,62.62,245237.2,391657
30,31,31,Kevin Stadler,83,62.57,273177.7,436625
31,T32,T32,John Rollins,77,62.56,271154.1,433448
32,T32,T32,Adam Scott,61,62.56,176505.8,282153
33,T34,T34,Harris English,95,62.54,326548.2,522119
34,T34,T34,Derek Ernst,58,62.54,196468.3,314171
35,T34,T34,Sean O'Hair,56,62.54,202270.2,323424
36,T37,T37,Carl Pettersson,82,62.51,254553.7,407201
37,T37,T37,Andres Romero,63,62.51,207800.9,332421
38,39,39,Tag Ridings,69,62.46,229420.2,367306
39,40,40,Matt Every,89,62.44,317712.9,508834
40,T41,T41,Hunter Mahan,91,62.39,271853.3,435701
41,T41,T41,Cameron Percy,68,62.39,224590.1,359999
42,43,43,Boo Weekley,100,62.37,328907.4,527311
