,Driving_Pct.__240_Measured_RANK THIS WEEK,Driving_Pct.__240_Measured_RANK LAST WEEK,Driving_Pct.__240_Measured_PLAYER NAME,Driving_Pct.__240_Measured_ROUNDS,Driving_Pct.__240_Measured_%,Driving_Pct.__240_Measured_TOTAL DRIVES FOR <= 240,Driving_Pct.__240_Measured_TOTAL DRVS - OVERALL,Driving_Pct.__240_Measured_RELATIVE TO PAR
0,1,1,Ian Poulter,59,8.97,7.0,78,E
1,2,2,Steve Stricker,51,7.14,5.0,70,-0.60
2,3,3,Jim Furyk,80,6.82,9.0,132,-0.44
3,4,4,Luke Donald,60,6.52,6.0,92,+0.17
4,5,5,Brian Gay,79,6.16,9.0,146,-0.11
5,6,6,Marc Leishman,77,6.15,8.0,130,+0.25
6,7,7,Ben Curtis,59,5.32,5.0,94,+0.40
7,T8,T8,John Huh,88,5.26,8.0,152,-0.25
8,T8,T8,Ryan Moore,72,5.26,6.0,114,-0.17
9,10,10,Zach Johnson,84,5.07,7.0,138,-0.57
10,11,11,Lee Williams,62,5.0,6.0,120,+0.50
11,12,12,Jason Dufner,78,4.92,6.0,122,E
12,13,13,Mike Weir,60,4.81,5.0,104,+0.40
13,14,14,Brandt Snedeker,79,4.76,6.0,126,E
14,15,15,D.A. Points,87,4.67,7.0,150,+0.14
15,16,16,Michael Thompson,66,4.63,5.0,108,-0.40
16,17,17,D.H. Lee,65,4.62,6.0,130,+0.67
17,T18,T18,Jonas Blixt,76,4.41,6.0,136,E
18,T18,T18,David Toms,49,4.41,3.0,68,E
19,20,20,Bryce Molder,82,4.38,7.0,160,-0.14
20,21,21,David Lynn,70,4.24,5.0,118,E
21,22,22,Hunter Mahan,91,4.23,6.0,142,E
22,23,23,Patrick Reed,83,4.22,7.0,166,-0.14
23,T24,T24,Rickie Fowler,75,4.17,5.0,120,-0.40
24,T24,T24,Bill Haas,85,4.17,6.0,144,+0.17
25,26,26,John Merrick,79,4.11,6.0,146,E
26,27,27,Graeme McDowell,53,4.05,3.0,74,-0.33
