,Launch_Angle_RANK THIS WEEK,Launch_Angle_RANK LAST WEEK,Launch_Angle_PLAYER NAME,Launch_Angle_ROUNDS,Launch_Angle_AVG.,Launch_Angle_TOTAL VERT. LAUNCH ANGLE,Launch_Angle_TOTAL ATTEMPTS,Launch_Angle_LOWEST LAUNCH ANGLE,Launch_Angle_STEEPEST LAUNCH ANGLE
0,1,1,David Toms,49,14.18,439.5,31,10.86,18.5
1,2,2,Darron Stiles,51,13.79,551.77,40,10.12,16.13
2,3,3,Jin Park,52,13.76,619.28,45,10.48,16.05
3,4,4,Jeff Maggert,63,13.67,792.63,58,10.83,19.61
4,5,5,Vaughn Taylor,50,13.57,529.19,39,10.05,16.04
5,6,6,Bud Cauley,67,13.43,698.57,52,9.79,18.48
6,T7,T7,David Hearn,88,13.34,1014.03,76,9.5,16.06
7,T7,T7,Nicholas Thompson,99,13.34,1161.01,87,9.29,18.23
8,9,9,Tim Clark,64,13.31,598.95,45,10.48,18.21
9,10,10,Mark Wilson,56,13.27,650.3,49,11.25,16.15
10,11,11,Brian Gay,79,13.11,983.47,75,6.73,16.55
11,12,12,Zach Johnson,84,12.98,908.37,70,9.88,15.24
12,13,13,Ernie Els,63,12.83,577.39,45,10.47,16.42
13,14,14,Ben Crane,62,12.7,686.06,54,8.27,15.98
14,15,15,Morgan Hoffmann,64,12.68,672.05,53,9.17,18.88
15,16,16,Sean O'Hair,56,12.62,504.77,40,10.15,16.68
16,17,17,John Huh,88,12.61,958.2,76,8.64,15.85
17,18,18,Doug LaBelle II,72,12.48,761.36,61,9.85,16.5
18,19,19,Chez Reavie,72,12.44,908.05,73,9.88,14.57
19,T20,T20,Brian Davis,91,12.42,1068.0,86,10.1,14.73
20,T20,T20,Ryan Palmer,79,12.42,770.19,62,9.34,15.04
21,22,22,Jonas Blixt,76,12.41,880.77,71,5.86,16.33
22,23,23,Jerry Kelly,75,12.39,817.91,66,8.79,15.28
23,24,24,Josh Teater,86,12.31,750.67,61,8.96,15.85
24,25,25,Justin Rose,62,12.3,492.02,40,9.52,15.52
25,26,26,Scott Gardiner,61,12.24,673.29,55,6.12,17.76
26,T27,T27,Jason Day,86,12.22,586.45,48,10.05,16.97
27,T27,T27,Aaron Watkins,46,12.22,439.93,36,9.69,16.41
28,29,29,Lee Williams,62,12.18,645.47,53,9.43,15.48
29,30,30,James Hahn,78,12.17,778.66,64,9.15,16.87
30,31,31,Hunter Mahan,91,12.16,814.7,67,9.54,17.94
31,32,32,Robert Garrigus,69,12.12,496.82,41,8.44,17.37
32,33,33,Keegan Bradley,88,12.06,735.91,61,9.13,17.48
33,34,34,Justin Bolli,59,12.04,565.71,47,8.71,16.13
34,T35,T35,Billy Horschel,96,12.03,926.23,77,8.2,18.05
35,T35,T35,Michael Thompson,66,12.03,613.7,51,9.1,16.49
36,37,37,Tommy Gainey,84,11.94,883.93,74,8.38,15.27
37,T38,T38,Peter Hanson,45,11.92,405.23,34,8.48,15.43
38,T38,T38,Shawn Stefani,63,11.92,524.6,44,8.74,14.88
39,40,40,Colt Knost,69,11.82,721.24,61,8.56,15.22
40,41,41,Chris Kirk,89,11.75,916.39,78,8.95,16.55
41,42,42,Bo Van Pelt,72,11.73,621.95,53,8.31,14.61
42,43,43,Ben Curtis,59,11.69,561.27,48,8.73,15.83
43,44,44,J.J. Henry,83,11.68,630.48,54,8.13,14.51
44,45,45,Troy Matteson,68,11.65,640.65,55,8.09,16.79
45,46,46,Andres Romero,63,11.64,523.6,45,4.02,18.5
46,47,47,Kyle Stanley,71,11.62,650.55,56,4.18,14.0
47,T48,T48,Brian Harman,89,11.61,928.97,80,9.11,14.17
48,T48,T48,Brian Stuard,78,11.61,765.94,66,8.98,15.05
49,50,50,Cameron Percy,68,11.59,648.82,56,8.69,14.34
50,51,51,Rickie Fowler,75,11.57,682.79,59,8.06,14.52
51,T52,T52,Scott Piercy,78,11.52,598.87,52,3.46,16.04
52,T52,T52,Brandt Snedeker,79,11.52,679.57,59,8.56,15.39
53,54,54,Brandt Jobe,62,11.5,575.02,50,8.75,15.92
54,55,55,David Lingmerth,68,11.48,700.53,61,6.75,17.53
55,56,56,Matt Kuchar,93,11.46,859.71,75,8.49,15.67
56,57,57,Matt Every,89,11.42,1004.9,88,8.51,14.86
57,58,58,Justin Hicks,79,11.4,661.41,58,5.03,15.15
58,59,59,Graham DeLaet,94,11.39,797.38,70,8.78,14.47
59,60,60,Johnson Wagner,64,11.37,591.03,52,3.98,17.53
60,61,61,Vijay Singh,61,11.35,533.33,47,6.51,15.95
61,62,62,Robert Allenby,58,11.34,521.48,46,9.04,14.48
62,63,63,Casey Wittenberg,72,11.33,713.76,63,7.77,15.65
63,64,64,John Rollins,77,11.29,745.33,66,8.03,14.25
64,65,65,Luke Donald,60,11.25,495.03,44,8.85,13.83
65,66,66,Scott Brown,65,11.24,640.58,57,8.17,14.73
66,67,67,Chris Stroud,88,11.23,886.82,79,7.93,16.11
67,T68,T68,Charley Hoffman,84,11.2,839.79,75,8.44,14.93
68,T68,T68,Tiger Woods,61,11.2,324.69,29,7.88,15.37
69,70,70,Padraig Harrington,52,11.17,357.31,32,7.71,14.62
70,T71,T71,David Lynn,70,11.15,613.28,55,8.15,15.45
71,T71,T71,D.A. Points,87,11.15,747.34,67,7.16,14.63
72,T73,T73,Russell Henley,80,11.14,724.36,65,8.84,15.67
73,T73,T73,Martin Laird,68,11.14,512.6,46,8.25,16.53
74,75,75,Tim Herron,45,11.13,445.16,40,7.7,13.58
75,T76,T76,Carl Pettersson,82,11.11,699.97,63,8.44,14.41
76,T76,T76,Alistair Presnell,59,11.11,522.14,47,5.9,14.1
77,78,78,D.J. Trahan,48,11.09,399.29,36,8.53,15.2
78,79,79,Andrew Svoboda,46,11.07,409.72,37,7.29,13.73
79,80,80,David Mathis,71,11.06,674.72,61,7.9,15.62
80,81,81,Kevin Stadler,83,11.0,792.27,72,6.96,14.76
81,82,82,Ryan Moore,72,10.97,658.13,60,7.51,14.19
82,83,83,Rory Sabbatini,86,10.96,789.12,72,4.39,18.7
83,84,84,Patrick Reed,83,10.92,742.53,68,7.08,15.69
84,85,85,Rory McIlroy,56,10.9,370.74,34,6.94,14.61
85,86,86,Steve Stricker,51,10.85,379.78,35,7.87,13.2
86,87,87,Geoff Ogilvy,57,10.84,444.27,41,8.72,14.82
