,Left_Rough_Tendency_RANK THIS WEEK,Left_Rough_Tendency_RANK LAST WEEK,Left_Rough_Tendency_PLAYER NAME,Left_Rough_Tendency_ROUNDS,Left_Rough_Tendency_%,Left_Rough_Tendency_TOTAL LEFT ROUGH,Left_Rough_Tendency_POSSIBLE FWYS,Left_Rough_Tendency_RELATIVE TO PAR
0,1,1,Ken Duke,87,8.05,84,1043,+0.10
1,2,2,D.H. Lee,65,8.63,69,800,+0.03
2,3,3,Bryce Molder,82,8.86,87,982,+0.11
3,4,4,Steve Stricker,51,9.18,45,490,E
4,5,5,Darron Stiles,51,9.28,54,582,+0.22
5,6,6,Mark Wilson,56,9.48,66,696,-0.03
6,7,7,George McNeill,68,9.67,86,889,+0.10
7,8,8,Tiger Woods,61,9.78,58,593,-0.10
8,9,9,John Huh,88,9.91,104,1049,+0.07
9,10,10,Graeme McDowell,53,10.04,52,518,+0.06
10,11,11,Jordan Spieth,82,10.11,94,930,+0.03
11,12,12,Roberto Castro,97,10.15,118,1163,-0.01
12,13,13,Hunter Mahan,91,10.2,97,951,+0.08
13,14,14,Justin Hicks,79,10.26,94,916,+0.17
14,15,15,Jim Furyk,80,10.35,92,889,+0.13
15,16,16,Rod Pampling,46,10.45,51,488,+0.27
16,17,17,Scott Langley,79,10.56,94,890,+0.06
17,18,18,Ben Kohles,75,10.63,91,856,+0.18
18,19,19,Tim Clark,64,10.7,64,598,+0.11
19,20,20,Colt Knost,69,10.74,86,801,+0.20
20,21,21,Brendon de Jonge,110,10.75,144,1339,+0.10
21,22,22,K.J. Choi,85,10.84,95,876,-0.01
22,T23,T23,Matt Jones,83,10.88,105,965,+0.10
23,T23,T23,Nick Watney,88,10.88,110,1011,+0.05
24,25,25,Aaron Watkins,46,10.91,53,486,+0.09
25,26,26,Boo Weekley,100,10.92,126,1154,+0.13
26,27,27,Josh Teater,86,11.02,92,835,+0.13
27,28,28,Greg Chalmers,77,11.06,106,958,+0.01
28,T29,T29,Charles Howell III,87,11.14,123,1104,-0.12
29,T29,T29,Charlie Wi,75,11.14,102,916,+0.11
30,31,31,David Hearn,88,11.15,113,1013,+0.14
31,32,32,Scott Brown,65,11.3,86,761,+0.15
32,33,33,Ryan Moore,72,11.31,90,796,+0.04
33,34,34,David Mathis,71,11.32,97,857,+0.14
34,35,35,Dicky Pride,71,11.36,93,819,+0.10
35,36,36,Henrik Stenson,65,11.37,69,607,-0.01
36,37,37,Harris English,95,11.43,129,1129,+0.05
37,38,38,Brandt Jobe,62,11.46,84,733,-0.07
38,39,39,Bo Van Pelt,72,11.5,86,748,+0.01
39,40,40,Bob Estes,66,11.66,100,858,+0.20
40,41,41,Doug LaBelle II,72,11.81,96,813,+0.18
41,42,42,Jerry Kelly,75,11.82,105,888,+0.06
