,Driving_Pct._320_Measured_RANK THIS WEEK,Driving_Pct._320_Measured_RANK LAST WEEK,Driving_Pct._320_Measured_PLAYER NAME,Driving_Pct._320_Measured_ROUNDS,Driving_Pct._320_Measured_%,Driving_Pct._320_Measured_TOTAL DRIVES FOR 320+,Driving_Pct._320_Measured_TOTAL DRVS - OVERALL,Driving_Pct._320_Measured_RELATIVE TO PAR
0,1,1,Nicolas Colsaerts,50,33.78,25.0,74,E
1,2,2,Dustin Johnson,71,32.41,35.0,108,-0.54
2,3,3,Luke List,65,30.33,37.0,122,-0.43
3,4,4,Bubba Watson,76,27.12,32.0,118,-0.31
4,5,5,Rory McIlroy,56,23.17,19.0,82,-0.11
5,6,6,Eric Meierdierks,48,22.83,21.0,92,-0.52
6,7,7,Gary Woodland,94,22.67,39.0,172,-0.33
7,8,8,Jason Kokrak,78,22.37,34.0,152,-0.29
8,9,9,Robert Garrigus,69,22.22,24.0,108,-0.21
9,10,10,Jason Day,86,20.31,26.0,128,-0.31
10,11,11,Keegan Bradley,88,19.86,29.0,146,-0.34
11,12,12,Peter Hanson,45,19.7,13.0,66,-0.38
12,13,13,Jimmy Walker,84,18.75,30.0,160,-0.30
13,14,14,Ryan Palmer,79,18.49,27.0,146,-0.37
14,15,15,Adam Scott,61,18.18,16.0,88,-0.50
15,16,16,Jim Herman,59,17.65,18.0,102,-0.44
16,17,17,Charl Schwartzel,69,17.59,19.0,108,-0.42
17,18,18,Steven Bowditch,67,16.92,22.0,130,-0.32
18,19,19,Charlie Beljan,62,16.67,20.0,120,-0.40
19,20,20,Seung-Yul Noh,71,15.67,21.0,134,-0.19
20,21,21,Martin Flores,83,15.66,26.0,166,-0.31
21,22,22,Ángel Cabrera,73,15.32,19.0,124,-0.37
22,23,23,Scott Stallings,79,15.22,21.0,138,-0.52
23,24,24,Graham DeLaet,94,14.77,26.0,176,-0.35
24,25,25,Kyle Stanley,71,13.49,17.0,126,-0.29
25,26,26,Robert Streb,75,13.38,19.0,142,-0.32
26,27,27,Harris English,95,13.22,23.0,174,-0.22
27,28,28,Shawn Stefani,63,12.71,15.0,118,-0.53
28,29,29,Scott Piercy,78,12.7,16.0,126,-0.50
29,30,30,Charley Hoffman,84,12.5,19.0,152,-0.37
30,31,31,James Hahn,78,12.16,18.0,148,-0.17
31,32,32,John Rollins,77,11.64,17.0,146,-0.12
32,33,33,Sean O'Hair,56,11.61,13.0,112,-0.15
33,34,34,Tag Ridings,69,11.54,15.0,130,-0.47
34,T35,T35,Billy Horschel,96,11.36,20.0,176,-0.20
35,T35,T35,Tiger Woods,61,11.36,10.0,88,-0.60
36,37,37,Morgan Hoffmann,64,11.29,14.0,124,-0.21
37,38,38,Lucas Glover,65,10.91,12.0,110,-0.58
38,39,39,Justin Rose,62,10.87,10.0,92,-0.40
39,T40,T40,Erik Compton,74,10.14,15.0,148,-0.40
40,T40,T40,Jordan Spieth,82,10.14,15.0,148,-0.67
41,42,42,Rory Sabbatini,86,10.0,16.0,160,-0.44
42,43,43,Vaughn Taylor,50,9.78,9.0,92,-0.44
43,44,44,Brad Fritsch,81,9.74,15.0,154,-0.13
44,45,45,Charles Howell III,87,9.64,16.0,166,-0.50
45,46,46,Henrik Norlander,70,9.56,13.0,136,-0.31
46,47,47,Kevin Streelman,86,9.46,14.0,148,-0.21
47,T48,T48,Ernie Els,63,9.38,9.0,96,-0.33
48,T48,T48,Henrik Stenson,65,9.38,9.0,96,-0.56
49,50,50,Andres Romero,63,9.32,11.0,118,-0.55
50,51,51,Patrick Reed,83,9.04,15.0,166,-0.33
51,52,52,Ian Poulter,59,8.97,7.0,78,-0.29
52,53,53,Martin Laird,68,8.93,10.0,112,-0.20
53,54,54,Camilo Villegas,79,8.9,13.0,146,-0.38
54,55,55,Lee Westwood,70,8.49,9.0,106,-0.33
55,56,56,Greg Owen,73,8.45,12.0,142,-0.42
56,57,57,Nicholas Thompson,99,8.42,16.0,190,-0.50
57,58,58,Jeff Overton,78,8.33,13.0,156,-0.38
58,59,59,Matt Jones,83,8.23,13.0,158,-0.31
59,T60,T60,Ryo Ishikawa,72,8.06,10.0,124,-0.30
60,T60,T60,Steve LeBrun,66,8.06,10.0,124,-0.10
61,62,62,Nick Watney,88,7.89,12.0,152,-0.33
62,T63,T63,Aaron Baddeley,68,7.81,10.0,128,-0.40
63,T63,T63,John Senden,79,7.81,10.0,128,-0.50
64,65,65,Bobby Gates,49,7.78,7.0,90,E
65,66,66,Marc Leishman,77,7.69,10.0,130,-0.20
66,67,67,Scott Gardiner,61,7.63,9.0,118,-0.33
67,T68,T68,D.J. Trahan,48,7.61,7.0,92,-0.71
68,T68,T68,Y.E. Yang,56,7.61,7.0,92,-0.29
69,70,70,Cameron Percy,68,7.58,10.0,132,-0.30
70,T71,T71,Tommy Gainey,84,7.5,12.0,160,E
71,T71,T71,Brendan Steele,86,7.5,12.0,160,-0.67
72,73,73,Kevin Chappell,80,7.43,11.0,148,-0.27
73,74,74,Michael Thompson,66,7.41,8.0,108,-0.25
74,75,75,Chad Campbell,78,7.24,11.0,152,-0.36
75,76,76,Boo Weekley,100,7.22,13.0,180,-0.31
76,T77,T77,Brandt Jobe,62,7.14,8.0,112,-0.25
77,T77,T77,Martin Kaymer,61,7.14,6.0,84,-0.33
78,T77,T77,Kevin Stadler,83,7.14,11.0,154,-0.91
79,T77,T77,Steve Stricker,51,7.14,5.0,70,E
80,81,81,Hunter Mahan,91,7.04,10.0,142,-0.30
81,82,82,Fabián Gómez,65,6.92,9.0,130,-0.44
82,83,83,Vijay Singh,61,6.86,7.0,102,-0.57
83,84,84,John Merrick,79,6.85,10.0,146,-0.60
84,85,85,Carl Pettersson,82,6.82,9.0,132,-0.11
85,86,86,D.A. Points,87,6.67,10.0,150,-0.60
86,87,87,Andrew Svoboda,46,5.95,5.0,84,+0.20
87,88,88,J.J. Henry,83,5.84,9.0,154,-0.33
88,89,89,Scott Brown,65,5.74,7.0,122,-1.00
89,90,90,Brendon de Jonge,110,5.66,12.0,212,-0.33
90,91,91,Robert Karlsson,56,5.43,5.0,92,-0.60
91,T92,T92,Padraig Harrington,52,5.41,4.0,74,-0.50
92,T92,T92,Webb Simpson,92,5.41,8.0,148,-0.25
93,94,94,Derek Ernst,58,5.36,6.0,112,E
94,95,95,Sergio Garcia,65,5.32,5.0,94,-0.20
95,96,96,Chris Kirk,89,5.29,9.0,170,E
96,97,97,Freddie Jacobson,63,5.21,5.0,96,-0.20
97,98,98,Jonas Blixt,76,5.15,7.0,136,+0.29
98,99,99,Josh Teater,86,5.0,7.0,140,+0.43
99,100,100,Jason Dufner,78,4.92,6.0,122,-0.33
100,101,101,James Driscoll,76,4.86,7.0,144,-0.43
101,102,102,Daniel Summerhays,83,4.82,8.0,166,-0.25
102,103,103,Michael Bradley,56,4.81,5.0,104,-0.20
103,104,104,Alistair Presnell,59,4.72,5.0,106,-0.20
104,105,105,Troy Matteson,68,4.55,6.0,132,-0.50
105,106,106,Robert Allenby,58,4.46,5.0,112,-0.20
106,107,107,Tim Herron,45,4.44,4.0,90,-0.75
107,108,108,Sangmoon Bae,83,4.43,7.0,158,-0.29
108,109,109,George McNeill,68,4.41,6.0,136,-0.67
109,110,110,Pat Perez,69,4.35,6.0,138,-0.17
110,111,111,Ricky Barnes,74,4.29,6.0,140,-0.83
111,112,112,Bud Cauley,67,4.24,5.0,118,-0.20
112,113,113,Bill Haas,85,4.17,6.0,144,-0.33
