,Longest_Drives_RANK THIS WEEK,Longest_Drives_RANK LAST WEEK,Longest_Drives_PLAYER NAME,Longest_Drives_ROUNDS,Longest_Drives_DISTANCE,Longest_Drives_TOURNAMENT,Longest_Drives_ROUND,Longest_Drives_HOLE,Longest_Drives_COURSE
0,1,1,Phil Mickelson,78,450,World Golf Championships-Cadillac Championship,1,17,8
1,2,2,Kyle Stanley,71,428,Hyundai Tournament of Champions,2,7,656
2,3,3,Ian Poulter,59,426,Hyundai Tournament of Champions,1,12,656
3,4,4,Graham DeLaet,94,420,Shell Houston Open,4,8,729
4,5,5,Charlie Beljan,62,418,Hyundai Tournament of Champions,2,12,656
5,6,6,Carl Pettersson,82,416,Hyundai Tournament of Champions,1,7,656
6,7,7,Stewart Cink,71,415,Shell Houston Open,4,8,729
7,8,8,Gary Woodland,94,411,Tampa Bay Championship presented by EverBank,1,10,665
8,9,9,Dustin Johnson,71,410,Hyundai Tournament of Champions,2,12,656
9,10,10,Scott Piercy,78,409,Hyundai Tournament of Champions,2,12,656
10,T11,T11,Ben Curtis,59,407,Hyundai Tournament of Champions,2,7,656
11,T11,10,Scott Piercy,78,407,Hyundai Tournament of Champions,1,7,656
12,T13,T13,Jason Dufner,78,405,Hyundai Tournament of Champions,2,7,656
13,T13,9,Dustin Johnson,71,405,Hyundai Tournament of Champions,3,12,656
14,15,15,Rickie Fowler,75,403,Hyundai Tournament of Champions,2,7,656
15,16,16,Marc Leishman,77,402,Hyundai Tournament of Champions,1,12,656
16,T17,10,Scott Piercy,78,400,Hyundai Tournament of Champions,3,17,656
17,T17,T17,Ryan Moore,72,400,Hyundai Tournament of Champions,2,7,656
18,T17,T17,"Ted Potter, Jr.",65,400,Hyundai Tournament of Champions,3,7,656
19,T20,T20,Scott Stallings,79,399,Hyundai Tournament of Champions,1,12,656
20,T20,9,Dustin Johnson,71,399,Hyundai Tournament of Champions,2,7,656
21,22,22,Webb Simpson,92,398,Hyundai Tournament of Champions,2,7,656
22,23,23,Tommy Gainey,84,397,Hyundai Tournament of Champions,3,12,656
23,T24,T11,Ben Curtis,59,396,Hyundai Tournament of Champions,1,7,656
24,T24,T24,George McNeill,68,396,Hyundai Tournament of Champions,3,17,656
25,T24,T24,Bubba Watson,76,396,Hyundai Tournament of Champions,2,12,656
26,T24,10,Scott Piercy,78,396,HP Byron Nelson Championship,4,3,19
27,T24,T24,Johnson Wagner,64,396,Hyundai Tournament of Champions,2,7,656
28,T24,5,Charlie Beljan,62,396,Hyundai Tournament of Champions,1,7,656
29,30,T24,Johnson Wagner,64,395,Hyundai Tournament of Champions,3,7,656
30,T31,T31,Bill Haas,85,394,Hyundai Tournament of Champions,2,7,656
31,T31,10,Scott Piercy,78,394,Hyundai Tournament of Champions,3,12,656
32,T31,T20,Scott Stallings,79,394,Hyundai Tournament of Champions,3,7,656
33,T34,T34,Mark Wilson,56,393,Hyundai Tournament of Champions,2,7,656
34,T34,10,Scott Piercy,78,393,Hyundai Tournament of Champions,2,7,656
35,T34,T20,Scott Stallings,79,393,Hyundai Tournament of Champions,3,12,656
36,T37,T37,Hunter Mahan,91,392,Hyundai Tournament of Champions,2,12,656
37,T37,6,Carl Pettersson,82,392,Hyundai Tournament of Champions,3,12,656
38,T37,T24,Bubba Watson,76,392,Hyundai Tournament of Champions,3,17,656
39,T37,T20,Scott Stallings,79,392,Hyundai Tournament of Champions,2,7,656
40,T41,3,Ian Poulter,59,391,Hyundai Tournament of Champions,2,18,656
41,T41,23,Tommy Gainey,84,391,Hyundai Tournament of Champions,3,7,656
42,43,43,Nicolas Colsaerts,50,390,World Golf Championships-Bridgestone Invitational,2,16,36
43,T44,23,Tommy Gainey,84,389,Hyundai Tournament of Champions,2,7,656
44,T44,T44,Keegan Bradley,88,389,HP Byron Nelson Championship,4,1,19
45,T46,T24,George McNeill,68,388,Hyundai Tournament of Champions,2,7,656
46,T46,6,Carl Pettersson,82,388,Hyundai Tournament of Champions,3,17,656
47,T46,5,Charlie Beljan,62,388,Hyundai Tournament of Champions,2,7,656
48,T49,T49,Marcel Siem,27,387,HP Byron Nelson Championship,4,3,19
49,T49,T49,Brandt Snedeker,79,387,Hyundai Tournament of Champions,2,12,656
50,T49,9,Dustin Johnson,71,387,Hyundai Tournament of Champions,1,7,656
51,T52,T52,Jimmy Walker,84,386,HP Byron Nelson Championship,4,1,19
52,T52,T24,Bubba Watson,76,386,Hyundai Tournament of Champions,1,12,656
53,T52,10,Scott Piercy,78,386,Hyundai Tournament of Champions,3,18,656
54,T52,T52,Boo Weekley,100,386,Wyndham Championship,1,11,752
55,T52,16,Marc Leishman,77,386,Hyundai Tournament of Champions,3,18,656
56,T52,T52,Camilo Villegas,79,386,RBC Heritage,4,3,12
57,T52,T20,Scott Stallings,79,386,Hyundai Tournament of Champions,1,18,656
58,T52,5,Charlie Beljan,62,386,HP Byron Nelson Championship,4,3,19
59,T60,T60,Jonas Blixt,76,385,Hyundai Tournament of Champions,3,7,656
60,T60,T60,Bernd Wiesberger,6,385,The Open Championship,2,2,542
61,T60,9,Dustin Johnson,71,385,Hyundai Tournament of Champions,3,7,656
62,T60,5,Charlie Beljan,62,385,Hyundai Tournament of Champions,1,12,656
63,T64,T11,Ben Curtis,59,384,Hyundai Tournament of Champions,3,18,656
64,T64,T24,Bubba Watson,76,384,RBC Canadian Open,4,18,32
65,T64,8,Gary Woodland,94,384,John Deere Classic,3,10,669
66,T64,5,Charlie Beljan,62,384,Hyundai Tournament of Champions,3,7,656
67,T64,T44,Keegan Bradley,88,384,Hyundai Tournament of Champions,1,7,656
68,T69,3,Ian Poulter,59,383,Hyundai Tournament of Champions,1,7,656
69,T69,T37,Hunter Mahan,91,383,Hyundai Tournament of Champions,3,17,656
70,T69,T69,Martin Flores,83,383,HP Byron Nelson Championship,2,1,19
71,T69,22,Webb Simpson,92,383,Hyundai Tournament of Champions,3,17,656
72,T73,43,Nicolas Colsaerts,50,382,the Memorial Tournament presented by Nationwide Insurance,2,17,23
