,Driving_Pct._280-300_Measured_RANK THIS WEEK,Driving_Pct._280-300_Measured_RANK LAST WEEK,Driving_Pct._280-300_Measured_PLAYER NAME,Driving_Pct._280-300_Measured_ROUNDS,Driving_Pct._280-300_Measured_%,Driving_Pct._280-300_Measured_TOTAL DRIVES FOR 280-300,Driving_Pct._280-300_Measured_TOTAL DRVS - OVERALL,Driving_Pct._280-300_Measured_RELATIVE TO PAR
0,1,1,Brendan Steele,86,52.5,84,160,-0.13
1,2,2,Cameron Tringale,80,51.88,83,160,-0.11
2,3,3,Y.E. Yang,56,50.0,46,92,-0.17
3,4,4,Scott Brown,65,49.18,60,122,-0.18
4,5,5,Tim Herron,45,48.89,44,90,-0.07
5,6,6,Rickie Fowler,75,48.33,58,120,-0.17
6,7,7,Lucas Glover,65,48.18,53,110,-0.15
7,8,8,Matt Kuchar,93,47.89,68,142,-0.24
8,9,9,George McNeill,68,47.06,64,136,-0.19
9,10,10,Troy Matteson,68,46.97,62,132,-0.10
10,T11,T11,Ernie Els,63,46.88,45,96,-0.04
11,T11,T11,Rory Sabbatini,86,46.88,75,160,-0.11
12,13,13,Geoff Ogilvy,57,46.81,44,94,-0.16
13,14,14,Webb Simpson,92,46.62,69,148,-0.26
14,15,15,Andrew Svoboda,46,46.43,39,84,-0.18
15,16,16,Boo Weekley,100,46.11,83,180,-0.29
16,17,17,Luke Guthrie,82,45.95,68,148,-0.13
17,18,18,John Rollins,77,45.89,67,146,-0.18
18,19,19,James Driscoll,76,45.83,66,144,-0.11
19,20,20,Sergio Garcia,65,45.74,43,94,-0.23
20,21,21,Will Claxton,67,45.24,57,126,-0.14
21,22,22,Justin Hicks,79,45.21,66,146,-0.15
22,23,23,Brian Stuard,78,45.14,65,144,-0.26
23,T24,T24,Jeff Overton,78,44.87,70,156,-0.07
24,T24,T24,Ian Poulter,59,44.87,35,78,-0.06
25,26,26,D.J. Trahan,48,44.57,41,92,-0.05
26,27,27,John Merrick,79,44.52,65,146,-0.05
27,T28,T28,K.J. Choi,85,44.12,60,136,-0.10
28,T28,T28,Vijay Singh,61,44.12,45,102,-0.04
29,30,30,Cameron Percy,68,43.94,58,132,-0.02
30,31,31,Jordan Spieth,82,43.92,65,148,-0.11
31,32,32,D.H. Lee,65,43.85,57,130,-0.19
32,33,33,Derek Ernst,58,43.75,49,112,-0.08
33,34,34,Hunter Mahan,91,43.66,62,142,-0.13
34,35,35,Brandt Snedeker,79,43.65,55,126,-0.13
35,36,36,Justin Rose,62,43.48,40,92,-0.10
36,37,37,Jason Dufner,78,43.44,53,122,-0.28
37,38,38,Patrick Reed,83,43.37,72,166,-0.11
38,39,39,Padraig Harrington,52,43.24,32,74,-0.31
39,40,40,Matt Every,89,43.1,75,174,-0.07
