,Apex_Height_RANK THIS WEEK,Apex_Height_RANK LAST WEEK,Apex_Height_PLAYER NAME,Apex_Height_ROUNDS,Apex_Height_AVG.,Apex_Height_TOTAL APEX HEIGHT,Apex_Height_TOTAL ATTEMPTS,Apex_Height_HIGHEST APEX POINT,Apex_Height_LOWEST APEX POINT
0,1,1,Jason Day,86,"131' 8""",5661',43,"162' 8""","100' 3"""
1,2,2,Graham DeLaet,94,"125' 2""","8385' 4""",67,"154' 8""","101' 8"""
2,3,3,Sean O'Hair,56,"119' 11""","4797' 1""",40,"149' 11""","85' 8"""
3,4,4,Keegan Bradley,88,"119' 6""","6933' 3""",58,"151' 1""","96' 5"""
4,5,5,Rickie Fowler,75,"119' 3""",6675',56,"157' 0""","60' 7"""
5,6,6,Josh Teater,86,"118' 4""","6980' 6""",59,"148' 11""","90' 1"""
6,7,7,Patrick Reed,83,"117' 9""","7538' 6""",64,"163' 7""","86' 2"""
7,8,8,Kyle Stanley,71,"116' 9""","6073' 0""",52,"155' 7""","60' 10"""
8,9,9,Rory McIlroy,56,"114' 10""",3788',33,"159' 1""","65' 10"""
9,10,10,Charlie Beljan,62,"113' 3""","4644' 7""",41,"147' 5""","66' 10"""
10,11,11,Henrik Stenson,65,"111' 5""","2563' 5""",23,"130' 4""","90' 1"""
11,12,12,Pat Perez,69,"111' 3""","6673' 8""",60,"148' 6""","64' 10"""
12,13,13,Bud Cauley,67,"111' 0""","5772' 6""",52,"160' 0""","83' 6"""
13,T14,T14,James Hahn,78,"110' 11""","6987' 5""",63,"159' 6""","75' 9"""
14,T14,T14,Ryan Palmer,79,"110' 11""","6657' 6""",60,"151' 6""","76' 2"""
15,16,16,Seung-Yul Noh,71,"110' 9""","6310' 7""",57,"149' 6""","71' 1"""
16,17,17,Hunter Mahan,91,"110' 7""","6967' 1""",63,"134' 2""","87' 0"""
17,T18,T18,Ángel Cabrera,73,"110' 6""","5855' 5""",53,"178' 5""","51' 6"""
18,T18,T18,Charley Hoffman,84,"110' 6""","7958' 0""",72,"148' 9""","66' 8"""
19,20,20,Robert Garrigus,69,"109' 10""","4174' 2""",38,"198' 4""","69' 4"""
20,21,21,Billy Horschel,96,"109' 4""","8421' 4""",77,"135' 9""","69' 8"""
21,22,22,Tiger Woods,61,"109' 2""","2946' 8""",27,"141' 5""","66' 9"""
22,23,23,Martin Laird,68,"109' 1""",4909',45,"151' 4""","83' 1"""
23,24,24,Troy Matteson,68,"108' 10""","5660' 6""",52,"157' 0""","68' 10"""
24,25,25,Peter Hanson,45,"108' 8""","3584' 9""",33,"136' 5""","89' 10"""
25,26,26,Nicolas Colsaerts,50,"108' 7""","3475' 8""",32,"152' 0""","46' 3"""
26,T27,T27,Geoff Ogilvy,57,"108' 6""","4341' 7""",40,"138' 1""","77' 0"""
27,T27,T27,Vaughn Taylor,50,"108' 6""","4123' 7""",38,"135' 1""","66' 6"""
28,29,29,Ernie Els,63,"108' 1""","4648' 6""",43,"130' 1""","82' 10"""
29,T30,T30,Padraig Harrington,52,"107' 11""","3346' 5""",31,"137' 7""","84' 0"""
30,T30,T30,Nicholas Thompson,99,"107' 11""","8960' 0""",83,"133' 7""","69' 3"""
31,32,32,Morgan Hoffmann,64,"107' 8""","5489' 1""",51,"159' 9""","65' 6"""
32,33,33,Mark Wilson,56,"107' 6""","5160' 5""",48,"131' 11""","87' 7"""
33,34,34,Justin Rose,62,"107' 2""","4180' 3""",39,"142' 3""","78' 1"""
34,35,35,Gary Woodland,94,"106' 8""",5439',51,"142' 10""","77' 2"""
35,36,36,Shawn Stefani,63,"106' 6""","4367' 6""",41,"132' 1""","59' 8"""
36,37,37,David Hearn,88,"106' 3""","7650' 2""",72,"135' 8""","66' 7"""
37,38,38,Scott Stallings,79,"105' 11""","6251' 5""",59,"141' 6""","76' 4"""
38,39,39,Jonas Blixt,76,"105' 10""","7089' 7""",67,"143' 5""","53' 0"""
39,40,40,Scott Gardiner,61,"105' 7""","5703' 4""",54,"137' 1""","66' 11"""
40,T41,T41,Luke Donald,60,"105' 6""","4324' 4""",41,"132' 8""","74' 7"""
41,T41,T41,Luke Guthrie,82,"105' 6""","7278' 1""",69,"130' 11""","67' 2"""
42,43,43,Marc Leishman,77,"105' 5""","6218' 6""",59,"156' 0""","56' 9"""
43,T44,T44,John Rollins,77,"105' 4""","6844' 6""",65,"144' 4""","76' 1"""
44,T44,T44,Nick Watney,88,"105' 4""","7160' 8""",68,"137' 5""","73' 0"""
45,46,46,Kevin Stadler,83,"105' 1""",7039',67,"148' 10""","63' 9"""
46,47,47,Ben Crane,62,"104' 9""","5551' 6""",53,"141' 5""","54' 2"""
47,T48,T48,Dustin Johnson,71,"104' 7""","3765' 2""",36,"135' 6""","59' 2"""
48,T48,T48,Bubba Watson,76,"104' 7""","4707' 1""",45,"174' 0""","49' 3"""
49,50,50,Charl Schwartzel,69,"104' 5""","4592' 7""",44,"146' 0""","70' 6"""
50,51,51,David Lingmerth,68,"104' 3""",6255',60,"146' 7""","67' 5"""
51,52,52,Matt Every,89,"104' 0""","8838' 5""",85,"130' 2""","75' 1"""
52,53,53,Martin Kaymer,61,"103' 1""","4434' 3""",43,"134' 2""","58' 11"""
53,54,54,Michael Thompson,66,"102' 11""",5145',50,"128' 5""","67' 3"""
54,55,55,Henrik Norlander,70,"102' 8""","5236' 5""",51,"150' 1""","47' 2"""
55,56,56,David Toms,49,"102' 5""",2663',26,"119' 1""","83' 3"""
56,T57,T57,Jin Park,52,"102' 2""","4496' 3""",44,"131' 0""","73' 4"""
57,T57,T57,Cameron Percy,68,"102' 2""",5719',56,"143' 5""","67' 10"""
58,T59,T59,Bill Haas,85,"101' 11""",6524',64,"129' 11""","76' 4"""
59,T59,T59,John Huh,88,"101' 11""","7437' 6""",73,"127' 4""","68' 5"""
60,T59,T59,Chris Kirk,89,"101' 11""","7645' 1""",75,"127' 1""","60' 10"""
61,62,62,Andres Romero,63,"101' 10""","4784' 4""",47,"146' 6""","48' 2"""
62,63,63,Lee Westwood,70,"101' 9""",5390',53,"135' 4""","62' 2"""
63,64,64,Scott Piercy,78,"101' 6""","4871' 4""",48,"146' 9""","64' 4"""
64,65,65,Bo Van Pelt,72,"101' 2""","5060' 2""",50,"120' 4""","75' 10"""
65,T66,T66,James Driscoll,76,"101' 1""","5862' 5""",58,"146' 1""","59' 8"""
66,T66,T66,Brandt Snedeker,79,"101' 1""","5559' 6""",55,"201' 5""","59' 5"""
67,T68,T68,Harris English,95,"101' 0""","6564' 1""",65,"133' 10""","51' 5"""
68,T68,T68,Johnson Wagner,64,"101' 0""","4948' 8""",49,"134' 2""","68' 3"""
69,70,70,Cameron Tringale,80,"100' 11""","6562' 0""",65,"226' 3""","71' 1"""
70,71,71,J.J. Henry,83,"100' 3""","5011' 6""",50,"127' 11""","53' 7"""
71,72,72,Brendan Steele,86,"99' 10""","7088' 4""",71,"124' 5""","64' 9"""
72,73,73,Kevin Chappell,80,"99' 7""","5575' 3""",56,"124' 3""","78' 5"""
73,74,74,Robert Allenby,58,"99' 0""","4652' 1""",47,"137' 11""","56' 0"""
74,75,75,Brandt Jobe,62,"98' 2""","4906' 4""",50,"131' 1""","63' 1"""
75,76,76,Steve Stricker,51,"98' 1""",3137',32,"116' 1""","73' 1"""
76,T77,T77,Derek Ernst,58,"97' 11""","5090' 4""",52,"137' 6""","57' 8"""
77,T77,T77,Aaron Watkins,46,"97' 11""","3428' 6""",35,"126' 10""","69' 8"""
78,79,79,Steven Bowditch,67,"97' 7""","5365' 0""",55,"122' 9""","67' 11"""
79,80,80,Doug LaBelle II,72,"97' 6""","5461' 2""",56,"121' 10""","65' 11"""
80,81,81,George McNeill,68,"97' 2""","5734' 4""",59,"146' 5""","62' 6"""
81,T82,T82,Sergio Garcia,65,"97' 1""","3398' 0""",35,"152' 0""","38' 2"""
82,T82,T82,Robert Karlsson,56,"97' 1""","3398' 0""",35,"144' 5""","47' 6"""
83,84,84,Zach Johnson,84,"96' 10""","6489' 5""",67,"126' 7""","57' 9"""
84,85,85,Webb Simpson,92,"96' 5""","5879' 8""",61,"125' 8""","74' 0"""
85,86,86,Andrew Svoboda,46,"96' 2""","3270' 3""",34,"129' 2""","75' 5"""
86,T87,T87,Tim Herron,45,"95' 11""","3548' 6""",37,"132' 10""","62' 6"""
87,T87,T87,Steve LeBrun,66,"95' 11""","4602' 1""",48,"118' 3""","69' 6"""
88,89,89,Russell Henley,80,"95' 9""","5841' 6""",61,"127' 0""","70' 5"""
89,T90,T90,Brian Gay,79,"95' 8""","6790' 5""",71,"125' 3""","56' 9"""
90,T90,T90,Jeff Maggert,63,"95' 8""","5164' 1""",54,"114' 11""","73' 8"""
91,T92,T92,Chris Stroud,88,"95' 6""","7164' 5""",75,"125' 8""","51' 8"""
92,T92,T92,Brian Stuard,78,"95' 6""","6109' 8""",64,"135' 8""","62' 8"""
93,94,94,Brian Davis,91,"95' 5""","8205' 8""",86,"119' 3""","64' 1"""
94,95,95,Alistair Presnell,59,"95' 3""","4000' 7""",42,"126' 9""","68' 5"""
