,Left_Tendency_RANK THIS WEEK,Left_Tendency_RANK LAST WEEK,Left_Tendency_PLAYER NAME,Left_Tendency_EVENTS,Left_Tendency_%,Left_Tendency_NUMBER OF TIMES,Left_Tendency_ATTEMPTS,Left_Tendency_AVG RTP SCORE
0,1,1,Bryce Molder,24,34.7,116,334,1.72
1,2,2,D.H. Lee,22,35.9,93,259,2.04
2,3,3,Ken Duke,28,36.9,113,306,1.68
3,T4,T4,Rod Pampling,16,38.0,68,179,3.82
4,T4,T4,Mark Wilson,19,38.0,73,192,0.14
5,6,6,Charles Howell III,26,38.9,190,489,0.42
6,7,7,David Mathis,24,39.0,121,310,2.48
7,8,8,Darron Stiles,20,39.1,70,179,2.57
8,T9,T9,Scott Langley,27,39.4,130,330,2.08
9,T9,T9,Steve LeBrun,21,39.4,113,287,1.86
10,T9,T9,Scott Piercy,24,39.4,141,358,1.7
11,T12,T12,Josh Teater,24,39.5,121,306,1.98
12,T12,T12,Aaron Watkins,19,39.5,70,177,2.14
13,T14,T14,George McNeill,21,39.6,118,298,1.53
14,T14,T14,Charlie Wi,23,39.6,133,336,1.73
15,16,16,Mike Weir,22,40.8,120,294,2.33
16,17,17,Hunter Mahan,25,41.0,125,305,1.68
17,18,18,John Rollins,24,41.1,152,370,1.12
18,19,19,Tiger Woods,16,41.2,87,211,1.26
19,20,20,Derek Ernst,21,41.4,110,266,2.27
20,21,21,Scott Gardiner,23,41.8,122,292,3.69
21,T22,T22,Scott Brown,21,41.9,119,284,2.18
22,T22,T22,David Hearn,26,41.9,160,382,2.25
23,24,24,Marc Leishman,23,42.0,146,348,1.51
24,25,25,Greg Chalmers,25,42.1,144,342,1.74
25,26,26,Bobby Gates,20,42.2,105,249,0.86
26,T27,T27,John Huh,28,42.3,137,324,1.75
27,T27,T27,Chris Kirk,24,42.3,185,437,0.32
28,29,29,Ricky Barnes,26,42.4,150,354,1.2
29,30,30,Justin Bolli,23,42.7,105,246,1.81
30,31,31,Fabián Gómez,23,42.9,127,296,2.05
31,32,32,Steve Stricker,13,43.1,56,130,1.07
32,33,33,Stephen Ames,19,43.3,106,245,2.45
33,34,34,James Hahn,26,43.5,163,375,2.15
34,35,35,Freddie Jacobson,19,43.6,112,257,0.27
35,36,36,Ryan Moore,22,43.7,104,238,1.15
36,37,37,Brendon de Jonge,30,43.8,190,434,1.37
37,T38,T38,Justin Hicks,25,43.9,123,280,2.44
38,T38,T38,Jordan Spieth,23,43.9,125,285,0.72
39,T38,T38,Nick Watney,26,43.9,159,362,2.26
40,41,41,John Senden,25,44.0,143,325,0.84
41,42,42,Matt Jones,24,44.2,145,328,1.59
42,T43,T43,Trevor Immelman,24,44.4,146,329,1.58
43,T43,T43,Dicky Pride,23,44.4,127,286,2.2
44,T45,T45,Harris English,26,44.5,195,438,1.74
45,T45,T45,Bob Estes,18,44.5,137,308,2.12
46,T45,T45,Martin Laird,21,44.5,121,272,1.16
47,48,48,Colt Knost,25,44.9,120,267,3.17
48,T49,T49,Sangmoon Bae,26,45.0,183,407,1.31
49,T49,T49,Nicolas Colsaerts,17,45.0,100,222,1.5
50,T51,T51,Tim Herron,15,45.1,125,277,1.6
51,T51,T51,Morgan Hoffmann,20,45.1,138,306,1.23
52,T53,T53,Kyle Stanley,24,45.3,139,307,1.94
53,T53,T53,Michael Thompson,22,45.3,120,265,2.08
54,T53,T53,Lee Williams,22,45.3,126,278,2.14
55,56,56,Rory McIlroy,16,45.9,102,222,0.1
56,57,57,David Lynn,22,46.1,142,308,1.83
57,T58,T58,Charlie Beljan,24,46.2,128,277,2.19
58,T58,T58,Ben Kohles,25,46.2,128,277,2.5
59,T60,T60,Ángel Cabrera,21,46.3,149,322,0.87
60,T60,T60,Roberto Castro,29,46.3,169,365,1.01
61,T60,T60,Jimmy Walker,24,46.3,216,467,0.56
62,63,63,Andrew Svoboda,18,46.4,84,181,2.38
63,T64,T64,Jeff Overton,24,46.6,198,425,1.97
64,T64,T64,Jin Park,20,46.6,88,189,1.48
65,T66,T66,Sean O'Hair,22,46.7,141,302,2.62
