,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_TOTAL DISTANCE
0,1,1,Dustin Johnson,71,55.76,48851.8,87606
1,2,2,Robert Garrigus,69,55.34,50781.2,91758
2,3,3,Luke List,65,55.33,52261.9,94454
3,4,4,Bubba Watson,76,55.31,59351.7,107310
4,5,5,Gary Woodland,94,55.1,80566.0,146214
5,6,6,Kyle Stanley,71,54.82,60317.7,110028
6,7,7,Nicolas Colsaerts,50,54.54,34508.9,63274
7,8,8,Keegan Bradley,88,54.45,65291.0,119911
8,9,9,Graham DeLaet,94,54.25,75631.7,139413
9,10,10,Jason Kokrak,78,54.15,69627.7,128575
10,11,11,Ryan Palmer,79,54.08,63194.5,116864
11,12,12,Rory McIlroy,56,54.05,43108.3,79760
12,13,13,Eric Meierdierks,48,54.01,35686.7,66069
13,14,14,Sean O'Hair,56,53.89,48535.9,90066
14,15,15,Scott Stallings,79,53.84,63791.9,118483
15,16,16,Scott Piercy,78,53.8,57240.6,106403
16,17,17,Charl Schwartzel,69,53.78,49045.9,91189
17,18,18,Jason Day,86,53.71,58556.9,109032
18,19,19,Martin Flores,83,53.6,69289.7,129264
19,20,20,Rory Sabbatini,86,53.59,62858.4,117302
20,T21,T21,Steven Bowditch,67,53.58,53174.6,99241
21,T21,T21,Charles Howell III,87,53.58,76459.7,142696
22,23,23,Jim Herman,59,53.56,39281.3,73341
23,24,24,Morgan Hoffmann,64,53.51,44247.9,82694
24,T25,T25,Charlie Beljan,62,53.48,53096.4,99290
25,T25,T25,Robert Streb,75,53.48,54701.4,102291
26,27,27,Shawn Stefani,63,53.45,44297.8,82883
27,28,28,Seung-Yul Noh,71,53.41,59088.3,110629
28,29,29,Ángel Cabrera,73,53.35,52323.8,98070
29,T30,T30,Justin Rose,62,53.33,41487.6,77792
30,T30,T30,Adam Scott,61,53.33,41863.8,78496
31,T32,T32,Tag Ridings,69,53.22,53225.1,100001
32,T32,T32,Jimmy Walker,84,53.22,74205.6,139431
33,34,34,Brad Fritsch,81,53.21,62576.6,117604
34,35,35,Tiger Woods,61,53.17,40139.7,75499
35,T36,T36,Harris English,95,53.03,75416.1,142202
36,T36,T36,Matt Jones,83,53.03,64810.4,122218
37,T36,T36,Patrick Reed,83,53.03,64953.6,122480
38,T36,T36,Andrew Svoboda,46,53.03,30429.6,57380
39,40,40,Lucas Glover,65,53.02,51292.6,96744
40,T41,T41,Andres Romero,63,52.98,48663.4,91850
41,T41,T41,Josh Teater,86,52.98,59995.3,113251
42,T43,T43,Kevin Chappell,80,52.97,65671.2,123987
43,T43,T43,Greg Owen,73,52.97,59752.9,112797
44,T43,T43,John Rollins,77,52.97,62464.7,117930
45,46,46,Martin Kaymer,61,52.9,35587.5,67278
46,47,47,Chris Kirk,89,52.88,74988.2,141813
47,T48,T48,Bobby Gates,49,52.85,34766.0,65786
48,T48,T48,Kevin Stadler,83,52.85,62696.5,118641
49,50,50,Russell Henley,80,52.8,59329.4,112359
50,T51,T51,Scott Brown,65,52.76,54572.9,103434
51,T51,T51,Hunter Mahan,91,52.76,65218.8,123603
52,53,53,Derek Ernst,58,52.75,44401.8,84180
53,54,54,Martin Laird,68,52.74,53378.1,101208
54,55,55,Ryo Ishikawa,72,52.63,50276.3,95528
55,56,56,Aaron Baddeley,68,52.61,58710.1,111595
56,57,57,Erik Compton,74,52.6,57065.8,108492
57,58,58,Nick Watney,88,52.59,70854.4,134735
58,T59,T59,Charley Hoffman,84,52.56,71064.9,135214
59,T59,T59,Jeff Overton,78,52.56,68066.8,129505
60,61,61,Cameron Percy,68,52.55,49599.6,94377
61,62,62,Boo Weekley,100,52.54,73192.1,139315
62,63,63,Henrik Norlander,70,52.53,53332.2,101536
63,64,64,Lee Westwood,70,52.52,47916.7,91229
64,65,65,Steve LeBrun,66,52.5,49248.3,93805
