,Rough_Tendency_RANK THIS WEEK,Rough_Tendency_RANK LAST WEEK,Rough_Tendency_PLAYER NAME,Rough_Tendency_ROUNDS,Rough_Tendency_%,Rough_Tendency_TOTAL ROUGH,Rough_Tendency_POSSIBLE FWYS,Rough_Tendency_RELATIVE TO PAR
0,1,1,Graeme McDowell,53,20.66,107,518,+0.65
1,2,2,Henrik Stenson,65,20.92,127,607,+0.16
2,3,3,Steve Stricker,51,21.02,103,490,-0.29
3,4,4,K.J. Choi,85,22.03,193,876,+0.31
4,5,5,Jim Furyk,80,22.27,198,889,+1.31
5,6,6,Ken Duke,87,22.53,235,1043,+1.53
6,7,7,Tim Clark,64,22.58,135,598,+0.89
7,8,8,Chez Reavie,72,22.75,212,932,+0.90
8,9,9,Roberto Castro,97,22.96,267,1163,+0.34
9,10,10,Zach Johnson,84,22.97,215,936,+0.84
10,11,11,Brian Davis,91,22.98,265,1153,+0.94
11,12,12,Jerry Kelly,75,23.09,205,888,+0.98
12,13,13,Jordan Spieth,82,23.23,216,930,-0.09
13,14,14,Mark Wilson,56,23.28,162,696,+0.56
14,15,15,Ben Kohles,75,23.36,200,856,+1.45
15,16,16,John Huh,88,23.45,246,1049,+0.77
16,17,17,Justin Hicks,79,23.47,215,916,+1.58
17,18,18,Colt Knost,69,23.72,190,801,+1.68
18,T19,T19,Ryan Moore,72,23.74,189,796,+1.48
19,T19,T19,Boo Weekley,100,23.74,274,1154,+1.42
20,21,21,Jeff Maggert,63,23.87,190,796,+1.84
21,22,22,D.H. Lee,65,24.0,192,800,+0.68
22,23,23,Lee Westwood,70,24.01,170,708,+0.65
23,24,24,Bo Van Pelt,72,24.06,180,748,+1.11
24,25,25,Doug LaBelle II,72,24.11,196,813,+1.84
25,26,26,David Toms,49,24.32,108,444,+1.57
26,27,27,Darron Stiles,51,24.4,142,582,+1.83
27,28,28,Richard Lee,81,24.42,244,999,+1.19
28,29,29,Kevin Streelman,86,24.6,232,943,+0.47
29,30,30,"Ted Potter, Jr.",65,24.61,189,768,+0.48
30,31,31,Brendon de Jonge,110,24.65,330,1339,+0.76
31,32,32,Brandt Jobe,62,24.69,181,733,+0.99
32,33,33,Jin Park,52,24.79,148,597,+1.62
33,34,34,William McGirt,75,24.85,244,982,+0.61
34,35,35,Hunter Mahan,91,24.92,237,951,+0.38
35,36,36,Jason Bohn,70,24.97,228,913,+1.93
36,37,37,Matt Jones,83,25.08,242,965,+0.17
37,38,38,Brian Stuard,78,25.2,220,873,+0.91
