,Left_Rough_Tendency_RTP_Score_RANK THIS WEEK,Left_Rough_Tendency_RTP_Score_RANK LAST WEEK,Left_Rough_Tendency_RTP_Score_PLAYER NAME,Left_Rough_Tendency_RTP_Score_ROUNDS,Left_Rough_Tendency_RTP_Score_RTP SCORE
148,T148,T148,Tom Gillis,69,+.149
149,150,150,Robert Allenby,58,+.150
150,151,151,Scott Brown,65,+.151
151,152,152,Lee Williams,62,+.152
152,153,153,Jeff Overton,78,+.154
153,154,154,Lucas Glover,65,+.157
154,155,155,Derek Ernst,58,+.160
155,156,156,Alistair Presnell,59,+.167
156,157,157,Justin Hicks,79,+.170
157,158,158,Brad Fritsch,81,+.172
158,159,159,Greg Owen,73,+.173
159,T160,T160,Ben Kohles,75,+.176
160,T160,T160,Eric Meierdierks,48,+.176
161,T160,T160,Carl Pettersson,82,+.176
162,T160,T160,Johnson Wagner,64,+.176
163,164,164,Doug LaBelle II,72,+.177
164,165,165,Michael Thompson,66,+.183
165,166,166,Justin Bolli,59,+.195
166,167,167,Ben Curtis,59,+.196
167,168,168,Colt Knost,69,+.198
168,T169,T169,Bob Estes,66,+.200
169,T169,T169,Andrew Svoboda,46,+.200
170,T171,T171,Jason Bohn,70,+.203
171,T171,T171,Y.E. Yang,56,+.203
172,173,173,Kyle Stanley,71,+.206
173,174,174,Scott Gardiner,61,+.213
174,175,175,Jeff Maggert,63,+.215
175,176,176,Darron Stiles,51,+.222
176,177,177,Stephen Ames,49,+.225
177,178,178,Sean O'Hair,56,+.238
178,179,179,Rod Pampling,46,+.275
179,180,180,Vaughn Taylor,50,+.307
