,Total_Driving_RANK THIS WEEK,Total_Driving_RANK LAST WEEK,Total_Driving_PLAYER NAME,Total_Driving_EVENTS,Total_Driving_TOTAL,Total_Driving_DISTANCE RANK,Total_Driving_ACCURACY RANK
0,1,1,Graham DeLaet,26,53,19,34
1,2,2,Keegan Bradley,25,72,11,61
2,3,3,Henrik Stenson,18,73,66,7
3,4,4,Justin Rose,17,79,27,52
4,5,5,Jim Herman,19,82,17,65
5,6,6,Billy Horschel,26,92,42,50
6,7,7,Boo Weekley,27,94,66,28
7,T8,T8,Hunter Mahan,25,98,73,25
8,T8,T8,Jordan Spieth,23,98,80,18
9,10,10,D.J. Trahan,16,99,46,53
10,11,11,Brandt Jobe,19,100,57,43
11,12,12,Matt Jones,24,101,56,45
12,13,13,Nicholas Thompson,29,105,60,45
13,14,14,Adam Scott,16,107,23,84
14,15,15,Vaughn Taylor,16,112,75,37
15,16,16,Kevin Streelman,25,117,94,23
16,17,17,Tiger Woods,16,118,49,69
17,18,18,Kevin Stadler,25,124,75,49
18,19,19,Steve Stricker,13,127,124,3
19,20,20,Lucas Glover,23,128,43,85
20,21,21,Russell Henley,24,130,83,47
21,22,22,Bubba Watson,21,131,5,126
22,23,23,Brendon de Jonge,30,133,104,29
23,24,24,Chez Reavie,22,134,128,6
24,25,25,Lee Westwood,19,135,69,66
25,26,26,Nick Watney,26,136,63,73
26,T27,T27,Kevin Chappell,24,139,52,87
27,T27,T27,Charl Schwartzel,19,139,29,110
28,T29,T29,Kyle Stanley,24,140,22,118
29,T29,T29,Robert Streb,25,140,24,116
30,T31,T31,George McNeill,21,142,106,36
31,T31,T31,Josh Teater,24,142,43,99
32,33,33,Charlie Beljan,24,143,32,111
33,34,34,Martin Laird,21,144,46,98
34,35,35,Henrik Norlander,22,145,36,109
35,T36,T36,Steve LeBrun,21,146,38,108
36,T36,T36,Ryan Moore,22,146,130,16
37,38,38,John Huh,28,147,133,14
38,T39,T39,Jason Dufner,22,148,107,41
39,T39,T39,Tom Gillis,22,148,104,44
40,T39,T39,Rory McIlroy,16,148,8,140
41,42,42,David Lingmerth,23,149,109,40
42,43,43,Gary Woodland,26,150,4,146
43,44,44,Roberto Castro,29,152,130,22
44,T45,T45,Scott Brown,21,154,78,76
45,T45,T45,Jason Day,21,154,16,138
46,T45,T45,Brendan Steele,26,154,68,86
47,T48,T48,Justin Hicks,25,155,146,9
48,T48,T48,Ryan Palmer,22,155,10,145
49,T50,T50,Sergio Garcia,17,156,64,92
50,T50,T50,Charley Hoffman,23,156,40,116
51,T50,T50,Eric Meierdierks,19,156,9,147
52,T50,T50,Scott Stallings,27,156,30,126
53,54,54,Cameron Tringale,24,157,98,59
54,T55,T55,J.J. Henry,26,158,119,39
55,T55,T55,Bo Van Pelt,22,158,107,51
56,57,57,Mark Wilson,19,160,158,2
57,T58,T58,Fabián Gómez,23,161,78,83
58,T58,T58,Zach Johnson,24,161,153,8
59,T58,T58,"Ted Potter, Jr.",22,161,144,17
60,T61,T61,Pat Perez,22,162,71,91
61,T61,T61,John Rollins,24,162,31,131
62,63,63,Brad Fritsch,24,163,26,137
63,T64,T64,Harris English,26,164,35,129
64,T64,T64,Rory Sabbatini,27,164,50,114
65,T66,T66,Greg Owen,24,165,53,112
66,T66,T66,Cameron Percy,21,165,45,120
67,T66,T66,Y.E. Yang,19,165,101,64
68,T69,T69,Brian Davis,28,166,153,13
69,T69,T69,Derek Ernst,21,166,61,105
70,T69,T69,Doug LaBelle II,23,166,145,21
71,T69,T69,Webb Simpson,25,166,111,55
72,T69,T69,Brian Stuard,25,166,134,32
73,74,74,Bill Haas,25,167,90,77
74,T75,T75,Vijay Singh,19,168,91,77
75,T75,T75,Andrew Svoboda,18,168,71,97
76,77,77,Robert Garrigus,22,169,7,162
77,T78,T78,Nicolas Colsaerts,17,170,3,167
78,T78,T78,Ben Kohles,25,170,151,19
79,T78,T78,D.H. Lee,22,170,140,30
80,T81,T81,Bob Estes,18,171,115,56
81,T81,T81,Jeff Maggert,21,171,160,11
82,83,83,Sean O'Hair,22,172,14,158
83,T84,T84,Jim Furyk,22,173,169,4
84,T84,T84,Dustin Johnson,22,173,2,171
85,T84,T84,Richard Lee,24,173,149,24
86,87,87,Morgan Hoffmann,20,175,32,143
87,T88,T88,Martin Kaymer,17,176,87,89
88,T88,T88,Graeme McDowell,16,176,161,15
89,T90,T90,Will Claxton,24,178,116,62
90,T90,T90,James Hahn,26,178,48,130
91,T90,T90,Jerry Kelly,22,178,177,1
92,T90,T90,Jason Kokrak,25,178,6,172
93,T94,T94,Tim Clark,20,180,175,5
94,T94,T94,Ken Duke,28,180,170,10
95,T94,T94,Martin Flores,25,180,12,168
96,97,97,Luke List,24,181,1,180
97,98,98,Rickie Fowler,22,183,103,80
98,99,99,John Senden,25,184,82,102
99,T100,T100,Chad Campbell,25,185,85,100
100,T100,T100,Tag Ridings,24,185,15,170
101,102,102,Ricky Barnes,26,186,80,106
102,T103,T103,Stuart Appleby,25,187,119,68
103,T103,T103,Steven Bowditch,22,187,13,174
104,T103,T103,K.J. Choi,24,187,156,31
105,T106,T106,Peter Hanson,15,188,34,154
106,T106,T106,David Toms,16,188,162,26
107,T108,T108,Jin Park,20,189,177,12
108,T108,T108,Carl Pettersson,24,189,70,119
109,T108,T108,Shawn Stefani,21,189,25,164
110,T111,T111,Scott Piercy,24,190,21,169
111,T111,T111,Darron Stiles,20,190,170,20
112,T111,T111,Camilo Villegas,23,190,59,131
113,T111,T111,Charlie Wi,23,190,132,58
114,115,115,Daniel Summerhays,26,191,110,81
115,116,116,D.A. Points,28,192,138,54
116,117,117,Brian Harman,29,195,94,101
117,T118,T118,Ángel Cabrera,21,196,40,156
118,T118,T118,Seung-Yul Noh,25,196,18,178
119,T118,T118,Jimmy Walker,24,196,20,176
120,121,121,Jeff Overton,24,197,55,142
121,T122,T122,Chris Kirk,24,198,83,115
122,T122,T122,Andres Romero,21,198,50,148
123,124,124,Troy Matteson,24,199,38,161
124,125,125,Jason Bohn,23,201,166,35
125,T126,T126,Rod Pampling,16,204,129,75
126,T126,T126,Brandt Snedeker,23,204,137,67
127,T128,T128,Erik Compton,24,205,54,151
128,T128,T128,Bobby Gates,20,205,28,177
129,T128,T128,Robert Karlsson,18,205,98,107
130,131,131,Colt Knost,25,206,179,27
