,Total_Distance_Efficiency_RANK THIS WEEK,Total_Distance_Efficiency_RANK LAST WEEK,Total_Distance_Efficiency_PLAYER NAME,Total_Distance_Efficiency_ROUNDS,Total_Distance_Efficiency_AVG.,Total_Distance_Efficiency_AVERAGE DISTANCE (YARDS),Total_Distance_Efficiency_AVERAGE CLUB HEAD SPEED,Total_Distance_Efficiency_TOTAL ATTEMPTS,Total_Distance_Efficiency_HIGHEST DIST. EFFICIENCY
0,1,1,Tim Clark,64,2.6439999999999997,276.51,104.584,45,2.9360000000000004
1,2,2,Peter Hanson,45,2.636,298.346,113.175,34,3.015
2,3,3,Steve Stricker,51,2.6239999999999997,291.46299999999997,111.056,35,3.094
3,4,4,Justin Rose,62,2.622,301.955,115.154,40,2.89
4,T5,T5,Jeff Maggert,63,2.615,275.84,105.488,59,3.174
5,T5,T5,Vaughn Taylor,50,2.615,288.13,110.17399999999999,39,3.1489999999999996
6,7,7,Billy Horschel,96,2.613,295.447,113.08200000000001,79,2.986
7,T8,T8,Brian Davis,91,2.611,280.357,107.355,87,3.0
8,T8,T8,Darron Stiles,51,2.611,273.88,104.891,40,3.056
9,T8,T8,Mark Wilson,56,2.611,280.382,107.369,51,3.0389999999999997
10,11,11,Chez Reavie,72,2.609,281.455,107.861,73,3.049
11,12,12,Ian Poulter,59,2.603,292.184,112.259,36,2.926
12,13,13,David Lynn,70,2.602,281.067,108.021,56,3.0839999999999996
13,14,14,Nicholas Thompson,99,2.5989999999999998,294.214,113.21799999999999,87,3.117
14,T15,T15,Ernie Els,63,2.596,290.157,111.791,45,2.88
15,T15,T15,Morgan Hoffmann,64,2.596,296.281,114.12200000000001,53,2.9789999999999996
16,T15,T15,Doug LaBelle II,72,2.596,278.096,107.139,61,2.943
17,18,18,Brian Gay,79,2.595,272.47900000000004,104.98899999999999,75,3.134
18,19,19,Hunter Mahan,91,2.594,291.632,112.419,68,2.96
19,20,20,Nicolas Colsaerts,50,2.591,313.421,120.947,36,3.198
20,21,21,Ryan Moore,72,2.589,286.86,110.791,61,2.946
21,T22,T22,Ben Crane,62,2.585,279.988,108.292,54,2.989
22,T22,T22,Zach Johnson,84,2.585,279.173,108.012,71,2.946
23,T24,T24,Brian Harman,89,2.5839999999999996,286.347,110.825,80,2.9619999999999997
