,Right_Tendency_RANK THIS WEEK,Right_Tendency_RANK LAST WEEK,Right_Tendency_PLAYER NAME,Right_Tendency_EVENTS,Right_Tendency_%,Right_Tendency_NUMBER OF TIMES,Right_Tendency_ATTEMPTS,Right_Tendency_AVG RTP SCORE
0,1,1,Russell Henley,24,37.1,114,307,0.53
1,2,2,Michael Bradley,21,39.2,102,260,1.27
2,3,3,J.J. Henry,26,40.6,140,345,1.86
3,4,4,Sergio Garcia,17,41.2,100,243,1.0
4,5,5,Robert Allenby,24,41.3,123,298,3.09
5,T6,T6,Luke List,24,41.4,150,362,0.67
6,T6,T6,Kevin Stadler,25,41.4,139,336,1.8
7,8,8,Shawn Stefani,21,42.4,132,311,0.3
8,9,9,Phil Mickelson,21,42.6,136,319,0.37
9,T10,T10,Robert Streb,25,42.9,139,324,2.52
10,T10,T10,Johnson Wagner,24,42.9,126,294,1.75
11,12,12,Jeff Maggert,21,43.1,109,253,2.48
12,13,13,Ryo Ishikawa,23,43.4,142,327,2.18
13,14,14,Luke Donald,17,43.5,103,237,1.07
14,15,15,Henrik Stenson,18,43.8,71,162,0.56
15,16,16,Brian Davis,28,44.1,153,347,1.83
16,17,17,Casey Wittenberg,27,45.0,170,378,2.35
17,18,18,D.A. Points,28,45.3,150,331,0.73
18,T19,T19,Martin Flores,25,45.4,216,476,0.69
19,T19,T19,Nicholas Thompson,29,45.4,183,403,1.37
20,21,21,Carl Pettersson,24,45.7,153,335,1.63
21,22,22,Lucas Glover,23,45.9,122,266,1.8
22,23,23,Chez Reavie,22,46.0,126,274,1.19
23,24,24,Greg Owen,24,46.1,166,360,3.31
24,25,25,James Driscoll,23,46.3,180,389,1.56
25,26,26,Chris Stroud,26,46.4,182,392,1.1
26,T27,T27,Tom Gillis,22,46.5,134,288,2.61
27,T27,T27,Henrik Norlander,22,46.5,147,316,1.43
28,T27,T27,Andres Romero,21,46.5,133,286,1.73
29,T30,T30,Jonas Blixt,24,46.6,173,371,1.62
30,T30,T30,Jason Kokrak,25,46.6,197,423,1.22
31,T32,T32,Steven Bowditch,22,46.7,162,347,1.67
32,T32,T32,Charley Hoffman,23,46.7,179,383,0.89
33,34,34,Bill Haas,25,46.9,161,343,1.3
34,T35,T35,Chad Campbell,25,47.0,179,381,2.51
35,T35,T35,Lee Westwood,19,47.0,116,247,2.24
36,37,37,Richard Lee,24,47.2,154,326,1.43
37,38,38,Aaron Baddeley,24,47.5,182,383,0.99
38,39,39,David Toms,16,47.7,73,153,2.47
39,40,40,D.J. Trahan,16,47.8,89,186,1.91
40,T41,T41,Jason Bohn,23,47.9,147,307,2.45
41,T41,T41,Doug LaBelle II,23,47.9,123,257,2.76
42,T43,T43,Kevin Chappell,24,48.0,164,342,2.2
43,T43,T43,Seung-Yul Noh,25,48.0,184,383,2.28
44,45,45,Rickie Fowler,22,48.1,143,297,0.63
45,T46,T46,Robert Garrigus,22,48.4,136,281,1.47
46,T46,T46,Vaughn Taylor,16,48.4,93,192,0.97
47,48,48,Justin Leonard,24,48.5,176,363,1.25
48,T49,T49,Erik Compton,24,48.6,179,368,1.34
