,Distance_from_Center_of_Fairway_RANK THIS WEEK,Distance_from_Center_of_Fairway_RANK LAST WEEK,Distance_from_Center_of_Fairway_PLAYER NAME,Distance_from_Center_of_Fairway_EVENTS,Distance_from_Center_of_Fairway_AVG,Distance_from_Center_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Center_of_Fairway_TOTAL STROKES
0,1,1,Derek Ernst,21,"21' 1""",8551.583,405
1,2,2,Martin Laird,21,"22' 2""",9766.0,440
2,3,3,Bud Cauley,24,"22' 3""",10214.0,459
3,4,4,Robert Karlsson,18,"22' 7""",6866.75,304
4,5,5,Lee Westwood,19,"22' 9""",10026.75,440
5,6,6,Billy Horschel,26,"22' 10""",16727.167,732
6,7,7,Morgan Hoffmann,20,"22' 11""",9428.0,411
7,T8,T8,Jason Dufner,22,"23' 0""",12544.083,546
8,T8,T8,Rod Pampling,16,"23' 0""",6970.5,303
9,T8,T8,Boo Weekley,27,"23' 0""",17502.0,761
10,T11,T11,Russell Henley,24,"23' 1""",13702.75,593
11,T11,T11,Jordan Spieth,23,"23' 1""",14552.083,631
12,T13,T13,Roberto Castro,29,"23' 2""",18020.167,779
13,T13,T13,Nicholas Thompson,29,"23' 2""",17783.917,767
14,T13,T13,Bo Van Pelt,22,"23' 2""",11012.917,475
15,T16,T16,James Driscoll,23,"23' 3""",10711.167,461
16,T16,T16,Y.E. Yang,19,"23' 3""",8534.583,367
17,18,18,John Merrick,23,"23' 5""",13251.0,566
18,19,19,Martin Kaymer,17,"23' 6""",8406.25,358
19,T20,T20,David Lynn,22,"23' 7""",10793.333,458
20,T20,T20,Henrik Norlander,22,"23' 7""",11503.083,487
21,T22,T22,Stephen Ames,19,"23' 8""",8295.75,351
22,T22,T22,Lucas Glover,23,"23' 8""",10294.083,435
23,T22,T22,D.H. Lee,22,"23' 8""",12565.667,531
24,T25,T25,Erik Compton,24,"23' 9""",12080.75,508
25,T25,T25,Freddie Jacobson,19,"23' 9""",8655.333,364
26,T25,T25,Rory McIlroy,16,"23' 9""",7585.4169999999995,319
27,T28,T28,Henrik Stenson,18,"23' 10""",10237.75,429
28,T28,T28,Steve Stricker,13,"23' 10""",8297.167,348
29,T28,T28,Camilo Villegas,23,"23' 10""",12303.333,517
30,31,31,Tom Gillis,22,"23' 11""",12854.167,538
31,T32,T32,Luke Guthrie,27,"24' 0""",12991.333,541
32,T32,T32,Matt Kuchar,23,"24' 0""",13186.167,549
33,T32,T32,Jin Park,20,"24' 0""",9690.75,404
34,T35,T35,Will Claxton,24,"24' 1""",11716.5,486
35,T35,T35,Brendon de Jonge,30,"24' 1""",21222.0,882
36,T35,T35,Brian Harman,29,"24' 1""",15159.25,629
37,T35,T35,John Rollins,24,"24' 1""",13093.833,544
38,T35,T35,Kevin Streelman,25,"24' 1""",15048.083,625
39,T35,T35,Michael Thompson,22,"24' 1""",10944.083,454
40,T41,T41,Ken Duke,28,"24' 2""",17571.75,728
41,T41,T41,Scott Langley,27,"24' 2""",13365.25,553
42,T41,T41,Brandt Snedeker,23,"24' 2""",12018.75,498
43,T44,T44,Scott Brown,21,"24' 4""",11343.917,466
44,T44,T44,Ben Crane,21,"24' 4""",11353.583,466
45,T44,T44,Ryo Ishikawa,23,"24' 4""",10185.333,418
46,T44,T44,David Lingmerth,23,"24' 4""",12589.083,517
47,T44,T44,Adam Scott,16,"24' 4""",9113.417,375
