,Ball_Striking_RANK THIS WEEK,Ball_Striking_RANK LAST WEEK,Ball_Striking_PLAYER NAME,Ball_Striking_ROUNDS,Ball_Striking_VALUE,Ball_Striking_TOTAL DRV RANK,Ball_Striking_GIR RANK
0,T1,T1,Graham DeLaet,94,4,1,3
1,T1,T1,Henrik Stenson,65,4,3,1
2,T3,T3,Justin Rose,62,13,4,9
3,T3,T3,Boo Weekley,100,13,7,6
4,T5,T5,Jim Herman,59,21,5,16
5,T5,T5,Steve Stricker,51,21,19,2
6,7,7,Adam Scott,61,25,14,11
7,8,8,Kevin Stadler,83,26,18,8
8,9,9,Bubba Watson,76,27,22,5
9,10,10,D.J. Trahan,48,28,10,18
10,T11,T11,Brendon de Jonge,110,33,23,10
11,T11,T11,Billy Horschel,96,33,6,27
12,T11,T11,Hunter Mahan,91,33,8,25
13,T11,T11,Nicholas Thompson,99,33,13,20
14,15,15,Nick Watney,88,39,26,13
15,16,16,Tiger Woods,61,41,17,24
16,17,17,Jordan Spieth,82,45,8,37
17,18,18,Keegan Bradley,88,51,2,49
18,19,19,Justin Hicks,79,60,48,12
19,20,20,Kyle Stanley,71,61,29,32
20,T21,T21,Steve LeBrun,66,64,36,28
21,T21,T21,Chez Reavie,72,64,24,40
22,23,23,Jason Dufner,78,65,39,26
23,24,24,Henrik Norlander,70,66,35,31
24,25,25,Kevin Streelman,86,70,16,54
25,26,26,J.J. Henry,83,72,55,17
26,27,27,Zach Johnson,84,73,58,15
27,28,28,Lucas Glover,65,74,20,54
28,29,29,Brandt Jobe,62,75,11,64
29,30,30,Matt Jones,83,76,12,64
30,31,31,Roberto Castro,97,77,44,33
31,T32,T32,Sergio Garcia,65,79,50,29
32,T32,T32,Pat Perez,69,79,61,18
33,T32,T32,Gary Woodland,94,79,43,36
34,35,35,Josh Teater,86,81,31,50
35,36,36,Vijay Singh,61,82,75,7
36,37,37,John Huh,88,83,38,45
37,T38,T38,Kevin Chappell,80,87,27,60
38,T38,T38,Rory Sabbatini,86,87,64,23
39,40,40,Cameron Tringale,80,89,54,35
40,41,41,John Rollins,77,91,61,30
41,42,42,Bill Haas,85,95,74,21
42,T43,T43,Jim Furyk,80,98,84,14
43,T43,T43,Eric Meierdierks,48,98,50,48
44,45,45,Charl Schwartzel,69,99,27,72
45,46,46,Ryan Palmer,79,104,48,56
46,47,47,Ricky Barnes,74,106,102,4
47,48,48,Brad Fritsch,81,109,63,46
48,T49,T49,Brendan Steele,86,111,45,66
49,T49,T49,Robert Streb,75,111,29,82
