,Driving_Distance_RANK THIS WEEK,Driving_Distance_RANK LAST WEEK,Driving_Distance_PLAYER NAME,Driving_Distance_ROUNDS,Driving_Distance_AVG.,Driving_Distance_TOTAL DISTANCE,Driving_Distance_TOTAL DRIVES
0,1,1,Luke List,65,306.3,37365,122
1,2,2,Dustin Johnson,71,305.8,42809,140
2,3,3,Nicolas Colsaerts,50,305.7,28736,94
3,4,4,Gary Woodland,94,303.8,54376,179
4,5,5,Bubba Watson,76,303.7,44030,145
5,6,6,Jason Kokrak,78,303.2,47298,156
6,7,7,Robert Garrigus,69,302.4,39315,130
7,8,8,Rory McIlroy,56,302.2,33240,110
8,9,9,Eric Meierdierks,48,301.9,27773,92
9,10,10,Ryan Palmer,79,301.5,47329,157
10,11,11,Keegan Bradley,88,300.6,52302,174
11,12,12,Martin Flores,83,300.4,49874,166
12,13,13,Steven Bowditch,67,300.2,39029,130
13,14,14,Sean O'Hair,56,299.7,33561,112
14,15,15,Tag Ridings,69,299.6,38944,130
15,16,16,Jason Day,86,299.3,47589,159
16,17,17,Jim Herman,59,299.2,32913,110
17,18,18,Seung-Yul Noh,71,298.8,40045,134
18,19,19,Graham DeLaet,94,298.6,55832,187
19,20,20,Jimmy Walker,84,298.5,50147,168
20,21,21,Scott Piercy,78,298.2,44430,149
21,22,22,Kyle Stanley,71,298.1,42332,142
22,23,23,Adam Scott,61,297.8,35733,120
23,24,24,Robert Streb,75,297.7,42270,142
24,25,25,Shawn Stefani,63,297.2,37452,126
25,26,26,Brad Fritsch,81,297.0,45743,154
26,27,27,Justin Rose,62,296.6,35301,119
27,28,28,Bobby Gates,49,296.2,26654,90
28,29,29,Charl Schwartzel,69,296.1,40271,136
29,30,30,Scott Stallings,79,295.7,46720,158
30,31,31,John Rollins,77,295.6,43152,146
31,T32,T32,Charlie Beljan,62,295.4,36630,124
32,T32,T32,Morgan Hoffmann,64,295.4,37807,128
33,34,34,Peter Hanson,45,295.3,25099,85
34,35,35,Harris English,95,295.2,56092,190
35,36,36,Henrik Norlander,70,295.0,40114,136
36,37,37,Charles Howell III,87,294.8,50109,170
37,T38,T38,Steve LeBrun,66,294.1,36471,124
38,T38,T38,Troy Matteson,68,294.1,38818,132
39,T40,T40,Ángel Cabrera,73,294.0,42922,146
40,T40,T40,Charley Hoffman,84,294.0,49394,168
41,42,42,Billy Horschel,96,293.8,56406,192
42,T43,T43,Lucas Glover,65,293.7,38183,130
43,T43,T43,Josh Teater,86,293.7,48173,164
44,45,45,Cameron Percy,68,293.6,38751,132
45,T46,T46,Martin Laird,68,293.4,39903,136
46,T46,T46,D.J. Trahan,48,293.4,26992,92
47,48,48,James Hahn,78,293.3,43407,148
48,49,49,Tiger Woods,61,293.2,35187,120
49,T50,T50,Andres Romero,63,293.1,34588,118
50,T50,T50,Rory Sabbatini,86,293.1,48064,164
51,52,52,Kevin Chappell,80,292.9,46861,160
52,53,53,Greg Owen,73,292.8,41575,142
53,54,54,Erik Compton,74,292.7,43318,148
54,55,55,Jeff Overton,78,292.4,45618,156
55,56,56,Matt Jones,83,292.3,48223,165
56,57,57,Brandt Jobe,62,292.1,33887,116
57,58,58,Patrick Reed,83,292.0,48472,166
58,59,59,Camilo Villegas,79,291.8,43763,150
59,60,60,Nicholas Thompson,99,291.6,57738,198
60,61,61,Derek Ernst,58,291.5,33813,116
61,62,62,Ryo Ishikawa,72,291.3,40206,138
62,63,63,Nick Watney,88,291.2,50093,172
63,T64,T64,Tommy Gainey,84,291.0,48888,168
64,T64,T64,Sergio Garcia,65,291.0,36666,126
65,T66,T66,Henrik Stenson,65,290.9,37239,128
66,T66,T66,Boo Weekley,100,290.9,58180,200
67,68,68,Brendan Steele,86,290.7,47680,164
68,69,69,Lee Westwood,70,290.3,39775,137
69,70,70,Carl Pettersson,82,290.2,46429,160
70,T71,T71,Pat Perez,69,290.1,40037,138
71,T71,T71,Andrew Svoboda,46,290.1,25532,88
72,T73,T73,Stewart Cink,71,290.0,41178,142
73,T73,T73,Hunter Mahan,91,290.0,49004,169
74,T75,T75,Kevin Stadler,83,289.8,45781,158
75,T75,T75,Vaughn Taylor,50,289.8,26663,92
76,77,77,Ernie Els,63,289.6,35916,124
77,T78,T78,Scott Brown,65,289.5,37635,130
78,T78,T78,Fabián Gómez,65,289.5,37637,130
79,T80,T80,Ricky Barnes,74,289.4,40510,140
80,T80,T80,Jordan Spieth,82,289.4,47466,164
81,82,82,John Senden,79,289.3,45127,156
82,T83,T83,Russell Henley,80,289.0,45082,156
83,T83,T83,Chris Kirk,89,289.0,51441,178
84,85,85,Chad Campbell,78,288.9,43914,152
85,86,86,Aaron Baddeley,68,288.5,38086,132
86,T87,T87,Scott Gardiner,61,288.4,34037,118
87,T87,T87,Martin Kaymer,61,288.4,33457,116
88,89,89,Padraig Harrington,52,288.3,28253,98
89,90,90,Bill Haas,85,288.2,48412,168
90,T91,T91,Matt Every,89,288.1,51278,178
91,T91,T91,Vijay Singh,61,288.1,35154,122
92,93,93,Phil Mickelson,78,287.9,44907,156
93,T94,T94,Bud Cauley,67,287.5,36225,126
94,T94,T94,Brian Harman,89,287.5,48873,170
95,T94,T94,Kevin Streelman,86,287.5,49445,172
96,97,97,Freddie Jacobson,63,287.3,34471,120
97,T98,T98,Robert Karlsson,56,287.2,29865,104
98,T98,T98,Cameron Tringale,80,287.2,45950,160
99,100,100,James Driscoll,76,287.1,41348,144
100,101,101,Y.E. Yang,56,286.7,31828,111
101,102,102,Marc Leishman,77,286.6,43846,153
102,103,103,Rickie Fowler,75,286.4,42106,147
103,T104,T104,Brendon de Jonge,110,286.3,62976,220
104,T104,T104,Tom Gillis,69,286.3,37217,130
105,106,106,George McNeill,68,286.0,38893,136
106,T107,T107,Jason Dufner,78,285.9,44026,154
107,T107,T107,Bo Van Pelt,72,285.9,39743,139
108,109,109,David Lingmerth,68,285.8,38875,136
109,110,110,Daniel Summerhays,83,285.7,47421,166
110,111,111,Webb Simpson,92,285.4,49937,175
111,T112,T112,Sangmoon Bae,83,285.3,47365,166
