,Right_Rough_Tendency_RTP_Score_RANK THIS WEEK,Right_Rough_Tendency_RTP_Score_RANK LAST WEEK,Right_Rough_Tendency_RTP_Score_PLAYER NAME,Right_Rough_Tendency_RTP_Score_ROUNDS,Right_Rough_Tendency_RTP_Score_RTP SCORE
0,1,1,Webb Simpson,92,-.109
1,2,2,Steve Stricker,51,-.052
2,3,3,Phil Mickelson,78,-.048
3,4,4,Jimmy Walker,84,-.045
4,T5,T5,Russell Henley,80,-.044
5,T5,T5,Matt Jones,83,-.044
6,7,7,Jordan Spieth,82,-.041
7,8,8,Shawn Stefani,63,-.030
8,9,9,Luke List,65,-.029
9,10,10,Cameron Percy,68,-.026
10,11,11,Charles Howell III,87,-.023
11,T12,T12,Luke Guthrie,82,-.022
12,T12,T12,Charley Hoffman,84,-.022
13,14,14,Marc Leishman,77,-.019
14,15,15,Keegan Bradley,88,-.014
15,16,16,Justin Rose,62,-.011
16,17,17,Alistair Presnell,59,-.010
17,T18,T18,Bill Haas,85,-.008
18,T18,T18,Chris Stroud,88,-.008
19,T20,T20,Jason Day,86,E
20,T20,T20,Harris English,95,E
21,22,22,Martin Flores,83,+.006
22,23,23,Hunter Mahan,91,+.007
23,24,24,Ernie Els,63,+.010
24,25,25,Vaughn Taylor,50,+.014
25,26,26,Dustin Johnson,71,+.024
26,T27,T27,Jason Kokrak,78,+.026
27,T27,T27,Rory Sabbatini,86,+.026
28,29,29,Ian Poulter,59,+.028
29,T30,T30,Michael Bradley,56,+.029
30,T30,T30,Rickie Fowler,75,+.029
31,T32,T32,Morgan Hoffmann,64,+.030
32,T32,T32,Ryan Palmer,79,+.030
33,34,34,Kyle Stanley,71,+.031
34,35,35,Brad Fritsch,81,+.032
35,T36,T36,Freddie Jacobson,63,+.035
36,T36,T36,D.A. Points,87,+.035
37,T36,T36,Josh Teater,86,+.035
38,39,39,Justin Leonard,86,+.037
39,40,40,Sergio Garcia,65,+.041
40,T41,T41,Billy Horschel,96,+.043
41,T41,T41,Kevin Streelman,86,+.043
42,43,43,Scott Gardiner,61,+.045
43,44,44,Charl Schwartzel,69,+.047
44,45,45,Adam Scott,61,+.049
45,46,46,Steven Bowditch,67,+.050
46,T47,T47,William McGirt,75,+.051
47,T47,T47,Nicholas Thompson,99,+.051
48,T49,T49,Andres Romero,63,+.052
49,T49,T49,Henrik Stenson,65,+.052
50,T51,T51,Brendon de Jonge,110,+.054
51,T51,T51,Matt Kuchar,93,+.054
52,T51,T51,Johnson Wagner,64,+.054
53,T51,T51,Bubba Watson,76,+.054
54,T55,T55,Troy Matteson,68,+.057
55,T55,T55,Patrick Reed,83,+.057
56,57,57,Camilo Villegas,79,+.058
57,58,58,Luke Donald,60,+.059
58,59,59,John Senden,79,+.060
59,60,60,Graham DeLaet,94,+.063
60,61,61,Scott Piercy,78,+.064
61,T62,T62,Stephen Ames,49,+.066
62,T62,T62,Dicky Pride,71,+.066
63,T64,T64,Roberto Castro,97,+.067
64,T64,T64,Tim Herron,45,+.067
65,T64,T64,Zach Johnson,84,+.067
66,67,67,Tim Clark,64,+.070
67,68,68,K.J. Choi,85,+.071
68,T69,T69,Graeme McDowell,53,+.073
69,T69,T69,Tiger Woods,61,+.073
70,T71,T71,Aaron Baddeley,68,+.075
71,T71,T71,Carl Pettersson,82,+.075
72,73,73,Cameron Tringale,80,+.080
73,T74,T74,Erik Compton,74,+.081
74,T74,T74,Mike Weir,60,+.081
75,76,76,Brandt Snedeker,79,+.084
76,77,77,John Huh,88,+.085
77,78,78,Jeff Overton,78,+.086
78,T79,T79,Ángel Cabrera,73,+.088
79,T79,T79,David Lingmerth,68,+.088
80,T81,T81,Nicolas Colsaerts,50,+.089
81,T81,T81,D.H. Lee,65,+.089
82,T83,T83,Chris Kirk,89,+.090
83,T83,T83,Steve LeBrun,66,+.090
84,T83,T83,Chez Reavie,72,+.090
85,86,86,Charlie Beljan,62,+.092
86,87,87,Richard Lee,81,+.093
87,88,88,Daniel Summerhays,83,+.094
88,89,89,Kevin Stadler,83,+.095
89,90,90,Stewart Cink,71,+.096
90,91,91,James Hahn,78,+.097
91,T92,T92,Stuart Appleby,88,+.098
92,T92,T92,Geoff Ogilvy,57,+.098
93,T94,T94,Scott Brown,65,+.099
94,T94,T94,Andrew Svoboda,46,+.099
95,T94,T94,Lee Westwood,70,+.099
96,T94,T94,Gary Woodland,94,+.099
97,98,98,Lucas Glover,65,+.100
98,T99,T99,David Lynn,70,+.101
99,T99,T99,Bryce Molder,82,+.101
100,101,101,Robert Garrigus,69,+.102
101,102,102,Seung-Yul Noh,71,+.104
102,103,103,John Merrick,79,+.105
103,T104,T104,Sangmoon Bae,83,+.108
104,T104,T104,James Driscoll,76,+.108
105,T104,T104,Matt Every,89,+.108
106,107,107,Jonas Blixt,76,+.110
107,108,108,Mark Wilson,56,+.115
108,109,109,D.J. Trahan,48,+.116
109,110,110,Bob Estes,66,+.118
110,111,111,Ben Kohles,75,+.119
111,T112,T112,Ryo Ishikawa,72,+.120
112,T112,T112,Michael Thompson,66,+.120
113,114,114,Brian Davis,91,+.122
114,115,115,Nick Watney,88,+.124
115,116,116,Scott Stallings,79,+.125
116,117,117,Pat Perez,69,+.129
117,T118,T118,Jim Furyk,80,+.132
118,T118,T118,Brian Stuard,78,+.132
119,T120,T120,Henrik Norlander,70,+.134
120,T120,T120,Sean O'Hair,56,+.134
121,122,122,John Rollins,77,+.135
122,123,123,Fabián Gómez,65,+.137
123,T124,T124,Jim Herman,59,+.138
124,T124,T124,Rory McIlroy,56,+.138
125,126,126,Jerry Kelly,75,+.140
126,T127,T127,Trevor Immelman,73,+.142
127,T127,T127,Charlie Wi,75,+.142
128,T129,T129,Jason Dufner,78,+.143
129,T129,T129,Lee Williams,62,+.143
130,T131,T131,Colt Knost,69,+.144
131,T131,T131,"Ted Potter, Jr.",65,+.144
132,T133,T133,Padraig Harrington,52,+.145
133,T133,T133,J.J. Henry,83,+.145
134,T133,T133,Jeff Maggert,63,+.145
135,T133,T133,Aaron Watkins,46,+.145
136,137,137,Scott Langley,79,+.146
137,T138,T138,Justin Hicks,79,+.149
138,T138,T138,Brendan Steele,86,+.149
139,T138,T138,Boo Weekley,100,+.149
140,141,141,Peter Hanson,45,+.150
141,142,142,Brian Harman,89,+.154
142,143,143,Kevin Chappell,80,+.156
143,144,144,Rod Pampling,46,+.157
144,T145,T145,Tommy Gainey,84,+.159
145,T145,T145,Darron Stiles,51,+.159
146,147,147,David Hearn,88,+.160
147,148,148,Derek Ernst,58,+.161
148,149,149,Tag Ridings,69,+.163
149,150,150,Bobby Gates,49,+.164
150,151,151,Bud Cauley,67,+.165
151,152,152,David Toms,49,+.167
152,153,153,Vijay Singh,61,+.168
153,154,154,Ben Curtis,59,+.173
154,T155,T155,Greg Chalmers,77,+.176
155,T155,T155,Eric Meierdierks,48,+.176
156,T157,T157,Jason Bohn,70,+.182
157,T157,T157,Casey Wittenberg,72,+.182
158,159,159,Ken Duke,87,+.185
159,T160,T160,Robert Karlsson,56,+.190
160,T160,T160,Doug LaBelle II,72,+.190
161,162,162,Martin Laird,68,+.193
162,163,163,David Mathis,71,+.194
163,164,164,Jin Park,52,+.200
164,165,165,Bo Van Pelt,72,+.202
165,166,166,Brian Gay,79,+.203
166,167,167,Will Claxton,67,+.210
167,168,168,Y.E. Yang,56,+.211
168,169,169,Martin Kaymer,61,+.213
169,170,170,Ben Crane,62,+.214
170,171,171,Tom Gillis,69,+.221
171,172,172,George McNeill,68,+.223
172,173,173,Chad Campbell,78,+.226
173,174,174,Robert Streb,75,+.232
174,175,175,Ricky Barnes,74,+.235
175,176,176,Ryan Moore,72,+.242
176,177,177,Brandt Jobe,62,+.247
177,178,178,Greg Owen,73,+.261
178,179,179,Robert Allenby,58,+.291
179,180,180,Justin Bolli,59,+.327
