,Driving_Distance_-_All_Drives_RANK THIS WEEK,Driving_Distance_-_All_Drives_RANK LAST WEEK,Driving_Distance_-_All_Drives_PLAYER NAME,Driving_Distance_-_All_Drives_ROUNDS,Driving_Distance_-_All_Drives_ALL DRIVES,Driving_Distance_-_All_Drives_TOTAL DISTANCE,Driving_Distance_-_All_Drives_# OF DRIVES
0,1,1,Bubba Watson,76,297.7,246757,829
1,2,2,Dustin Johnson,71,296.1,212301,717
2,3,3,Rory McIlroy,56,294.8,168921,573
3,4,4,Nicolas Colsaerts,50,294.7,148544,504
4,5,5,Luke List,65,292.6,211812,724
5,6,6,Robert Garrigus,69,291.9,198490,680
6,7,7,Gary Woodland,94,291.1,337443,1159
7,8,8,Kyle Stanley,71,291.0,245064,842
8,9,9,Keegan Bradley,88,290.5,293678,1011
9,10,10,Scott Piercy,78,290.3,252287,869
10,11,11,Scott Stallings,79,289.7,267376,923
11,12,12,Eric Meierdierks,48,289.6,149130,515
12,13,13,Jason Day,86,289.3,245883,850
13,14,14,Ryan Palmer,79,289.2,277587,960
14,15,15,Jason Kokrak,78,289.1,290291,1004
15,16,16,Morgan Hoffmann,64,288.6,213816,741
16,T17,T17,Steven Bowditch,67,288.4,233021,808
17,T17,T17,Adam Scott,61,288.4,176511,612
18,19,19,Martin Flores,83,288.0,305008,1059
19,T20,T20,Ángel Cabrera,73,287.6,228344,794
20,T20,T20,Jimmy Walker,84,287.6,300270,1044
21,T22,T22,Charles Howell III,87,287.1,320932,1118
22,T22,T22,Shawn Stefani,63,287.1,199281,694
23,24,24,Derek Ernst,58,286.8,196481,685
24,25,25,John Rollins,77,286.7,271213,946
25,26,26,Nick Watney,88,286.5,292541,1021
26,27,27,Charlie Beljan,62,286.3,220432,770
27,T28,T28,Andres Romero,63,286.2,207808,726
28,T28,T28,Charl Schwartzel,69,286.2,216394,756
29,T30,T30,Martin Laird,68,286.1,210606,736
30,T30,T30,Phil Mickelson,78,286.1,227727,796
31,32,32,Harris English,95,286.0,326612,1142
32,33,33,Seung-Yul Noh,71,285.9,247340,865
33,34,34,Rory Sabbatini,86,285.8,286683,1003
34,35,35,Charley Hoffman,84,285.5,290089,1016
35,36,36,Sean O'Hair,56,285.3,202290,709
36,37,37,Lucas Glover,65,285.2,205894,722
37,T38,T38,Patrick Reed,83,285.1,294538,1033
38,T38,T38,Justin Rose,62,285.1,183581,644
39,40,40,Jim Herman,59,285.0,174990,614
40,41,41,Graham DeLaet,94,284.9,321338,1128
41,T42,T42,Billy Horschel,96,284.7,329066,1156
42,T42,T42,Hunter Mahan,91,284.7,271858,955
43,T42,T42,Jeff Overton,78,284.7,293195,1030
44,T42,T42,Tag Ridings,69,284.7,229456,806
45,T46,T46,Troy Matteson,68,284.6,233627,821
46,T46,T46,Boo Weekley,100,284.6,328947,1156
47,T48,T48,Robert Streb,75,284.5,245275,862
48,T48,T48,Josh Teater,86,284.5,241568,849
49,T50,T50,Matt Every,89,284.4,317726,1117
50,T50,T50,Russell Henley,80,284.4,261948,921
51,T50,T50,Carl Pettersson,82,284.4,254566,895
52,53,53,Kevin Chappell,80,284.3,265531,934
53,T54,T54,Bill Haas,85,284.0,274901,968
54,T54,T54,Kevin Stadler,83,284.0,273240,962
55,56,56,Tommy Gainey,84,283.9,298102,1050
56,T57,T57,Brian Harman,89,283.8,300593,1059
57,T57,T57,Ryo Ishikawa,72,283.8,217688,767
58,T57,T57,Lee Westwood,70,283.8,202608,714
59,T60,T60,Greg Owen,73,283.7,260968,920
60,T60,T60,Jordan Spieth,82,283.7,264934,934
61,T62,T62,Scott Brown,65,283.2,216968,766
62,T62,T62,Nicholas Thompson,99,283.2,339809,1200
63,64,64,Peter Hanson,45,282.9,130720,462
64,65,65,Henrik Stenson,65,282.8,174191,616
65,T66,T66,Brad Fritsch,81,282.4,267706,948
66,T66,T66,Steve LeBrun,66,282.4,209273,741
67,68,68,Vijay Singh,61,282.3,188557,668
68,T69,T69,Padraig Harrington,52,282.2,138259,490
69,T69,T69,Cameron Percy,68,282.2,224604,796
70,71,71,Bobby Gates,49,282.1,149803,531
71,72,72,Jason Dufner,78,282.0,240543,853
72,73,73,Webb Simpson,92,281.9,275683,978
73,T74,T74,James Hahn,78,281.8,263228,934
74,T74,T74,Andrew Svoboda,46,281.8,137814,489
75,76,76,Freddie Jacobson,63,281.7,181383,644
76,T77,T77,Ernie Els,63,281.6,189231,672
77,T77,T77,Sergio Garcia,65,281.6,184144,654
78,T77,T77,Matt Jones,83,281.6,274872,976
79,T80,T80,Martin Kaymer,61,281.5,164938,586
80,T80,T80,Matt Kuchar,93,281.5,271064,963
