,Good_Drive_Percentage_RANK THIS WEEK,Good_Drive_Percentage_RANK LAST WEEK,Good_Drive_Percentage_PLAYER NAME,Good_Drive_Percentage_ROUNDS,Good_Drive_Percentage_%,Good_Drive_Percentage_# HIT,Good_Drive_Percentage_TOTAL ATTEMPTS
0,1,1,Steve Stricker,51,87.44,578,661
1,2,2,Mark Wilson,56,86.81,632,728
2,3,3,Henrik Stenson,65,86.61,776,896
3,4,4,Jerry Kelly,75,86.58,903,1043
4,5,5,Jim Furyk,80,86.29,938,1087
5,6,6,D.J. Trahan,48,86.23,551,639
6,7,7,Graham DeLaet,94,86.18,1129,1310
7,8,8,Jordan Spieth,82,85.91,982,1143
8,9,9,Sergio Garcia,65,85.76,753,878
9,10,10,Justin Hicks,79,85.71,894,1043
10,11,11,Jason Dufner,78,85.52,921,1077
11,12,12,"Ted Potter, Jr.",65,85.48,730,854
12,13,13,Chez Reavie,72,85.24,855,1003
13,14,14,Hunter Mahan,91,85.23,1016,1192
14,15,15,Brendon de Jonge,110,85.06,1304,1533
15,16,16,Vijay Singh,61,85.04,722,849
16,17,17,Zach Johnson,84,85.01,987,1161
17,18,18,John Huh,88,85.0,1048,1233
18,19,19,Nicholas Thompson,99,84.94,1173,1381
19,20,20,Boo Weekley,100,84.86,1183,1394
20,21,21,K.J. Choi,85,84.81,994,1172
21,22,22,Nick Watney,88,84.69,1018,1202
22,23,23,Billy Horschel,96,84.52,1130,1337
23,24,24,Tim Clark,64,84.51,720,852
24,25,25,Webb Simpson,92,84.38,1037,1229
25,26,26,Darron Stiles,51,84.33,576,683
26,27,27,Roberto Castro,97,84.31,1139,1351
27,28,28,Kevin Streelman,86,84.29,1009,1197
28,29,29,Matt Jones,83,84.18,974,1157
29,30,30,Brian Davis,91,83.99,1065,1268
30,T31,T31,David Lingmerth,68,83.92,793,945
31,T31,T31,Kevin Stadler,83,83.92,924,1101
32,33,33,Cameron Tringale,80,83.83,933,1113
33,34,34,Ben Kohles,75,83.79,827,987
34,35,35,Justin Rose,62,83.69,703,840
35,36,36,Jin Park,52,83.62,582,696
36,37,37,Adam Scott,61,83.49,698,836
37,38,38,Ryan Moore,72,83.42,830,995
38,39,39,George McNeill,68,83.39,793,951
39,40,40,Brian Stuard,78,83.38,858,1029
40,41,41,Stuart Appleby,88,83.32,974,1169
41,42,42,Keegan Bradley,88,83.29,1017,1221
42,T43,T43,Ricky Barnes,74,83.28,812,975
43,T43,T43,Jeff Maggert,63,83.28,732,879
44,45,45,Dicky Pride,71,83.26,776,932
45,46,46,J.J. Henry,83,83.22,942,1132
46,47,47,David Toms,49,83.17,509,612
47,48,48,Bill Haas,85,83.11,979,1178
48,49,49,Doug LaBelle II,72,83.09,811,976
49,50,50,Matt Kuchar,93,83.05,1009,1215
50,51,51,Matt Every,89,83.01,1031,1242
51,52,52,Brandt Jobe,62,83.0,674,812
52,53,53,Richard Lee,81,82.91,888,1071
53,54,54,Luke Guthrie,82,82.85,947,1143
54,55,55,Bubba Watson,76,82.83,849,1025
55,56,56,Rod Pampling,46,82.79,486,587
56,57,57,Rory Sabbatini,86,82.75,945,1142
57,58,58,Josh Teater,86,82.57,943,1142
58,59,59,D.H. Lee,65,82.56,748,906
59,60,60,Henrik Norlander,70,82.49,782,948
60,61,61,Kevin Chappell,80,82.42,919,1115
61,62,62,Trevor Immelman,73,82.41,792,961
62,63,63,Jim Herman,59,82.4,632,767
63,64,64,Graeme McDowell,53,82.36,565,686
64,65,65,Chris Stroud,88,82.3,1009,1226
65,66,66,Daniel Summerhays,83,82.25,950,1155
66,67,67,Ken Duke,87,82.21,998,1214
67,68,68,Lucas Glover,65,82.19,743,904
68,69,69,Brendan Steele,86,82.14,938,1142
69,70,70,Bryce Molder,82,82.12,914,1113
70,T71,T71,William McGirt,75,82.11,858,1045
71,T71,T71,Bo Van Pelt,72,82.11,803,978
72,73,73,Steve LeBrun,66,82.1,711,866
73,74,74,Brian Harman,89,82.09,972,1184
74,75,75,Lee Westwood,70,82.07,792,965
75,76,76,Camilo Villegas,79,82.01,857,1045
76,77,77,Gary Woodland,94,81.94,1030,1257
77,78,78,Rickie Fowler,75,81.91,851,1039
78,T79,T79,Scott Brown,65,81.88,741,905
79,T79,T79,Pat Perez,69,81.88,786,960
80,81,81,Jason Bohn,70,81.85,798,975
81,82,82,Brandt Snedeker,79,81.83,905,1106
82,T83,T83,Charlie Beljan,62,81.78,709,867
83,T83,T83,Stewart Cink,71,81.78,808,988
84,T85,T85,Ben Crane,62,81.71,661,809
85,T85,T85,Martin Laird,68,81.71,773,946
86,87,87,Ernie Els,63,81.68,709,868
87,88,88,Kyle Stanley,71,81.63,813,996
88,T89,T89,D.A. Points,87,81.62,990,1213
89,T89,T89,John Senden,79,81.62,888,1088
90,91,91,Greg Chalmers,77,81.5,828,1016
91,92,92,David Mathis,71,81.48,761,934
92,93,93,Russell Henley,80,81.47,888,1090
93,94,94,Jason Day,86,81.43,908,1115
94,95,95,Colt Knost,69,81.42,736,904
95,96,96,John Rollins,77,81.4,827,1016
96,97,97,Chris Kirk,89,81.35,1012,1244
97,98,98,Cameron Percy,68,81.32,749,921
98,99,99,Charley Hoffman,84,81.28,951,1170
99,100,100,Erik Compton,74,81.26,837,1030
100,101,101,Michael Thompson,66,81.24,749,922
101,102,102,Vaughn Taylor,50,81.18,522,643
102,T103,T103,Will Claxton,67,81.11,713,879
103,T103,T103,Derek Ernst,58,81.11,657,810
104,T105,T105,Sangmoon Bae,83,81.06,937,1156
105,T105,T105,Charles Howell III,87,81.06,963,1188
106,107,107,David Hearn,88,81.04,996,1229
107,108,108,Patrick Reed,83,81.0,938,1158
108,T109,T109,Tom Gillis,69,80.99,733,905
109,T109,T109,Charl Schwartzel,69,80.99,771,952
110,111,111,Dustin Johnson,71,80.96,795,982
111,112,112,Tiger Woods,61,80.95,680,840
112,113,113,Scott Stallings,79,80.9,894,1105
113,114,114,Fabián Gómez,65,80.88,732,905
114,115,115,David Lynn,70,80.83,780,965
115,116,116,Ian Poulter,59,80.81,602,745
116,117,117,Harris English,95,80.8,1069,1323
117,118,118,Aaron Watkins,46,80.78,496,614
118,119,119,Morgan Hoffmann,64,80.76,722,894
119,120,120,Martin Kaymer,61,80.74,654,810
120,T121,T121,Brad Fritsch,81,80.71,866,1073
121,T121,T121,John Merrick,79,80.71,891,1104
122,123,123,Brian Gay,79,80.67,889,1102
123,124,124,Rory McIlroy,56,80.65,621,770
124,125,125,Justin Leonard,86,80.63,966,1198
125,126,126,Robert Karlsson,56,80.58,585,726
126,T127,T127,Justin Bolli,59,80.55,617,766
127,T127,T127,Nicolas Colsaerts,50,80.55,530,658
128,129,129,Phil Mickelson,78,80.53,877,1089
129,130,130,Eric Meierdierks,48,80.47,515,640
130,131,131,Y.E. Yang,56,80.43,629,782
131,T132,T132,Bob Estes,66,80.41,739,919
132,T132,T132,Troy Matteson,68,80.41,739,919
133,134,134,Greg Owen,73,80.28,794,989
134,135,135,Robert Streb,75,80.24,792,987
135,136,136,Scott Langley,79,80.17,837,1044
136,137,137,Ángel Cabrera,73,80.16,816,1018
137,138,138,Geoff Ogilvy,57,80.15,634,791
138,139,139,Jeff Overton,78,80.02,869,1086
139,140,140,Johnson Wagner,64,80.0,672,840
140,141,141,Luke Donald,60,79.95,646,808
141,142,142,Jason Kokrak,78,79.94,869,1087
142,143,143,Ryan Palmer,79,79.89,878,1099
143,144,144,Marc Leishman,77,79.85,860,1077
144,145,145,Ryo Ishikawa,72,79.84,780,977
145,146,146,James Hahn,78,79.83,823,1031
146,147,147,Andrew Svoboda,46,79.8,490,614
147,148,148,Robert Garrigus,69,79.73,720,903
148,149,149,Michael Bradley,56,79.67,576,723
149,T150,T150,Chad Campbell,78,79.64,845,1061
150,T150,T150,Jimmy Walker,84,79.64,931,1169
151,T150,T150,Charlie Wi,75,79.64,786,987
152,153,153,Martin Flores,83,79.52,920,1157
153,154,154,Scott Gardiner,61,79.2,651,822
154,155,155,Bud Cauley,67,79.07,695,879
155,156,156,Andres Romero,63,78.86,649,823
156,157,157,Lee Williams,62,78.8,658,835
157,T158,T158,Jonas Blixt,76,78.74,837,1063
158,T158,T158,Shawn Stefani,63,78.74,689,875
159,T160,T160,Steven Bowditch,67,78.56,711,905
160,T160,T160,Alistair Presnell,59,78.56,623,793
161,162,162,Tag Ridings,69,78.52,709,903
162,163,163,Carl Pettersson,82,78.37,877,1119
163,164,164,Tommy Gainey,84,78.3,920,1175
164,165,165,Ben Curtis,59,78.03,625,801
165,166,166,James Driscoll,76,77.84,780,1002
166,167,167,Freddie Jacobson,63,77.83,653,839
167,168,168,Robert Allenby,58,77.46,605,781
168,169,169,Luke List,65,77.27,656,849
169,170,170,Padraig Harrington,52,77.08,528,685
