,FedExCup_Playoffs_Points_RANK THIS WEEK,FedExCup_Playoffs_Points_RANK LAST WEEK,FedExCup_Playoffs_Points_PLAYER NAME,FedExCup_Playoffs_Points_EVENTS,FedExCup_Playoffs_Points_POINTS,FedExCup_Playoffs_Points_# OF WINS,FedExCup_Playoffs_Points_# OF TOP 10'S,FedExCup_Playoffs_Points_POINTS BEHIND LEAD,FedExCup_Playoffs_Points_RESET POINTS
0,1,1,Bill Haas,26,2760,1.0,7.0,,260.0
1,2,2,Webb Simpson,24,2745,2.0,10.0,15.0,2500.0
2,3,3,Luke Donald,18,2567,1.0,13.0,193.0,1800.0
3,4,4,Dustin Johnson,21,2488,1.0,6.0,272.0,2250.0
4,5,5,Justin Rose,22,2253,1.0,5.0,507.0,2000.0
5,6,6,Matt Kuchar,23,1853,,9.0,907.0,1600.0
6,7,7,Hunter Mahan,25,1800,,9.0,960.0,300.0
7,8,8,Brandt Snedeker,25,1668,1.0,7.0,1092.0,1400.0
8,9,9,Nick Watney,21,1420,2.0,9.0,1340.0,1200.0
9,10,10,Chez Reavie,26,1220,,5.0,1540.0,1000.0
10,11,11,K.J. Choi,22,1207,1.0,8.0,1553.0,440.0
11,12,12,Jason Day,21,1058,,10.0,1702.0,600.0
12,13,13,John Senden,25,1030,,3.0,1730.0,800.0
13,14,14,Aaron Baddeley,22,1007,1.0,5.0,1753.0,240.0
14,15,15,Phil Mickelson,21,795,1.0,7.0,1965.0,420.0
15,16,16,Adam Scott,18,778,1.0,7.0,1982.0,320.0
16,17,17,Gary Woodland,24,773,1.0,6.0,1987.0,480.0
17,18,18,Steve Stricker,19,740,2.0,5.0,2020.0,460.0
18,19,19,Charles Howell III,28,708,,7.0,2052.0,250.0
19,20,20,Keegan Bradley,28,648,2.0,4.0,2112.0,310.0
20,20,20,David Toms,22,648,1.0,7.0,2112.0,380.0
21,22,22,Mark Wilson,25,620,2.0,4.0,2140.0,400.0
22,23,23,Bo Van Pelt,26,610,,5.0,2150.0,210.0
23,24,24,Geoff Ogilvy,21,608,,4.0,2152.0,270.0
24,25,25,Jason Dufner,23,583,,6.0,2177.0,290.0
25,26,26,Bubba Watson,22,578,2.0,3.0,2182.0,340.0
26,27,27,Jonathan Byrd,24,565,1.0,5.0,2195.0,360.0
27,28,28,Vijay Singh,24,548,,5.0,2212.0,280.0
28,29,29,Freddie Jacobson,25,488,1.0,3.0,2272.0,220.0
29,30,30,Y.E. Yang,18,440,,5.0,2320.0,230.0
30,31,31,Martin Laird,22,1589,1.0,6.0,3672.0,
31,32,32,Charl Schwartzel,15,1560,1.0,3.0,3701.0,
32,33,33,Camilo Villegas,25,1532,,4.0,3729.0,
33,34,34,Kyle Stanley,26,1523,,3.0,3738.0,
34,35,35,Rory Sabbatini,23,1493,1.0,3.0,3768.0,
35,36,36,Jim Furyk,25,1468,,4.0,3793.0,
36,37,37,Ryan Moore,21,1465,,4.0,3796.0,
37,38,38,Jerry Kelly,24,1450,,4.0,3811.0,
38,39,39,Brian Davis,28,1438,,2.0,3823.0,
39,40,40,Zach Johnson,22,1414,,4.0,3847.0,
40,41,41,Charley Hoffman,26,1369,,2.0,3892.0,
41,42,42,Chris Kirk,27,1332,1.0,4.0,3929.0,
42,43,43,Rickie Fowler,23,1323,,4.0,3938.0,
43,44,44,Sergio Garcia,16,1317,,3.0,3944.0,
44,45,45,Lucas Glover,22,1305,1.0,1.0,3956.0,
