,PGA_Championship_Points_RANK THIS WEEK,PGA_Championship_Points_RANK LAST WEEK,PGA_Championship_Points_PLAYER NAME,PGA_Championship_Points_EVENTS,PGA_Championship_Points_POINTS
0,1,1,Webb Simpson,8,3622310
1,2,2,Luke Donald,7,3054967
2,3,3,Adam Scott,6,2223320
3,4,4,Justin Rose,7,1931500
4,5,5,Keegan Bradley,6,1866900
5,6,6,Bill Haas,7,1809896
6,7,7,Dustin Johnson,6,1672996
7,8,8,Chez Reavie,7,1392331
8,9,9,Jason Dufner,6,1379800
9,10,10,Matt Kuchar,7,1355059
10,11,11,Hunter Mahan,6,1294754
11,12,12,John Senden,6,1198511
12,13,13,Brandt Snedeker,8,1194811
13,14,14,Bryce Molder,6,1187933
14,15,15,Jason Day,6,1186060
15,16,16,Nick Watney,7,1101440
16,17,17,Kevin Na,6,1077231
17,18,18,David Toms,8,937360
18,19,19,Scott Piercy,9,885796
19,20,20,Geoff Ogilvy,6,873967
20,21,21,Ben Crane,7,870743
21,22,22,Vijay Singh,7,838920
22,23,23,Gary Woodland,7,794027
23,24,24,Aaron Baddeley,6,764844
24,25,25,Rickie Fowler,6,741740
25,26,26,K.J. Choi,6,740448
26,27,27,Camilo Villegas,5,738467
27,28,28,Charles Howell III,8,712969
28,29,29,Jim Furyk,7,708904
29,30,30,Bo Van Pelt,7,663230
30,31,31,Jerry Kelly,7,656448
31,32,32,George McNeill,7,643017
32,33,33,Y.E. Yang,6,636676
33,34,34,Tommy Gainey,9,624960
34,35,35,Anders Hansen,2,613500
35,36,36,Briny Baird,5,611725
36,37,37,Robert Karlsson,5,595060
37,38,38,Justin Leonard,5,593540
38,39,39,Jonathan Byrd,8,580716
39,40,40,Carl Pettersson,6,580315
40,41,41,Phil Mickelson,6,576968
41,42,42,Trevor Immelman,8,557898
42,43,43,Brendan Steele,7,516206
43,44,44,Steve Stricker,6,495262
44,45,45,Ernie Els,7,494446
45,46,46,Blake Adams,9,448507
46,47,47,Brian Davis,7,443590
47,48,48,Sergio Garcia,5,427468
48,49,49,K.T. Kim,3,427073
49,50,50,Nick O'Hern,7,426735
50,51,51,Spencer Levin,8,426172
51,52,52,Mark Wilson,7,421787
52,53,53,Bud Cauley,4,416005
53,54,54,Kyle Stanley,6,414291
54,55,55,Bubba Watson,6,413326
55,56,56,Pat Perez,5,406740
56,57,57,John Rollins,7,401170
57,58,58,Zach Johnson,6,397433
58,59,59,Ryan Moore,6,385183
59,60,60,Sung Kang,5,384236
60,61,61,Lee Westwood,2,377000
61,62,62,Freddie Jacobson,6,371291
62,63,63,David Hearn,7,356004
63,64,64,Michael Thompson,7,351093
64,65,65,Brandt Jobe,7,344808
65,66,66,Kris Blanks,6,339793
66,67,67,Charley Hoffman,6,338933
67,68,68,Billy Horschel,6,333336
68,69,69,Ryo Ishikawa,2,332500
69,70,70,Scott Verplank,3,331000
70,71,71,Martin Laird,6,327553
71,72,72,Robert Allenby,6,319149
72,73,73,Lucas Glover,7,301014
73,74,74,D.A. Points,7,300693
74,75,75,Tom Pernice Jr.,5,299842
75,76,76,Kevin Chappell,6,299601
76,77,77,Billy Mayfair,7,293085
77,78,78,Josh Teater,6,292903
78,79,79,Charl Schwartzel,4,292886
79,80,80,Paul Goydos,6,274212
80,81,81,Shane Bertsch,6,272053
81,82,82,Chris Stroud,7,271320
82,83,83,Jhonattan Vegas,6,267946
83,84,84,Louis Oosthuizen,4,261300
84,85,85,Matt McQuillan,6,256438
85,86,86,Kevin Streelman,6,242458
86,87,87,Heath Slocum,8,238279
87,88,88,Scott McCarron,6,236008
88,89,89,Padraig Harrington,5,234019
89,90,90,Tim Herron,7,233817
90,91,91,Rory McIlroy,2,230400
91,92,92,Sean O'Hair,6,220217
92,93,93,Jimmy Walker,4,215852
93,94,94,Paul Casey,5,211811
94,95,95,Chad Campbell,7,204944
95,96,96,William McGirt,8,203453
96,97,97,Jeff Overton,7,200660
97,98,98,Rory Sabbatini,6,198330
98,99,99,Steve Flesch,7,195617
99,100,100,Ryan Palmer,5,189386
100,101,101,Hunter Haas,7,182621
101,102,102,Jim Renner,6,180322
102,103,103,Retief Goosen,5,172690
103,104,104,Ian Poulter,5,170300
104,105,105,Cameron Tringale,9,166833
105,106,106,Kevin Kisner,6,164111
106,107,107,Ben Martin,6,164046
107,108,108,David Mathis,6,158342
108,109,109,Greg Chalmers,7,155706
109,110,110,Charlie Wi,6,155362
110,111,111,Steve Marino,5,153520
111,112,112,Jason Bohn,5,146047
112,113,113,Marc Leishman,7,143563
113,114,114,Brendon de Jonge,7,142903
114,115,115,Garrett Willis,6,141520
115,116,116,Derek Lamely,6,138574
116,117,117,Adam Hadwin,2,138313
117,118,118,Joe Durant,6,137631
118,119,119,Ángel Cabrera,4,137375
119,120,120,Bill Lunde,8,135952
120,121,121,Francesco Molinari,2,135500
121,122,122,Scott Stallings,7,133837
122,123,123,Rod Pampling,7,133684
123,124,124,Chris Kirk,6,132800
124,125,125,Davis Love III,6,132670
125,126,126,Roland Thatcher,6,131298
126,127,127,Arjun Atwal,8,125938
127,128,128,Steven Bowditch,7,122260
128,129,129,Johnson Wagner,7,120491
129,130,130,D.J. Trahan,8,119129
130,131,131,James Driscoll,7,117875
131,132,132,Steve Elkington,5,117649
132,133,133,Michael Bradley,6,117039
133,134,134,Robert Garrigus,7,116136
134,135,135,Henrik Stenson,3,114642
135,136,136,Harrison Frazar,5,110740
136,137,137,John Mallinger,3,108610
137,138,138,Alexandre Rocha,6,105375
138,139,139,Tim Petrovic,6,104992
139,140,140,Aron Price,5,104377
140,141,141,Paul Stankowski,6,104273
141,142,142,Will MacKenzie,4,103871
142,143,143,Andres Romero,4,102780
143,144,144,Andres Gonzales,6,101938
144,145,145,Graeme McDowell,5,101340
