,FedExCup_Bonus_Money_RANK THIS WEEK,FedExCup_Bonus_Money_RANK LAST WEEK,FedExCup_Bonus_Money_PLAYER NAME,FedExCup_Bonus_Money_EVENTS,FedExCup_Bonus_Money_MONEY
0,1,1,Bill Haas,26,10000000
1,2,2,Webb Simpson,24,3000000
2,3,3,Luke Donald,18,2000000
3,4,4,Dustin Johnson,21,1500000
4,5,5,Justin Rose,22,1000000
5,6,6,Matt Kuchar,23,800000
6,7,7,Hunter Mahan,25,700000
7,8,8,Brandt Snedeker,25,600000
8,9,9,Nick Watney,21,550000
9,10,10,Chez Reavie,26,500000
10,11,11,K.J. Choi,22,300000
11,12,12,Jason Day,21,290000
12,13,13,John Senden,25,280000
13,14,14,Aaron Baddeley,22,270000
14,15,15,Phil Mickelson,21,250000
15,16,16,Adam Scott,18,245000
16,17,17,Gary Woodland,24,240000
17,18,18,Steve Stricker,19,235000
18,19,19,Charles Howell III,28,230000
19,20,20,Keegan Bradley,28,222500
20,20,20,David Toms,22,222500
21,22,22,Mark Wilson,25,215000
22,23,23,Bo Van Pelt,26,210000
23,24,24,Geoff Ogilvy,21,205000
24,25,25,Jason Dufner,23,200000
25,26,26,Bubba Watson,22,195000
26,27,27,Jonathan Byrd,24,190000
27,28,28,Vijay Singh,24,185000
28,29,29,Freddie Jacobson,25,180000
29,30,30,Y.E. Yang,18,175000
30,31,31,Martin Laird,22,165000
31,32,32,Charl Schwartzel,15,155000
32,33,33,Camilo Villegas,25,150000
33,34,34,Kyle Stanley,26,145000
34,35,35,Rory Sabbatini,23,142000
35,36,36,Jim Furyk,25,140000
36,37,37,Ryan Moore,21,138000
37,38,38,Jerry Kelly,24,137000
38,39,39,Brian Davis,28,136000
39,40,40,Zach Johnson,22,135000
40,41,41,Charley Hoffman,26,134000
41,42,42,Chris Kirk,27,133000
42,43,43,Rickie Fowler,23,132000
43,44,44,Sergio Garcia,16,131000
44,45,45,Lucas Glover,22,130000
45,46,46,Robert Karlsson,18,129000
46,47,47,Spencer Levin,27,128000
47,48,48,Carl Pettersson,25,127000
48,49,49,Steve Marino,23,126000
49,50,50,Jimmy Walker,24,125000
50,51,51,Brandt Jobe,26,120000
51,52,52,Brendan Steele,25,115000
52,53,53,Ryan Palmer,23,114000
53,54,54,Jhonattan Vegas,24,113000
54,55,55,Robert Allenby,24,110000
55,56,56,D.A. Points,24,110000
56,57,57,Scott Stallings,26,110000
57,58,58,Sean O'Hair,23,110000
58,59,59,Chad Campbell,26,110000
59,60,60,Brendon de Jonge,28,110000
60,61,61,Chris Stroud,25,110000
61,62,62,Tommy Gainey,30,110000
62,63,63,Cameron Tringale,28,110000
63,64,64,Blake Adams,30,110000
64,65,65,Marc Leishman,25,110000
65,66,66,Andres Romero,22,110000
66,67,67,Ernie Els,20,110000
67,68,68,George McNeill,18,110000
68,69,69,Scott Piercy,19,110000
69,70,70,Johnson Wagner,23,110000
70,71,71,Kevin Na,24,80000
71,72,72,Kevin Streelman,23,80000
72,73,73,Graeme McDowell,15,80000
73,74,74,Robert Garrigus,23,80000
74,75,75,Pat Perez,23,80000
75,76,76,J.J. Henry,26,80000
76,77,77,Harrison Frazar,18,80000
77,78,78,Charlie Wi,22,80000
78,79,79,Anthony Kim,26,80000
79,80,80,Kris Blanks,26,80000
80,81,81,Greg Chalmers,25,75000
81,82,82,Brian Gay,23,75000
82,83,83,William McGirt,28,75000
83,84,84,Kevin Chappell,23,75000
84,85,85,Bill Lunde,25,75000
85,86,86,J.B. Holmes,16,75000
86,87,87,Ian Poulter,16,75000
87,88,88,Trevor Immelman,21,75000
88,89,89,Padraig Harrington,18,75000
89,90,90,Jeff Overton,23,75000
90,91,91,Ryuji Imada,25,75000
91,92,92,John Rollins,24,75000
92,93,93,Scott Verplank,15,75000
93,94,94,Chris Couch,19,75000
