,Ryder_Cup_World_Points_RANK THIS WEEK,Ryder_Cup_World_Points_RANK LAST WEEK,Ryder_Cup_World_Points_PLAYER NAME,Ryder_Cup_World_Points_POINTS
0,1,,Rory McIlroy,137.52
1,2,,Luke Donald,133.21
2,3,,Martin Kaymer,110.29
3,4,,Lee Westwood,98.61
4,5,,Gonzalo Fernandez-Castaño,92.83
5,6,,Justin Rose,88.13
6,7,,Sergio Garcia,80.1
7,8,,Simon Dyson,73.08
8,9,,Graeme McDowell,70.26
9,10,,Alvaro Quiros,68.19
10,11,,Joost Luiten,65.16
11,12,,Paul Casey,61.09
12,13,,Michael Hoey,58.91
13,14,,Freddie Jacobson,57.67
14,15,,Peter Hanson,57.08
15,16,,Thomas Bjørn,56.94
16,17,,Ian Poulter,50.99
17,18,,David Lynn,49.73
18,19,,Paul Lawrie,45.84
19,20,,Richie Ramsay,45.61
20,21,,Grégory Havret,45.06
21,22,,Miguel Angel Jiménez,42.58
22,23,,Sam Little,40.7
23,24,,Robert Karlsson,38.65
24,25,,Shane Lowry,38.47
25,26,,Tom Lewis,37.0
26,27,,Tommy Fleetwood,35.76
27,28,,Francesco Molinari,34.82
28,29,,Rafa Cabrera Bello,33.15
29,30,,George Murray,32.64
30,31,,Lee Slattery,31.7
31,32,,Jamie Donaldson,29.32
32,33,,Lorenzo Gagli,25.85
33,34,,Bernd Wiesberger,25.38
34,35,,James Morrison,25.01
35,36,,Steve Webster,24.55
36,37,,Alex Noren,24.06
37,38,,Kenneth Ferrie,24.0
38,39,,Andrea Pavan,23.04
39,40,,Christian Nilsson,22.44
40,41,,Fredrik Andersson Hed,21.43
41,42,,Pablo Larrazabal,20.66
42,43,,Nicolas Colsaerts,20.28
43,44,,Edoardo Molinari,19.92
44,45,,Rhys Davies,18.75
45,46,,Padraig Harrington,18.71
46,47,,Anders Hansen,18.01
47,48,,Gary Orr,17.76
48,49,,Marcel Siem,17.3
49,50,,Peter Lawrie,17.07
50,51,,Julien Quesne,16.2
51,52,,David Horsey,16.07
52,53,,Alejandro Cañizares,16.02
53,54,,Richard McEvoy,15.75
54,55,,Johan Edfors,15.47
55,56,,Marc Warren,15.43
56,57,,José Manuel Lara,15.34
57,58,,Robert Rock,15.03
58,59,,Pelle Edberg,14.8
59,60,,Andrew Johnston,14.3
60,61,,Simon Thornton,14.06
61,62,,Ross Fisher,13.63
62,63,,Magnus Carlsson,11.44
63,64,,Grégory Bourdy,11.36
64,65,,Robert-Jan Derksen,11.04
65,66,,Andrew Marshall,10.56
66,67,,Danny Willett,10.3
67,68,,Thomas Norret,10.1
68,69,,Julien Guerrier,9.86
69,70,,Rikard Karlberg,9.78
70,72,,Mark Foster,9.66
71,73,,Peter Whiteford,9.11
72,74,,Romain Wattel,8.81
73,75,,Knut Borsheim,8.58
74,76,,Stephen Gallacher,8.56
75,77,,Stephen Dodd,8.33
76,78,,Matteo Manassero,8.31
77,79,,Paul McGinley,7.71
78,81,,Søren Kjeldsen,7.52
79,82,,Henrik Stenson,7.11
80,83,,Niclas Fasth,7.07
81,84,,Chris Doak,6.74
82,85,,Phillip Price,6.6
83,86,,Oscar Floren,6.53
84,87,,Victor Riu,6.4
85,89,,Martin Wiegele,6.4
86,90,,Anthony Wall,6.34
87,91,,Michael Jonzon,6.26
88,92,,Graeme Storm,6.24
89,93,,Darren Clarke,6.17
90,94,,Markus Brier,6.01
91,95,,Federico Colombo,5.84
92,96,,Soren Hansen,5.44
93,97,,Jose-Filipe Lima,5.4
94,98,,Seve Benson,5.28
95,99,,Jean Baptiste Gonnet,5.18
96,100,,David Drysdale,5.0
97,101,,Alessandro Tadini,4.96
98,102,,Raphael Jacquelin,4.84
99,103,,Gary Boyd,4.55
100,104,,Colin Montgomerie,4.39
101,105,,Mikael Lundberg,4.36
102,106,,Robert Coles,4.22
103,107,,Tim Sluiter,4.21
104,108,,Bradley Dredge,4.17
105,109,,Francois DeLamontagne,3.96
106,110,,Matthew Southgate,3.87
107,111,,Adrien Bernadet,3.74
108,112,,Craig Lee,3.68
109,113,,Chris Gane,3.27
110,114,,Espen Kofstad,3.27
111,115,,Robert Dinwiddie,3.24
112,116,,Steven O'Hara,3.22
113,117,,Carlos Del Moral,2.9
114,118,,Ignacio Garrido,2.82
115,119,,Christophe Brazillier,2.67
116,120,,David Howell,2.57
117,121,,Simon Khan,2.55
118,122,,Alastair Forsyth,2.16
119,123,,Thomas Levet,1.89
120,124,,Philip Archer,1.89
121,125,,Barry Lane,1.88
122,126,,Maarten Lafeber,1.81
123,127,,Florian Pragant,1.76
124,128,,Martin Erlandsson,1.74
125,129,,Danny Denison,1.64
126,130,,Jordi Garcia del Mora,1.64
127,131,,Richard Johnson,1.58
128,132,,Alvaro Velasco,1.55
129,133,,David Dixon,1.43
130,134,,Floris De Vries,1.35
131,135,,Gareth Maybin,1.33
132,136,,Joel Sjöholm,1.32
133,137,,Christian Cévaër,1.28
134,138,,Nick Dougherty,1.28
135,139,,José María Olazábal,1.22
136,140,,Oliver Fisher,1.22
137,141,,Scott Jamieson,1.21
138,142,,Jamie Elson,1.2
139,143,,Ricardo Santos,1.2
