,Ryder_Cup_Points_RANK THIS WEEK,Ryder_Cup_Points_RANK LAST WEEK,Ryder_Cup_Points_PLAYER NAME,Ryder_Cup_Points_EVENTS,Ryder_Cup_Points_POINTS
0,1,1,Keegan Bradley,1,1445.0
1,2,2,Jason Dufner,3,865.0
2,3,3,Phil Mickelson,4,847.143
3,4,4,Dustin Johnson,4,802.992
4,5,5,Steve Stricker,4,541.075
5,6,6,Ryan Palmer,4,441.591
6,7,7,David Toms,3,401.4
7,8,8,Bo Van Pelt,4,390.088
8,9,9,Robert Garrigus,3,379.991
9,10,10,Kevin Chappell,1,364.241
10,11,11,Rickie Fowler,4,347.405
11,12,12,Davis Love III,4,346.166
12,13,13,Scott Verplank,1,331.0
13,14,14,Tiger Woods,2,330.667
14,15,15,Gary Woodland,4,326.775
15,16,16,Anthony Kim,4,314.897
16,17,17,Chad Campbell,2,293.105
17,18,18,Brandt Snedeker,4,291.08299999999997
18,19,19,Matt Kuchar,4,265.131
19,20,20,Bill Haas,4,261.812
20,21,21,Webb Simpson,3,219.86900000000003
21,T22,T22,Kevin Na,4,188.0
22,T22,T22,D.A. Points,3,188.0
23,24,24,Lucas Glover,4,163.735
24,25,25,Heath Slocum,3,163.083
25,26,26,Nick Watney,4,159.186
26,27,27,Zach Johnson,4,156.821
27,28,28,Bubba Watson,4,153.61700000000002
28,29,29,Ricky Barnes,3,130.371
29,30,30,Fred Couples,1,128.0
30,31,31,Jim Furyk,4,124.206
31,32,32,Ryan Moore,4,116.67299999999999
32,33,33,Charles Howell III,2,107.936
33,34,34,Harrison Frazar,3,99.72399999999999
34,35,35,Brandt Jobe,2,97.955
35,36,36,Charley Hoffman,4,85.664
36,37,37,Jeff Overton,4,83.72200000000001
37,T38,T38,Hunter Mahan,4,81.214
38,T38,T38,Brendan Steele,1,81.214
39,40,40,Spencer Levin,2,79.601
40,41,41,Scott Piercy,2,75.771
41,T42,T42,Tom Lehman,1,72.067
42,T42,T42,Tom Watson,2,72.067
43,44,44,Mark Wilson,4,70.908
44,45,45,Jerry Kelly,3,51.063
45,46,46,Stewart Cink,4,47.13399999999999
46,47,47,Chris Kirk,1,40.0
47,48,48,Ben Crane,4,36.25
48,49,49,Kevin Streelman,4,33.569
49,50,50,Steve Marino,3,32.0
50,T51,T51,Michael Putnam,1,31.264
51,T51,T51,Chez Reavie,1,31.264
52,53,53,Bill Lunde,1,30.25
53,54,54,Kyle Stanley,1,28.538
54,55,55,J.J. Henry,2,21.791999999999998
55,T56,T56,Todd Hamilton,2,19.762999999999998
56,T56,T56,Justin Hicks,1,19.762999999999998
57,58,58,Brian Gay,2,18.62
58,T59,T59,John Rollins,1,17.5
59,T59,T59,Johnson Wagner,1,17.5
60,61,61,Bryce Molder,1,16.6
61,62,62,Michael Bradley,1,16.033
62,63,63,Sean O'Hair,3,15.4
63,64,64,Mike Small,1,15.0
64,65,65,Shaun Micheel,1,14.55
