,_of_Potential_Pts_won_-_FedExCup_Playoffs_RANK THIS WEEK,_of_Potential_Pts_won_-_FedExCup_Playoffs_RANK LAST WEEK,_of_Potential_Pts_won_-_FedExCup_Playoffs_PLAYER NAME,_of_Potential_Pts_won_-_FedExCup_Playoffs_EVENTS,_of_Potential_Pts_won_-_FedExCup_Playoffs_%,_of_Potential_Pts_won_-_FedExCup_Playoffs_PLAYOFF POINTS WON,_of_Potential_Pts_won_-_FedExCup_Playoffs_POTENTIAL PTS,_of_Potential_Pts_won_-_FedExCup_Playoffs_# OF WINS,_of_Potential_Pts_won_-_FedExCup_Playoffs_# OF TOP 10'S
0,1,1,Webb Simpson,26,36.45,3645,10000,1.0,3.0
1,2,2,Justin Rose,23,32.04,3204,10000,1.0,2.0
2,3,3,Bill Haas,26,30.15,3015,10000,1.0,1.0
3,4,4,Dustin Johnson,21,28.88,2888,10000,1.0,1.0
4,5,5,Luke Donald,19,25.36,2536,10000,,3.0
5,6,6,Matt Kuchar,24,21.95,2195,10000,,1.0
6,7,7,Hunter Mahan,25,21.65,2165,10000,,2.0
7,8,8,Chez Reavie,27,21.45,2145,10000,,2.0
8,9,9,Brandt Snedeker,26,21.34,2134,10000,,2.0
9,10,10,John Senden,26,19.73,1973,10000,,1.0
10,11,11,Jason Day,21,16.1,1610,10000,,2.0
11,12,12,Geoff Ogilvy,21,15.55,1555,10000,,1.0
12,13,13,Camilo Villegas,25,15.15,1136,7500,,2.0
13,14,14,K.J. Choi,22,12.99,1299,10000,,2.0
14,15,15,Aaron Baddeley,22,12.78,1278,10000,,1.0
15,16,16,Vijay Singh,25,11.63,1163,10000,,1.0
16,17,17,Bo Van Pelt,27,11.38,1138,10000,,2.0
17,18,18,Jim Furyk,26,10.77,808,7500,,1.0
18,19,19,Y.E. Yang,18,10.74,1074,10000,,1.0
19,20,20,Jerry Kelly,26,10.66,799,7500,,1.0
20,21,21,Gary Woodland,25,10.55,1055,10000,,
21,22,22,Adam Scott,18,10.46,1046,10000,,2.0
