,Last_5_Events_-_Short_Game_RANK THIS WEEK,Last_5_Events_-_Short_Game_RANK LAST WEEK,Last_5_Events_-_Short_Game_PLAYER NAME,Last_5_Events_-_Short_Game_EVENTS,Last_5_Events_-_Short_Game_RATING
0,1,1,Chris DiMarco,1,9.4
1,T2,T2,Tim Clark,2,9.0
2,T2,T2,Brett Quigley,1,9.0
3,4,4,Francesco Molinari,1,8.8
4,5,5,Davis Love III,1,8.6
5,6,6,Richard Green,1,8.4
6,7,7,Bobby Gates,1,8.3
7,T8,T8,Chad Collins,1,8.2
8,T8,T8,Ben Curtis,2,8.2
9,T8,T8,Billy Mayfair,3,8.2
10,T11,T11,Joseph Bramlett,2,8.1
11,T11,T11,Ryo Ishikawa,1,8.1
12,T11,T11,Patrick Reed,1,8.1
13,T14,T14,Ryuji Imada,2,7.9
14,T14,T14,Troy Kelly,1,7.9
15,T14,T14,Tom Pernice Jr.,3,7.9
16,T17,T17,Bud Cauley,2,7.8
17,T17,T17,Alex Prugh,1,7.8
18,T19,T19,Ernie Els,3,7.7
19,T19,T19,Kenny Perry,2,7.7
20,T21,T21,Stephen Ames,3,7.6
21,T21,T21,Michael Letzig,3,7.6
22,T21,T21,Ryan Moore,2,7.6
23,T21,T21,Alexandre Rocha,2,7.6
24,T25,T25,Aaron Baddeley,3,7.5
25,T25,T25,Patrick Cantlay,4,7.5
26,T25,T25,Bryce Molder,3,7.5
27,T25,T25,Charlie Wi,3,7.5
28,T29,T29,K.J. Choi,1,7.4
29,T29,T29,Brian Davis,2,7.4
30,T29,T29,Hennie Otto,2,7.4
31,T29,T29,Michael Thompson,2,7.4
32,T29,T29,D.J. Trahan,1,7.4
33,T29,T29,Nick Watney,3,7.4
34,T29,T29,Y.E. Yang,3,7.4
35,T36,T36,Marcus Fraser,1,7.3
36,T36,T36,K.T. Kim,1,7.3
37,T36,T36,Shaun Micheel,1,7.3
38,T36,T36,Brandt Snedeker,4,7.3
39,T36,T36,Steve Stricker,2,7.3
40,T36,T36,Mark Wilson,2,7.3
41,T42,T42,Keegan Bradley,1,7.2
42,T42,T42,Jonathan Byrd,2,7.2
43,T42,T42,Ben Crane,1,7.2
44,T42,T42,Bob Estes,2,7.2
45,T42,T42,Robin Freeman,1,7.2
46,T42,T42,Jim Furyk,3,7.2
47,T42,T42,Brian Gay,2,7.2
48,T42,T42,Jim Herman,2,7.2
