,FedExCup_Season_Points_for_Non-Members_RANK THIS WEEK,FedExCup_Season_Points_for_Non-Members_RANK LAST WEEK,FedExCup_Season_Points_for_Non-Members_PLAYER NAME,FedExCup_Season_Points_for_Non-Members_EVENTS,FedExCup_Season_Points_for_Non-Members_POINTS,FedExCup_Season_Points_for_Non-Members_WGC POINTS
0,1,1,Rory McIlroy,10,1030.0,212.0
1,2,2,Lee Westwood,10,632.0,179.0
2,3,3,Martin Kaymer,10,605.0,401.0
3,4,4,Darren Clarke,3,602.0,2.0
4,5,5,Anders Hansen,7,491.0,233.0
5,6,6,Francesco Molinari,11,343.0,251.0
6,7,7,Edoardo Molinari,12,323.0,114.0
7,8,8,K.T. Kim,9,317.0,138.0
8,9,9,Peter Hanson,12,292.0,87.0
9,10,10,Ryo Ishikawa,10,265.0,178.0
10,11,11,Thomas Bjørn,5,240.0,90.0
11,12,12,Miguel Angel Jiménez,7,207.0,116.0
12,13,13,Matteo Manassero,8,199.0,99.0
13,14,14,Alvaro Quiros,8,192.0,45.0
14,15,15,Adam Hadwin,3,190.0,
15,16,16,Bud Cauley,6,181.0,
16,17,17,Ross Fisher,8,154.0,56.0
17,18,18,Simon Dyson,3,137.0,37.0
18,19,19,Seung-Yul Noh,6,133.0,35.0
19,20,20,Richard Green,4,107.0,53.0
20,21,21,Yuta Ikeda,9,99.0,38.0
21,22,22,Hiroyuki Fujita,7,99.0,32.0
22,23,23,Raphael Jacquelin,2,94.0,
23,24,24,Sam Saunders,8,91.0,
24,25,25,Johan Edfors,2,82.0,
25,26,26,Robert Rock,2,76.0,
26,27,27,Alex Noren,4,71.0,16.0
27,28,28,Morgan Hoffmann,4,70.0,
28,29,29,Erik Compton,6,67.0,
29,30,30,Pablo Larrazabal,3,62.0,1.0
30,31,31,George Coetzee,1,61.0,
31,32,32,Grégory Havret,3,49.0,
32,33,33,Hennie Otto,1,41.0,41.0
33,34,34,Do-Hoon Kim,1,37.0,
34,35,35,Thomas Aiken,4,35.0,35.0
35,T36,T36,Gary Boyd,1,31.0,
36,T36,T36,Simon Khan,1,31.0,
37,38,38,Sangmoon Bae,2,28.0,
38,39,39,Mathias Grönberg,1,26.0,
39,T40,T40,Josh Broadaway,1,25.0,
40,T40,T40,Marcus Fraser,1,25.0,25.0
41,T42,T42,WC Liang,2,24.0,
42,T42,T42,Drew Weaver,2,24.0,
43,44,44,Brendan Jones,2,23.0,23.0
44,T45,T45,Grégory Bourdy,2,21.0,
45,T45,T45,Floris De Vries,1,21.0,
46,T45,T45,Richard McEvoy,1,21.0,
47,48,48,Mathew Goggin,1,20.0,
48,49,49,José Manuel Lara,1,20.0,
49,50,50,SSP Chawrasia,1,20.0,20.0
50,51,51,Alejandro Cañizares,2,17.0,
51,52,52,Todd Fischer,2,16.0,
52,T53,T53,Julián Etulain,1,13.0,
53,T53,T53,Sal Spallone,1,13.0,
54,55,55,Steve Allan,1,13.0,
55,56,56,Troy Kelly,1,12.0,
56,T57,T57,Fredrik Andersson Hed,2,12.0,
57,T57,T57,Stephen Gallacher,3,12.0,
58,59,59,Mike Small,5,11.0,
59,60,60,Marcel Siem,1,10.0,
60,61,61,Rhys Davies,2,9.0,9.0
61,62,62,Billy Hurley III,3,8.0,
62,T63,T63,Joost Luiten,2,7.0,
63,T63,T63,Matthew Millar,1,7.0,
64,65,65,Peter Senior,1,7.0,7.0
65,66,66,Bob May,2,6.0,
66,67,67,Paul Lawrie,1,5.0,
67,68,68,Patrick Reed,2,3.0,
68,69,69,Will Claxton,1,3.0,
69,T70,T70,Christo Greyling,1,2.0,
70,T70,T70,Kenichi Kuboya,1,2.0,
71,72,72,Michio Matsumura,1,1.0,
72,73,73,Kenneth Ferrie,1,1.0,
73,T74,T74,Wes Heffernan,1,1.0,
74,T74,T74,Jung-gon Hwang,1,1.0,
75,76,76,Brad Fritsch,1,1.0,
76,T77,T77,Jae-bum Park,1,1.0,1.0
77,T77,T77,Dustin Risdon,1,1.0,
78,79,79,Dave Schultz,1,1.0,
79,80,80,Alex Aragon,2,,
