,All-Around_Ranking_RANK THIS WEEK,All-Around_Ranking_RANK LAST WEEK,All-Around_Ranking_PLAYER NAME,All-Around_Ranking_EVENTS,All-Around_Ranking_TOTAL
0,1,1,Webb Simpson,26,239
1,2,2,Adam Scott,18,266
2,3,3,David Toms,23,308
3,4,4,Hunter Mahan,25,348
4,5,5,Nick Watney,22,357
5,6,6,Matt Kuchar,24,392
6,7,7,Luke Donald,19,407
7,8,8,Steve Stricker,19,410
8,9,9,Jason Day,21,414
9,10,10,Bo Van Pelt,27,423
10,11,11,Kyle Stanley,28,424
11,12,12,Chris Couch,21,431
12,13,13,Justin Rose,23,436
13,14,14,Brandt Snedeker,26,448
14,15,15,Brandt Jobe,28,458
15,16,16,Dustin Johnson,21,463
16,17,17,Rickie Fowler,24,465
17,18,18,Martin Laird,23,469
18,19,19,Bill Haas,26,471
19,20,20,Zach Johnson,23,474
20,21,21,Phil Mickelson,21,477
21,22,22,John Rollins,27,478
22,23,23,Carl Pettersson,27,484
23,24,24,Aaron Baddeley,22,485
24,25,25,Chris Kirk,28,493
25,26,26,Sergio Garcia,16,501
26,27,27,Lucas Glover,23,505
27,28,28,Gary Woodland,25,516
28,29,29,John Merrick,21,522
29,30,30,Brendon de Jonge,30,524
30,31,31,Bubba Watson,22,526
31,32,32,J.B. Holmes,16,529
32,33,33,Chez Reavie,27,533
33,34,34,Keegan Bradley,28,535
34,35,35,Andres Romero,22,541
35,36,36,Brian Davis,30,546
36,T37,T37,Jason Dufner,23,547
37,T37,T37,John Senden,26,547
38,39,39,Charles Howell III,30,551
39,40,40,D.A. Points,26,553
40,41,41,Pat Perez,24,556
41,42,42,Charley Hoffman,27,560
42,43,43,Charl Schwartzel,15,576
43,44,44,Bryce Molder,27,578
44,45,45,Robert Karlsson,18,580
45,46,46,Josh Teater,31,584
46,47,47,Billy Mayfair,29,589
47,T48,T48,Steve Marino,23,597
48,T48,T48,Graeme McDowell,16,597
49,50,50,Brendan Steele,27,600
50,51,51,Hunter Haas,30,610
51,52,52,Rod Pampling,21,611
52,53,53,Freddie Jacobson,25,613
53,54,54,Jerry Kelly,26,619
54,55,55,Brian Gay,26,620
55,56,56,Jim Furyk,26,622
56,57,57,Scott Piercy,23,626
57,T58,T58,Blake Adams,34,631
58,T58,T58,Steven Bowditch,28,631
59,T58,T58,Tommy Gainey,34,631
60,61,61,Woody Austin,18,632
61,62,62,George McNeill,21,634
62,63,63,Boo Weekley,23,635
63,T64,T64,Jason Bohn,22,639
64,T64,T64,Geoff Ogilvy,21,639
65,66,66,Jonathan Byrd,26,643
66,67,67,Ángel Cabrera,17,645
67,68,68,Spencer Levin,31,649
68,69,69,Mark Wilson,26,655
69,70,70,K.J. Choi,22,660
70,71,71,D.J. Trahan,30,662
71,72,72,Kevin Na,26,665
72,T73,T73,Sung Kang,21,668
73,T73,T73,Jimmy Walker,24,668
74,T75,T75,Ian Poulter,16,669
75,T75,T75,Vijay Singh,25,669
76,77,77,David Hearn,26,670
77,78,78,Greg Chalmers,28,673
78,T79,T79,Robert Allenby,25,686
79,T79,T79,Shane Bertsch,20,686
80,T79,T79,Bill Lunde,28,686
81,T82,T82,Lee Janzen,19,690
82,T82,T82,Kevin Stadler,27,690
83,84,84,Retief Goosen,16,694
84,85,85,Ben Crane,23,700
85,86,86,Aron Price,18,703
86,87,87,Robert Garrigus,26,708
87,T88,T88,Joe Ogilvie,24,710
88,T88,T88,Chris Stroud,28,710
89,90,90,Trevor Immelman,25,713
90,91,91,Briny Baird,19,715
91,T92,T92,Billy Horschel,25,716
92,T92,T92,Jeff Overton,26,716
93,94,94,Ryan Moore,22,721
94,95,95,Nick O'Hern,29,726
95,96,96,Kevin Chappell,26,730
96,97,97,Rory Sabbatini,24,734
97,98,98,Charlie Wi,25,739
98,99,99,Y.E. Yang,18,754
99,100,100,Cameron Tringale,32,755
100,101,101,Kevin Streelman,26,758
101,102,102,Troy Matteson,28,760
102,103,103,Anthony Kim,26,761
103,104,104,Chad Campbell,29,770
104,105,105,William McGirt,32,771
105,106,106,Ricky Barnes,23,773
106,107,107,Stewart Cink,22,774
107,108,108,Michael Bradley,24,775
108,109,109,Jhonattan Vegas,25,776
109,110,110,Alex Cejka,21,778
110,111,111,Ryan Palmer,24,781
111,112,112,Vaughn Taylor,27,788
112,T113,T113,Ben Martin,25,795
113,T113,T113,Heath Slocum,29,795
114,115,115,Michael Thompson,25,806
115,116,116,Kris Blanks,29,812
116,117,117,J.J. Henry,28,814
117,118,118,Tim Herron,28,817
118,119,119,David Mathis,25,818
119,120,120,Fabián Gómez,26,821
120,121,121,Marc Leishman,27,825
121,122,122,Scott McCarron,22,834
122,123,123,Chris DiMarco,31,840
123,124,124,Tom Gillis,19,842
124,125,125,Scott Stallings,28,845
125,126,126,Davis Love III,22,849
126,127,127,Tag Ridings,28,860
127,128,128,Camilo Villegas,25,862
128,T129,T129,Paul Stankowski,24,866
129,T129,T129,Roland Thatcher,22,866
130,131,131,Matt McQuillan,21,871
131,132,132,Matt Jones,25,878
132,133,133,Johnson Wagner,25,879
133,134,134,Steve Flesch,27,891
134,135,135,Ben Curtis,23,896
135,136,136,Jim Renner,22,906
136,137,137,Padraig Harrington,18,909
137,138,138,Nate Smith,24,910
138,139,139,Stephen Ames,22,913
139,140,140,Bobby Gates,29,923
140,141,141,Chris Riley,25,927
141,142,142,Joe Durant,25,929
142,143,143,Cameron Beckman,25,934
143,T144,T144,Arjun Atwal,29,936
144,T144,T144,James Driscoll,24,936
145,T144,T144,Dean Wilson,22,936
