,Non-WGC_FedExCup_Season_Points_for_Non-Members_RANK THIS WEEK,Non-WGC_FedExCup_Season_Points_for_Non-Members_RANK LAST WEEK,Non-WGC_FedExCup_Season_Points_for_Non-Members_PLAYER NAME,Non-WGC_FedExCup_Season_Points_for_Non-Members_EVENTS,Non-WGC_FedExCup_Season_Points_for_Non-Members_POINTS
0,1,1,Rory McIlroy,10,818.0
1,2,2,Darren Clarke,3,600.0
2,3,3,Lee Westwood,10,454.0
3,4,4,Anders Hansen,7,258.0
4,5,5,Edoardo Molinari,12,209.0
5,6,6,Peter Hanson,12,205.0
6,7,7,Martin Kaymer,10,204.0
7,8,8,Adam Hadwin,3,190.0
8,9,9,Bud Cauley,6,181.0
9,10,10,K.T. Kim,9,179.0
10,11,11,Thomas Bjørn,5,150.0
11,12,12,Alvaro Quiros,8,147.0
12,13,13,Matteo Manassero,8,101.0
13,14,14,Simon Dyson,3,100.0
14,T15,T15,Ross Fisher,8,98.0
15,T15,T15,Seung-Yul Noh,6,98.0
16,17,17,Raphael Jacquelin,2,94.0
17,18,18,Francesco Molinari,11,92.0
18,19,19,Sam Saunders,8,91.0
19,20,20,Miguel Angel Jiménez,7,91.0
20,21,21,Ryo Ishikawa,10,87.0
21,22,22,Johan Edfors,2,82.0
22,23,23,Robert Rock,2,76.0
23,24,24,Morgan Hoffmann,4,70.0
24,25,25,Hiroyuki Fujita,7,68.0
25,26,26,Erik Compton,6,67.0
26,27,27,Yuta Ikeda,9,62.0
27,T28,T28,George Coetzee,1,61.0
28,T28,T28,Pablo Larrazabal,3,61.0
29,30,30,Alex Noren,4,55.0
30,31,31,Richard Green,4,54.0
31,32,32,Grégory Havret,3,49.0
32,33,33,Do-Hoon Kim,1,37.0
33,T34,T34,Gary Boyd,1,31.0
34,T34,T34,Simon Khan,1,31.0
35,36,36,Sangmoon Bae,2,28.0
36,37,37,Mathias Grönberg,1,26.0
37,38,38,Josh Broadaway,1,25.0
38,T39,T39,WC Liang,2,24.0
39,T39,T39,Drew Weaver,2,24.0
40,T41,T41,Grégory Bourdy,2,21.0
41,T41,T41,Floris De Vries,1,21.0
42,T41,T41,Richard McEvoy,1,21.0
43,44,44,Mathew Goggin,1,20.0
44,45,45,José Manuel Lara,1,20.0
45,46,46,Alejandro Cañizares,2,17.0
46,47,47,Todd Fischer,2,16.0
47,T48,T48,Julián Etulain,1,13.0
48,T48,T48,Sal Spallone,1,13.0
49,50,50,Steve Allan,1,13.0
50,51,51,Troy Kelly,1,12.0
51,T52,T52,Fredrik Andersson Hed,2,12.0
52,T52,T52,Stephen Gallacher,3,12.0
53,54,54,Mike Small,5,11.0
54,55,55,Marcel Siem,1,10.0
55,56,56,Billy Hurley III,3,8.0
56,T57,T57,Joost Luiten,2,7.0
57,T57,T57,Matthew Millar,1,7.0
58,59,59,Bob May,2,6.0
59,60,60,Paul Lawrie,1,5.0
60,61,61,Patrick Reed,2,3.0
61,62,62,Will Claxton,1,3.0
62,T63,T63,Christo Greyling,1,2.0
63,T63,T63,Kenichi Kuboya,1,2.0
64,65,65,Michio Matsumura,1,1.0
65,66,66,Kenneth Ferrie,1,1.0
66,T67,T67,Wes Heffernan,1,1.0
67,T67,T67,Jung-gon Hwang,1,1.0
68,69,69,Brad Fritsch,1,1.0
69,70,70,Dustin Risdon,1,1.0
70,71,71,Dave Schultz,1,1.0
71,72,72,Alex Aragon,2,
