,Presidents_Cup_United_States_RANK THIS WEEK,Presidents_Cup_United_States_RANK LAST WEEK,Presidents_Cup_United_States_PLAYER NAME,Presidents_Cup_United_States_POINTS
0,1,1,Matt Kuchar,14530850
1,2,2,Steve Stricker,13956355
2,3,3,Dustin Johnson,13444489
3,4,4,Webb Simpson,12716373
4,5,5,Nick Watney,12402129
5,6,6,Phil Mickelson,12358553
6,7,7,Bubba Watson,10040726
7,8,8,David Toms,9370295
8,9,9,Hunter Mahan,9206692
9,10,10,Jim Furyk,9122803
10,11,11,Brandt Snedeker,9035152
11,12,12,Bill Haas,8814497
12,13,13,Bo Van Pelt,7958543
13,14,14,Jason Dufner,7704208
14,15,15,Rickie Fowler,7597561
15,16,16,Ryan Moore,7485780
16,17,17,Zach Johnson,7412780
17,18,18,Jonathan Byrd,7388848
18,19,19,Mark Wilson,7139753
19,20,20,Keegan Bradley,7096399
20,21,21,Ryan Palmer,6622274
21,22,22,Gary Woodland,6421846
22,23,23,Charles Howell III,6205917
23,24,24,Steve Marino,6086392
24,25,25,Jeff Overton,5953385
25,26,26,Sean O'Hair,5793935
26,27,27,Charley Hoffman,5724255
27,28,28,Kevin Na,5530683
28,29,29,Tiger Woods,5374491
29,30,30,D.A. Points,5373860
30,31,31,Heath Slocum,5326871
31,32,32,Lucas Glover,5319029
32,33,33,Spencer Levin,5266724
33,34,34,J.B. Holmes,5253915
34,35,35,Scott Verplank,5072796
35,36,36,Anthony Kim,4860425
36,37,37,Ben Crane,4828348
37,38,38,Chez Reavie,4617518
38,39,39,Robert Garrigus,4571666
39,40,40,Jerry Kelly,4345499
40,41,41,George McNeill,4307360
41,42,42,Brian Gay,4148220
42,43,43,Jimmy Walker,3921740
43,44,44,Kevin Streelman,3877386
44,45,45,Scott Stallings,3855730
45,46,46,Tommy Gainey,3847775
46,47,47,Chris Kirk,3809734
47,48,48,Ricky Barnes,3718728
48,49,49,Pat Perez,3688157
49,50,50,Troy Matteson,3667514
50,51,51,Stewart Cink,3654086
51,52,52,Paul Goydos,3573492
52,53,53,Brendan Steele,3568544
53,54,54,Chad Campbell,3560023
54,55,55,Davis Love III,3495313
55,56,56,Bryce Molder,3462310
56,57,57,John Rollins,3354866
57,58,58,Jason Bohn,3289866
58,59,59,Johnson Wagner,3275411
59,60,60,Vaughn Taylor,3274834
60,61,61,Kris Blanks,3223123
61,62,62,Brandt Jobe,3204076
62,63,63,Chris Stroud,3181208
63,64,64,Scott Piercy,3173018
64,65,65,Blake Adams,3063170
65,66,66,Harrison Frazar,3023987
66,67,67,D.J. Trahan,2976514
67,68,68,Kyle Stanley,2903408
68,69,69,Kevin Stadler,2874409
69,70,70,J.J. Henry,2862437
70,71,71,Cameron Tringale,2824429
71,72,72,Tom Gillis,2794440
72,73,73,Chris Couch,2714978
73,74,74,Bill Lunde,2559751
74,75,75,Justin Leonard,2540007
75,76,76,Tim Petrovic,2418039
76,77,77,Matt Bettencourt,2239869
77,78,78,Josh Teater,2224965
78,79,79,Kevin Chappell,2203641
79,80,80,Joe Ogilvie,2174463
80,81,81,Cameron Beckman,2099157
81,82,82,Michael Bradley,2069343
82,83,83,John Merrick,2007751
83,84,84,Chris DiMarco,1999811
84,85,85,Tim Herron,1996681
85,86,86,Chris Riley,1961774
86,87,87,Roland Thatcher,1943576
87,88,88,Hunter Haas,1852732
88,89,89,Bob Estes,1838844
89,90,90,Alex Prugh,1799546
90,91,91,James Driscoll,1783404
91,92,92,Kevin Sutherland,1776982
92,93,93,Billy Mayfair,1767707
93,94,94,Tom Pernice Jr.,1731677
94,95,95,Dean Wilson,1717183
95,96,96,Garrett Willis,1706303
96,97,97,Ben Curtis,1656590
97,98,98,David Duval,1644772
98,99,99,Steve Flesch,1597384
99,100,100,Kenny Perry,1580989
100,101,101,Briny Baird,1521063
101,102,102,Joe Durant,1486195
102,103,103,Rocco Mediate,1473737
103,104,104,Michael Connell,1444383
104,105,105,Boo Weekley,1418585
105,106,106,Shaun Micheel,1418294
106,107,107,Woody Austin,1385827
107,108,108,Scott McCarron,1363681
108,109,109,Fred Couples,1350507
109,110,110,Derek Lamely,1298104
110,111,111,Michael Thompson,1263728
111,112,112,Bobby Gates,1231214
112,113,113,J.P. Hayes,1213871
113,114,114,David Mathis,1194242
114,115,115,Chad Collins,1182980
115,116,116,Brett Wetterich,1125680
116,117,117,John Mallinger,1122632
117,118,118,Jeff Maggert,1117875
118,119,119,Lee Janzen,1092381
119,120,120,Paul Stankowski,1057187
120,121,121,Troy Merritt,1054082
121,122,122,Michael Allen,995687
122,123,123,Corey Pavin,986917
123,124,124,Kent Jones,975737
124,125,125,Jeff Quinney,935907
125,126,126,Will MacKenzie,880470
126,127,127,Michael Letzig,864185
127,128,128,William McGirt,855920
128,129,129,Zack Miller,836522
129,130,130,Chris Tidland,834260
130,131,131,Michael Putnam,820650
131,132,132,Charles Warren,778259
132,133,133,Tom Lehman,771621
133,134,134,Tag Ridings,761734
134,135,135,Brett Quigley,697690
135,136,136,Jim Renner,685526
136,137,137,Bud Cauley,662299
137,138,138,Daniel Summerhays,603799
138,139,139,Billy Horschel,595304
139,140,140,John Daly,583438
140,141,141,Shane Bertsch,574169
141,142,142,Colt Knost,561134
142,143,143,Marc Turnesa,560199
143,144,144,Jamie Lovemark,554785
144,145,145,Justin Hicks,553524
145,146,146,Ben Martin,546318
146,147,147,Kirk Triplett,507265
147,148,148,John Cook,503200
148,149,149,Jay Williamson,499737
149,150,150,Scott Gutschewski,489271
150,151,151,Jeff Klauk,474881
151,152,152,Rich Beem,458679
152,153,153,Todd Hamilton,389965
153,154,154,Ted Purdy,387532
154,155,155,Jim Herman,381666
155,156,156,D.J. Brigman,365207
156,157,157,Matt Weibring,355348
157,158,158,Frank Lickliter II,338692
158,159,159,Joseph Bramlett,338008
159,160,160,Skip Kendall,328319
160,161,161,Omar Uresti,320153
161,162,162,Marco Dawson,316973
162,163,163,Tom Watson,293504
163,164,164,Craig Barlow,283999
