,Official_World_Golf_Ranking_RANK THIS WEEK,Official_World_Golf_Ranking_RANK LAST WEEK,Official_World_Golf_Ranking_PLAYER NAME,Official_World_Golf_Ranking_EVENTS,Official_World_Golf_Ranking_AVG POINTS,Official_World_Golf_Ranking_TOTAL POINTS,Official_World_Golf_Ranking_POINTS LOST,Official_World_Golf_Ranking_POINTS GAINED,Official_World_Golf_Ranking_COUNTRY
0,1,,Luke Donald,54,10.03,541.46,-302.6,533.49,ENG
1,2,,Lee Westwood,45,8.06,362.83,-361.0,298.87,ENG
2,3,,Rory McIlroy,50,7.77,388.59,-279.45,360.27,NIR
3,4,,Martin Kaymer,51,6.55,334.07,-309.08,287.35,GER
4,5,,Adam Scott,47,5.5,258.31,-160.3,232.63,AUS
5,6,,Steve Stricker,41,5.33,218.48,-255.83,211.52,USA
6,7,,Dustin Johnson,51,5.27,268.92,-208.27,251.1,USA
7,8,,Jason Day,48,5.07,243.41,-129.11,244.98,AUS
8,9,,Charl Schwartzel,54,5.06,273.21,-196.68,288.47,RSA
9,10,,Webb Simpson,54,5.03,271.49,-72.42,297.62,USA
10,11,,Matt Kuchar,54,4.71,254.39,-223.73,231.05,USA
11,12,,Nick Watney,51,4.69,239.43,-179.23,252.97,USA
12,13,,Graeme McDowell,54,4.55,245.68,-246.24,158.88,NIR
13,14,,Phil Mickelson,47,4.47,210.32,-280.55,202.69,USA
14,15,,K.J. Choi,54,4.31,232.96,-145.44,238.88,KOR
15,16,,Ian Poulter,50,3.88,194.19,-226.21,147.6,ENG
16,17,,Sergio Garcia,48,3.87,185.8,-96.15,194.03,ESP
17,18,,Justin Rose,54,3.84,207.61,-158.83,185.5,ENG
18,19,,Hunter Mahan,54,3.76,203.0,-192.01,180.75,USA
19,20,,Paul Casey,50,3.73,186.28,-214.22,135.17,ENG
20,21,,Bubba Watson,50,3.69,184.3,-155.73,182.79,USA
21,22,,Alvaro Quiros,51,3.68,187.44,-146.89,193.57,ESP
22,23,,Tiger Woods,40,3.59,143.68,-277.79,106.22,USA
23,24,,Robert Karlsson,52,3.55,184.34,-145.03,142.54,SWE
24,25,,K.T. Kim,54,3.52,190.31,-135.3,145.62,KOR
25,26,,David Toms,50,3.5,175.01,-104.61,187.78,USA
26,27,,Bill Haas,54,3.43,185.3,-117.2,180.32,USA
27,28,,Simon Dyson,54,3.38,182.45,-107.5,171.94,ENG
28,29,,Bo Van Pelt,54,3.37,182.11,-132.64,157.1,USA
29,30,,Sangmoon Bae,43,3.28,140.9,-42.93,138.19,KOR
30,31,,Keegan Bradley,54,3.26,176.1,-35.91,190.18,USA
31,32,,Rickie Fowler,54,3.24,175.22,-121.55,158.78,USA
32,33,,Jason Dufner,50,3.21,160.64,-95.53,172.34,USA
33,34,,Anders Hansen,51,3.17,161.92,-109.65,165.34,DEN
34,35,,Thomas Bjørn,51,3.16,161.39,-73.92,170.89,DEN
35,36,,Geoff Ogilvy,49,3.13,153.14,-148.54,121.01,AUS
36,37,,Zach Johnson,50,3.09,154.68,-160.46,123.99,USA
37,38,,Brandt Snedeker,54,3.09,166.97,-100.94,182.01,USA
38,39,,Freddie Jacobson,51,3.08,157.09,-69.09,163.94,SWE
39,40,,Louis Oosthuizen,54,3.07,165.69,-155.04,123.14,RSA
40,41,,Francesco Molinari,54,3.05,164.69,-182.61,105.71,ITA
41,42,,Peter Hanson,52,2.97,154.66,-121.48,137.42,SWE
42,43,,John Senden,54,2.91,156.96,-87.1,148.03,AUS
43,44,,Miguel Angel Jiménez,54,2.88,155.61,-168.43,125.44,ESP
44,45,,Y.E. Yang,54,2.84,153.12,-160.27,153.98,KOR
45,46,,Aaron Baddeley,53,2.79,147.92,-66.97,180.03,AUS
46,47,,Martin Laird,54,2.76,149.3,-135.95,143.12,SCO
47,48,,Darren Clarke,52,2.74,142.62,-80.2,144.73,NIR
48,49,,Gonzalo Fernandez-Castaño,43,2.73,117.33,-60.81,94.07,ESP
49,50,,Jim Furyk,50,2.73,136.39,-237.46,87.82,USA
50,51,,Ryo Ishikawa,54,2.71,146.47,-144.12,117.39,JPN
51,52,,Gary Woodland,50,2.71,135.38,-43.64,170.42,USA
52,53,,Retief Goosen,54,2.53,136.58,-206.36,87.39,RSA
53,54,,Ben Crane,51,2.42,123.33,-128.08,91.2,USA
54,55,,Jonathan Byrd,54,2.38,128.31,-85.02,146.82,USA
55,56,,Ernie Els,54,2.37,127.98,-242.28,60.3,RSA
56,57,,Ryan Moore,49,2.36,115.69,-132.3,103.54,USA
