,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK THIS WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK LAST WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_PLAYER NAME,_of_Potential_Pts_won_-_FedExCup_Regular_Season_EVENTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_%,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POINTS WON,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POTENTIAL PTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF WINS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF TOP 10'S
0,1,1,John Cook,1,38.0,95.0,250,,1.0
1,2,2,Luke Donald,19,28.77,1856.0,6450,1.0,10.0
2,3,3,Steve Stricker,19,26.84,1865.0,6950,2.0,5.0
3,4,4,Nick Watney,22,23.97,1906.0,7950,2.0,8.0
4,5,5,Adam Scott,18,20.65,1332.0,6450,1.0,5.0
5,6,6,Webb Simpson,26,20.23,1861.0,9200,1.0,7.0
6,7,7,Phil Mickelson,21,20.14,1601.0,7950,1.0,5.0
7,8,8,Charl Schwartzel,15,19.92,1185.0,5950,1.0,3.0
8,9,9,K.J. Choi,22,18.95,1601.0,8450,1.0,6.0
9,10,10,Bubba Watson,22,18.77,1577.0,8400,2.0,3.0
10,11,11,David Toms,23,17.88,1538.0,8600,1.0,6.0
11,12,12,Jason Day,21,16.45,1308.0,7950,,8.0
12,13,13,Matt Kuchar,24,15.72,1407.0,8950,,8.0
13,14,14,Gary Woodland,25,15.68,1466.0,9350,1.0,6.0
14,15,15,Dustin Johnson,21,14.98,1191.0,7950,,5.0
15,16,16,Mark Wilson,26,14.68,1461.0,9950,2.0,4.0
16,17,17,Aaron Baddeley,22,14.49,1181.0,8150,1.0,4.0
17,18,18,Martin Laird,23,13.79,1234.0,8950,1.0,6.0
18,19,19,Tim Clark,4,13.57,299.0,2200,,1.0
19,20,20,Keegan Bradley,28,13.51,1621.0,12000,2.0,4.0
20,21,21,Freddie Jacobson,25,13.35,1235.0,9250,1.0,3.0
21,22,22,Jason Dufner,23,13.14,1143.0,8700,,5.0
22,23,23,Rory Sabbatini,24,12.84,1175.0,9150,1.0,3.0
23,24,24,Brandt Snedeker,26,12.46,1227.0,9850,1.0,5.0
24,25,25,Y.E. Yang,18,12.4,799.0,6450,,4.0
25,26,26,Jonathan Byrd,26,12.33,1165.0,9450,1.0,4.0
26,27,27,Bill Haas,26,12.18,1273.0,10450,,6.0
27,28,28,Hunter Mahan,25,11.92,1186.0,9950,,7.0
28,29,29,Robert Karlsson,18,11.36,789.0,6950,,3.0
29,30,30,Sergio Garcia,16,11.31,662.0,5850,,3.0
30,31,31,Rickie Fowler,24,10.99,1038.0,9450,,4.0
31,32,32,Zach Johnson,23,10.75,962.0,8950,,4.0
32,33,33,Ryan Moore,22,10.45,883.0,8450,,3.0
33,34,34,George McNeill,21,10.28,694.0,6750,,4.0
34,35,35,D.A. Points,26,10.14,1055.0,10400,1.0,3.0
35,36,36,Charles Howell III,30,9.93,1137.0,11450,,6.0
