,Presidents_Cup_International_RANK THIS WEEK,Presidents_Cup_International_RANK LAST WEEK,Presidents_Cup_International_PLAYER NAME,Presidents_Cup_International_EVENTS,Presidents_Cup_International_AVG POINTS,Presidents_Cup_International_TOTAL POINTS,Presidents_Cup_International_POINTS LOST,Presidents_Cup_International_POINTS GAINED
0,1,1,Jason Day,44,6.0,263.93,-80.86,217.25
1,2,2,Adam Scott,49,5.62,275.55,-107.34,196.9
2,3,3,Charl Schwartzel,54,4.99,269.19,-131.58,219.28
3,4,4,K.J. Choi,53,4.53,239.89,-92.95,193.28
4,5,5,K.T. Kim,54,3.73,201.2,-92.7,112.31
5,6,6,Retief Goosen,54,3.26,176.23,-157.19,78.32
6,7,7,Geoff Ogilvy,51,3.18,162.27,-110.79,92.39
7,8,8,Ernie Els,54,3.14,169.42,-185.19,46.74
8,9,9,Y.E. Yang,54,3.11,167.8,-122.45,130.45
9,10,10,Ryo Ishikawa,54,2.94,158.87,-108.05,93.4
10,11,11,Louis Oosthuizen,53,2.73,144.87,-111.49,58.78
11,12,12,Tim Clark,40,2.57,102.68,-113.51,28.13
12,13,13,Robert Allenby,54,2.56,138.2,-141.83,75.16
13,14,14,Aaron Baddeley,54,2.55,137.95,-41.46,144.56
14,15,15,Vijay Singh,49,2.54,124.47,-59.32,110.25
15,16,16,Rory Sabbatini,54,2.47,133.15,-72.59,122.08
16,17,17,John Senden,54,2.44,132.02,-65.05,101.36
17,18,18,Yuta Ikeda,54,2.22,120.01,-92.59,51.6
18,19,19,Camilo Villegas,54,2.18,117.96,-102.86,57.84
19,20,20,Richard Green,45,2.11,95.03,-52.9,43.96
20,21,21,Sangmoon Bae,40,2.02,80.69,-29.45,64.5
21,22,22,Brendan Jones,40,1.91,76.54,-50.29,33.49
22,23,23,Hiroyuki Fujita,54,1.88,101.48,-80.15,34.83
23,24,24,George Coetzee,52,1.67,86.66,-17.87,82.65
24,25,25,Tetsuji Hiratsuka,54,1.66,89.67,-63.15,36.74
