,FedExCup_Season_Points_RANK THIS WEEK,FedExCup_Season_Points_RANK LAST WEEK,FedExCup_Season_Points_PLAYER NAME,FedExCup_Season_Points_EVENTS,FedExCup_Season_Points_POINTS,FedExCup_Season_Points_# OF WINS,FedExCup_Season_Points_# OF TOP 10'S,FedExCup_Season_Points_POINTS BEHIND LEAD,FedExCup_Season_Points_RESET POINTS
0,1,1,Nick Watney,17,1906.0,2.0,8.0,,
1,2,2,Steve Stricker,15,1865.0,2.0,5.0,41.0,
2,3,3,Webb Simpson,20,1861.0,1.0,7.0,45.0,
3,4,4,Luke Donald,14,1856.0,1.0,10.0,50.0,
4,5,5,Keegan Bradley,24,1621.0,2.0,4.0,285.0,
5,6,6,Phil Mickelson,17,1601.0,1.0,5.0,305.0,
6,7,7,K.J. Choi,18,1601.0,1.0,6.0,305.0,
7,8,8,Bubba Watson,18,1577.0,2.0,3.0,329.0,
8,9,9,David Toms,18,1538.0,1.0,6.0,368.0,
9,10,10,Gary Woodland,20,1466.0,1.0,6.0,440.0,
10,11,11,Mark Wilson,21,1461.0,2.0,4.0,445.0,
11,12,12,Matt Kuchar,19,1407.0,,8.0,499.0,
12,13,13,Adam Scott,14,1332.0,1.0,5.0,574.0,
13,14,14,Jason Day,17,1308.0,,8.0,598.0,
14,15,15,Bill Haas,22,1273.0,,6.0,633.0,
15,16,16,Freddie Jacobson,21,1235.0,1.0,3.0,671.0,
16,17,17,Martin Laird,19,1234.0,1.0,6.0,672.0,
17,18,18,Brandt Snedeker,21,1227.0,1.0,5.0,679.0,
18,19,19,Dustin Johnson,17,1191.0,,5.0,715.0,
19,20,20,Hunter Mahan,21,1186.0,,7.0,720.0,
20,21,21,Charl Schwartzel,13,1185.0,1.0,3.0,721.0,
21,22,22,Aaron Baddeley,18,1181.0,1.0,4.0,725.0,
22,23,23,Rory Sabbatini,20,1175.0,1.0,3.0,731.0,
23,24,24,Jonathan Byrd,20,1165.0,1.0,4.0,741.0,
