,Top_10_Finishes_RANK THIS WEEK,Top_10_Finishes_RANK LAST WEEK,Top_10_Finishes_PLAYER NAME,Top_10_Finishes_EVENTS,Top_10_Finishes_TOP 10,Top_10_Finishes_1ST,Top_10_Finishes_2ND,Top_10_Finishes_3RD
0,1,1,Vijay Singh,27,18,4.0,5.0,
1,2,2,Jim Furyk,27,15,2.0,1.0,1.0
2,3,3,Tiger Woods,18,12,5.0,2.0,
3,T4,T4,Davis Love III,23,11,4.0,1.0,1.0
4,T4,T4,Kenny Perry,26,11,3.0,1.0,1.0
5,T6,T6,Chris DiMarco,27,10,,1.0,2.0
6,T6,T6,Jerry Kelly,30,10,,,1.0
7,T6,T6,Mike Weir,21,10,3.0,,4.0
8,T9,T9,Robert Allenby,24,9,,,1.0
9,T9,T9,Chad Campbell,27,9,1.0,3.0,
10,T9,T9,Steve Flesch,33,9,1.0,,
11,T9,T9,Fred Funk,33,9,,1.0,1.0
12,T9,T9,Retief Goosen,19,9,1.0,1.0,3.0
13,T14,T14,Brad Faxon,27,8,,3.0,1.0
14,T14,T14,Jay Haas,25,8,,2.0,
15,T14,T14,Jonathan Kaye,27,8,1.0,1.0,
16,T14,T14,Scott Verplank,26,8,,1.0,1.0
17,T18,T18,Briny Baird,33,7,,1.0,1.0
18,T18,T18,Ernie Els,17,7,2.0,,
19,T18,T18,Phil Mickelson,23,7,,,1.0
20,T18,T18,Geoff Ogilvy,26,7,,1.0,1.0
21,T18,T18,Chris Riley,29,7,,2.0,1.0
22,T18,T18,David Toms,26,7,2.0,1.0,
23,T18,T18,Bob Tway,26,7,1.0,2.0,1.0
24,T25,T25,K.J. Choi,32,6,,1.0,
25,T25,T25,Stewart Cink,28,6,,2.0,
26,T25,T25,Bob Estes,25,6,,1.0,1.0
27,T25,T25,Tim Herron,29,6,,2.0,2.0
28,T25,T25,Charles Howell III,31,6,,2.0,
29,T25,T25,J.L. Lewis,31,6,1.0,1.0,
30,T25,T25,Nick Price,17,6,,2.0,1.0
31,T32,T32,Stuart Appleby,27,5,1.0,3.0,
32,T32,T32,Jonathan Byrd,29,5,,1.0,
33,T32,T32,Darren Clarke,16,5,1.0,,
34,T32,T32,Rocco Mediate,24,5,,2.0,
35,T32,T32,Rod Pampling,27,5,,,1.0
36,T32,T32,Brenden Pappas,33,5,,1.0,1.0
37,T32,T32,John Rollins,27,5,,1.0,
38,T32,T32,Rory Sabbatini,27,5,1.0,,
39,T32,T32,Kirk Triplett,25,5,1.0,1.0,
40,T41,T41,Stephen Ames,27,4,,,
41,T41,T41,Woody Austin,31,4,,1.0,
42,T41,T41,Alex Cejka,30,4,,1.0,
43,T41,T41,Fred Couples,18,4,1.0,,
44,T41,T41,Joe Durant,28,4,,1.0,
45,T41,T41,Dan Forsman,27,4,,,
46,T41,T41,Harrison Frazar,27,4,,,1.0
47,T41,T41,Freddie Jacobson,8,4,,,1.0
48,T41,T41,Hank Kuehne,23,4,,1.0,1.0
49,T41,T41,Justin Leonard,23,4,1.0,1.0,
50,T41,T41,Shigeki Maruyama,28,4,1.0,,1.0
51,T41,T41,Shaun Micheel,28,4,1.0,,
52,T41,T41,Tom Pernice Jr.,31,4,,,1.0
53,T41,T41,Tim Petrovic,32,4,,1.0,1.0
54,T41,T41,Paul Stankowski,21,4,,,
55,T41,T41,Hal Sutton,24,4,,,1.0
56,T41,T41,Hidemichi Tanaka,30,4,,,
57,T58,T58,Billy Andrade,29,3,,,
58,T58,T58,Aaron Baddeley,20,3,,1.0,
59,T58,T58,Craig Barlow,29,3,,,
60,T58,T58,Mark Calcavecchia,24,3,,1.0,
61,T58,T58,Tim Clark,25,3,,,1.0
62,T58,T58,Ben Crane,27,3,1.0,,
63,T58,T58,Glen Day,31,3,,,
64,T58,T58,Matt Gogel,25,3,,,1.0
65,T58,T58,Padraig Harrington,11,3,,1.0,
66,T58,T58,Peter Jacobsen,22,3,1.0,,
67,T58,T58,Cliff Kresge,32,3,,,
68,T58,T58,Frank Lickliter II,30,3,1.0,1.0,
69,T58,T58,Peter Lonard,26,3,,,
70,T58,T58,Andrew Magee,26,3,,,
71,T58,T58,Billy Mayfair,31,3,,,
72,T58,T58,John Morgan,29,3,,,
73,T58,T58,Loren Roberts,24,3,,1.0,
74,T58,T58,Jeff Sluman,31,3,,,1.0
75,T58,T58,Kevin Sutherland,27,3,,,
76,T58,T58,Duffy Waldorf,25,3,,1.0,
77,T78,T78,Steve Allan,18,2,,1.0,
78,T78,T78,Rich Beem,26,2,,1.0,
79,T78,T78,Notah Begay III,30,2,,,
80,T78,T78,Jeff Brehaut,32,2,,,
81,T78,T78,Paul Casey,7,2,,,
82,T78,T78,Robert Damron,32,2,,,
