,Percentage_of_Available_Purse_Won_RANK THIS WEEK,Percentage_of_Available_Purse_Won_RANK LAST WEEK,Percentage_of_Available_Purse_Won_PLAYER NAME,Percentage_of_Available_Purse_Won_EVENTS,Percentage_of_Available_Purse_Won_%,Percentage_of_Available_Purse_Won_OFFICIAL MONEY WON,Percentage_of_Available_Purse_Won_TOTAL PURSE AVAILABLE
0,1,1,Tiger Woods,18,7.0,"$6,673,412","$95,383,110"
1,2,2,Vijay Singh,27,5.53,"$7,573,906","$137,083,110"
2,3,3,Davis Love III,23,5.08,"$6,081,895","$119,783,110"
3,4,4,Mike Weir,21,4.45,"$4,918,908","$110,483,110"
4,5,5,Ernie Els,17,3.72,"$3,371,237","$90,683,110"
5,6,6,Jim Furyk,27,3.7,"$5,182,863","$140,083,110"
6,7,7,Kenny Perry,26,3.3,"$4,400,120","$133,383,110"
7,8,8,Retief Goosen,19,3.16,"$3,166,372","$100,183,110"
8,9,9,Chad Campbell,27,2.9,"$3,912,063","$134,883,110"
9,10,10,David Toms,26,2.78,"$3,710,904","$133,583,110"
10,11,11,Nick Price,17,2.47,"$2,271,109","$92,083,110"
11,12,12,Darren Clarke,16,2.33,"$2,013,930","$86,383,110"
12,13,13,Adam Scott,14,2.28,"$1,744,236","$76,583,110"
13,14,14,Bob Tway,26,2.13,"$2,601,600","$122,300,000"
14,15,15,Justin Leonard,23,2.05,"$2,450,525","$119,383,110"
15,T16,T16,Jay Haas,25,2.0,"$2,563,542","$127,983,110"
16,T16,T16,Padraig Harrington,11,2.0,"$1,239,235","$61,883,110"
17,T18,T18,Fred Couples,18,1.95,"$1,820,493","$93,483,110"
18,T18,T18,Brad Faxon,27,1.95,"$2,718,444","$139,083,110"
19,T18,T18,Freddie Jacobson,8,1.95,"$853,591","$43,883,110"
20,21,21,Stuart Appleby,27,1.93,"$2,662,536","$137,983,110"
21,22,22,Jonathan Kaye,27,1.84,"$2,474,836","$134,583,110"
22,23,23,Thomas Bjørn,6,1.81,"$650,733","$35,883,110"
23,T24,T24,Robert Allenby,24,1.76,"$2,176,450","$123,483,110"
24,T24,T24,Scott Verplank,26,1.76,"$2,306,712","$131,183,110"
25,26,26,Chris DiMarco,27,1.71,"$2,350,630","$137,083,110"
26,27,27,Kirk Triplett,25,1.69,"$2,001,560","$118,600,000"
27,T28,T28,Charles Howell III,31,1.66,"$2,568,952","$155,083,110"
28,T28,T28,Stephen Leaney,9,1.66,"$842,360","$50,883,110"
29,30,30,Tim Herron,29,1.62,"$2,176,389","$134,400,000"
30,31,31,Rocco Mediate,24,1.54,"$1,832,656","$118,800,000"
31,32,32,Chris Riley,29,1.51,"$2,178,132","$144,483,110"
32,33,33,John Huston,23,1.47,"$1,565,118","$106,800,000"
33,34,34,Briny Baird,33,1.46,"$2,202,518","$151,100,000"
34,35,35,Bob Estes,25,1.45,"$1,824,413","$125,483,110"
35,36,36,Jerry Kelly,30,1.43,"$2,158,340","$150,883,110"
36,T37,T37,Ben Curtis,21,1.42,"$1,434,910","$101,283,110"
37,T37,T37,Steve Flesch,33,1.42,"$2,269,628","$159,783,110"
38,39,39,Phil Mickelson,23,1.41,"$1,623,135","$114,783,110"
39,T40,T40,J.L. Lewis,31,1.38,"$2,039,258","$148,283,110"
40,T40,T40,Shaun Micheel,28,1.38,"$1,826,998","$132,400,000"
41,T42,T42,Stewart Cink,28,1.34,"$1,781,882","$132,783,110"
42,T42,T42,Scott Hoch,17,1.34,"$1,198,249","$89,600,000"
43,44,44,Fred Funk,33,1.31,"$2,144,652","$163,483,110"
44,45,45,Craig Stadler,10,1.26,"$584,830","$46,600,000"
45,46,46,K.J. Choi,32,1.25,"$1,999,661","$160,083,110"
46,T47,T47,Shigeki Maruyama,28,1.24,"$1,669,290","$134,083,110"
47,T47,T47,Rory Sabbatini,27,1.24,"$1,604,699","$129,383,110"
48,49,49,Geoff Ogilvy,26,1.21,"$1,477,246","$122,300,000"
49,50,50,John Rollins,27,1.2,"$1,612,313","$134,583,110"
50,51,51,Justin Rose,11,1.18,"$744,528","$62,883,110"
51,52,52,Tim Petrovic,32,1.17,"$1,739,347","$148,200,000"
52,53,53,Peter Jacobsen,22,1.14,"$1,162,725","$101,900,000"
53,54,54,Brian Davis,4,1.13,"$270,111","$23,883,110"
54,55,55,Ben Crane,27,1.12,"$1,419,069","$126,783,110"
55,T56,T56,Woody Austin,31,1.11,"$1,518,705","$137,400,000"
56,T56,T56,Aaron Baddeley,20,1.11,"$989,168","$89,000,000"
57,58,58,Chris Downes,1,1.1,"$32,910","$3,000,000"
58,59,59,Loren Roberts,24,1.09,"$1,297,737","$119,200,000"
59,60,60,Robert Gamez,31,1.08,"$1,519,802","$141,000,000"
60,61,61,Jeff Sluman,31,1.06,"$1,609,745","$151,983,110"
61,62,62,Duffy Waldorf,25,1.04,"$1,206,003","$115,883,110"
62,T63,T63,Tim Clark,25,1.02,"$1,253,690","$123,400,000"
63,T63,T63,Gary Evans,2,1.02,"$121,412","$11,883,110"
64,T65,T65,Jonathan Byrd,29,1.01,"$1,430,534","$141,000,000"
65,T65,T65,Peter Lonard,26,1.01,"$1,323,590","$131,583,110"
66,67,67,Frank Lickliter II,30,0.99,"$1,340,433","$135,500,000"
67,68,68,Tom Lehman,25,0.98,"$1,173,235","$119,183,110"
68,T69,T69,Mark Calcavecchia,24,0.97,"$1,121,069","$115,283,110"
69,T69,T69,Scott McCarron,27,0.97,"$1,250,848","$129,583,110"
70,71,71,Tommy Armour III,23,0.94,"$932,983","$99,100,000"
71,T72,T72,Dan Forsman,27,0.92,"$1,140,207","$124,400,000"
72,T72,T72,Lee Janzen,25,0.92,"$1,131,999","$122,883,110"
73,T74,T74,Hennie Otto,3,0.91,"$162,592","$17,883,110"
74,T74,T74,Brenden Pappas,33,0.91,"$1,307,806","$143,500,000"
75,76,76,Len Mattiace,27,0.9,"$1,221,475","$135,983,110"
76,T77,T77,Paul Casey,7,0.89,"$363,450","$40,883,110"
77,T77,T77,Peter Fowler,1,0.89,"$52,324","$5,883,110"
78,79,79,Joe Durant,28,0.87,"$1,119,000","$129,283,110"
79,T80,T80,Niclas Fasth,14,0.86,"$639,981","$74,383,110"
80,T80,T80,Toshi Izawa,6,0.86,"$296,000","$34,500,000"
81,T80,T80,Kevin Sutherland,27,0.86,"$1,092,916","$126,900,000"
82,T83,T83,Rod Pampling,27,0.84,"$1,064,972","$127,200,000"
83,T83,T83,Tom Pernice Jr.,31,0.84,"$1,210,541","$144,200,000"
84,T83,T83,Hal Sutton,24,0.84,"$939,719","$111,483,110"
85,86,86,Alex Cejka,30,0.83,"$1,182,881","$141,700,000"
86,T87,T87,Steve Allan,18,0.82,"$616,325","$75,200,000"
87,T87,T87,Hank Kuehne,23,0.82,"$872,139","$106,000,000"
88,T87,T87,Carl Pettersson,26,0.82,"$977,075","$119,500,000"
89,90,90,Stephen Ames,27,0.8,"$1,005,956","$125,100,000"
90,91,91,Matt Gogel,25,0.79,"$897,410","$113,300,000"
91,T92,T92,Brent Geiberger,16,0.78,"$588,531","$75,700,000"
92,T92,T92,Hidemichi Tanaka,30,0.78,"$1,024,677","$131,900,000"
93,T94,T94,Dennis Paulson,15,0.77,"$452,647","$58,700,000"
94,T94,T94,Paul Stankowski,21,0.77,"$719,435","$93,700,000"
95,96,96,Rich Beem,26,0.76,"$1,013,949","$132,883,110"
96,97,97,Skip Kendall,30,0.74,"$1,022,238","$137,783,110"
97,T98,T98,Russ Cochran,4,0.71,"$103,400","$14,500,000"
98,T98,T98,Nick Faldo,7,0.71,"$283,383","$39,883,110"
