,Percentage_of_potential_money_won_RANK THIS WEEK,Percentage_of_potential_money_won_RANK LAST WEEK,Percentage_of_potential_money_won_PLAYER NAME,Percentage_of_potential_money_won_EVENTS,Percentage_of_potential_money_won_%,Percentage_of_potential_money_won_OFFICIAL MONEY WON,Percentage_of_potential_money_won_POTENTIAL MONEY
0,1,1,Tiger Woods,18,38.95,"$6,673,412","$17,132,720"
1,2,2,Vijay Singh,27,30.58,"$7,573,907","$24,768,720"
2,3,3,Davis Love III,23,28.26,"$6,081,896","$21,524,720"
3,4,4,Mike Weir,21,24.78,"$4,918,909","$19,850,720"
4,5,5,Ernie Els,17,20.57,"$3,371,237","$16,386,720"
5,6,6,Jim Furyk,27,20.5,"$5,182,864","$25,278,720"
6,7,7,Kenny Perry,26,18.35,"$4,400,122","$23,972,720"
7,8,8,Retief Goosen,19,17.5,"$3,166,373","$18,096,720"
8,9,9,Chad Campbell,27,16.12,"$3,912,063","$24,272,720"
9,10,10,David Toms,26,15.46,"$3,710,904","$24,008,720"
10,11,11,Nick Price,17,13.65,"$2,271,110","$16,638,720"
11,12,12,Darren Clarke,16,12.98,"$2,013,931","$15,512,720"
12,13,13,Adam Scott,14,12.69,"$1,744,236","$13,748,720"
13,14,14,Bob Tway,26,11.83,"$2,601,600","$21,984,000"
14,15,15,Justin Leonard,23,11.35,"$2,450,525","$21,582,720"
15,16,16,Padraig Harrington,11,11.16,"$1,239,235","$11,102,720"
16,17,17,Jay Haas,25,11.15,"$2,563,544","$23,000,720"
17,18,18,Brad Faxon,27,10.87,"$2,718,445","$24,998,720"
18,19,19,Fred Couples,18,10.82,"$1,820,494","$16,820,720"
19,20,20,Freddie Jacobson,8,10.81,"$853,592","$7,892,720"
20,21,21,Stuart Appleby,27,10.74,"$2,662,537","$24,800,720"
21,22,22,Jonathan Kaye,27,10.22,"$2,474,837","$24,218,720"
22,23,23,Thomas Bjørn,6,10.13,"$650,733","$6,422,720"
23,24,24,Robert Allenby,24,9.81,"$2,176,452","$22,190,720"
24,25,25,Scott Verplank,26,9.78,"$2,306,714","$23,576,720"
25,26,26,Chris DiMarco,27,9.5,"$2,350,630","$24,738,720"
26,27,27,Kirk Triplett,25,9.39,"$2,001,560","$21,318,000"
27,28,28,Stephen Leaney,9,9.2,"$842,360","$9,152,720"
28,29,29,Charles Howell III,31,9.18,"$2,568,954","$27,978,720"
29,30,30,Tim Herron,29,9.01,"$2,176,389","$24,162,000"
30,31,31,Rocco Mediate,24,8.57,"$1,832,656","$21,394,000"
31,32,32,Chris Riley,29,8.35,"$2,178,133","$26,070,720"
32,33,33,John Huston,23,8.15,"$1,565,118","$19,194,000"
33,34,34,Briny Baird,33,8.1,"$2,202,518","$27,198,000"
34,35,35,Bob Estes,25,8.05,"$1,824,414","$22,650,720"
35,36,36,Jerry Kelly,30,7.93,"$2,158,341","$27,222,720"
36,37,37,Steve Flesch,33,7.89,"$2,269,629","$28,754,720"
37,T38,T38,Ben Curtis,21,7.87,"$1,434,910","$18,224,720"
38,T38,T38,Phil Mickelson,23,7.87,"$1,623,137","$20,624,720"
39,40,40,Shaun Micheel,28,7.69,"$1,827,000","$23,772,000"
40,41,41,J.L. Lewis,31,7.63,"$2,039,259","$26,714,720"
41,42,42,Scott Hoch,17,7.47,"$1,198,249","$16,038,000"
42,43,43,Stewart Cink,28,7.45,"$1,781,885","$23,924,720"
43,44,44,Fred Funk,33,7.3,"$2,144,652","$29,390,720"
44,45,45,Craig Stadler,10,6.97,"$584,830","$8,388,000"
45,46,46,K.J. Choi,32,6.92,"$1,999,663","$28,878,720"
46,T47,T47,Shigeki Maruyama,28,6.88,"$1,669,291","$24,258,720"
47,T47,T47,Rory Sabbatini,27,6.88,"$1,604,700","$23,312,720"
48,49,49,Geoff Ogilvy,26,6.71,"$1,477,246","$22,014,000"
49,50,50,John Rollins,27,6.62,"$1,612,314","$24,348,720"
50,51,51,Justin Rose,11,6.6,"$744,528","$11,282,720"
51,52,52,Tim Petrovic,32,6.52,"$1,739,348","$26,676,000"
52,53,53,Peter Jacobsen,22,6.35,"$1,162,726","$18,312,000"
53,54,54,Brian Davis,4,6.25,"$270,111","$4,322,720"
54,55,55,Ben Crane,27,6.21,"$1,419,069","$22,844,720"
55,56,56,Aaron Baddeley,20,6.17,"$989,168","$16,020,000"
56,57,57,Woody Austin,31,6.14,"$1,518,706","$24,732,000"
57,58,58,Chris Downes,1,6.09,"$32,910","$540,000"
58,59,59,Loren Roberts,24,6.04,"$1,297,739","$21,496,000"
59,60,60,Robert Gamez,31,5.99,"$1,519,803","$25,380,000"
60,61,61,Jeff Sluman,31,5.86,"$1,609,748","$27,450,720"
61,62,62,Duffy Waldorf,25,5.77,"$1,206,004","$20,912,720"
62,63,63,Tim Clark,25,5.66,"$1,253,690","$22,152,000"
63,64,64,Jonathan Byrd,29,5.62,"$1,430,538","$25,450,000"
64,65,65,Peter Lonard,26,5.6,"$1,323,593","$23,648,720"
65,66,66,Gary Evans,2,5.54,"$121,412","$2,192,720"
66,67,67,Frank Lickliter II,30,5.5,"$1,340,435","$24,390,000"
67,68,68,Tom Lehman,25,5.46,"$1,173,237","$21,476,720"
68,69,69,Mark Calcavecchia,24,5.4,"$1,121,069","$20,774,720"
69,70,70,Scott McCarron,27,5.36,"$1,250,849","$23,348,720"
70,71,71,Tommy Armour III,23,5.23,"$932,984","$17,838,000"
71,72,72,Lee Janzen,25,5.11,"$1,132,000","$22,172,720"
72,73,73,Dan Forsman,27,5.08,"$1,140,209","$22,462,000"
73,T74,T74,Hennie Otto,3,5.06,"$162,592","$3,212,720"
74,T74,T74,Brenden Pappas,33,5.06,"$1,307,808","$25,830,000"
75,76,76,Len Mattiace,27,4.98,"$1,221,476","$24,540,720"
76,77,77,Paul Casey,7,4.96,"$363,450","$7,322,720"
77,78,78,Toshi Izawa,6,4.84,"$296,000","$6,120,000"
78,79,79,Joe Durant,28,4.8,"$1,119,001","$23,324,720"
79,80,80,Niclas Fasth,14,4.79,"$639,982","$13,352,720"
80,81,81,Kevin Sutherland,27,4.77,"$1,092,918","$22,912,000"
81,82,82,Peter Fowler,1,4.7,"$52,324","$1,112,720"
82,83,83,Hal Sutton,24,4.68,"$939,719","$20,090,720"
83,84,84,Tom Pernice Jr.,31,4.66,"$1,210,541","$25,956,000"
84,T85,T85,Alex Cejka,30,4.65,"$1,182,882","$25,416,000"
85,T85,T85,Rod Pampling,27,4.65,"$1,064,974","$22,896,000"
86,87,87,Hank Kuehne,23,4.57,"$872,139","$19,080,000"
87,88,88,Steve Allan,18,4.56,"$616,325","$13,506,000"
88,89,89,Carl Pettersson,26,4.55,"$977,075","$21,480,000"
89,90,90,Stephen Ames,27,4.47,"$1,005,959","$22,518,000"
90,91,91,Matt Gogel,25,4.38,"$897,410","$20,494,000"
91,T92,T92,Brent Geiberger,16,4.32,"$588,532","$13,626,000"
92,T92,T92,Hidemichi Tanaka,30,4.32,"$1,024,678","$23,742,000"
93,94,94,Dennis Paulson,15,4.28,"$452,648","$10,566,000"
94,95,95,Paul Stankowski,21,4.27,"$719,435","$16,866,000"
95,96,96,Rich Beem,26,4.23,"$1,013,950","$23,982,720"
96,97,97,Skip Kendall,30,4.11,"$1,022,244","$24,854,720"
97,98,98,Russ Cochran,4,3.96,"$103,400","$2,610,000"
98,99,99,Nick Faldo,7,3.93,"$283,383","$7,202,720"
99,100,100,Steve Lowery,29,3.87,"$932,293","$24,090,000"
100,101,101,Brandt Jobe,22,3.82,"$691,603","$18,090,000"
101,102,102,Jeff Maggert,24,3.76,"$747,165","$19,890,000"
102,T103,T103,S.K. Ho,1,3.71,"$41,329","$1,112,720"
103,T103,T103,Andy Oldcorn,1,3.71,"$41,329","$1,112,720"
104,105,105,Paul Goydos,25,3.7,"$734,283","$19,872,000"
105,106,106,Harrison Frazar,27,3.67,"$776,876","$21,168,000"
106,107,107,Paul Lawrie,7,3.64,"$255,973","$7,022,720"
107,108,108,Brett Quigley,27,3.6,"$786,293","$21,816,000"
108,109,109,Sergio Garcia,20,3.55,"$666,386","$18,780,720"
109,110,110,David Gossett,28,3.51,"$769,839","$21,906,000"
110,111,111,Mathias Grönberg,4,3.44,"$128,013","$3,722,720"
111,112,112,Phil Tataurangi,11,3.39,"$354,083","$10,438,000"
112,113,113,Phillip Price,9,3.29,"$280,551","$8,522,720"
113,114,114,Billy Mayfair,31,3.27,"$842,185","$25,740,000"
114,115,115,Heath Slocum,32,3.24,"$815,811","$25,182,000"
115,116,116,José María Olazábal,16,3.22,"$479,155","$14,862,720"
116,117,117,Arron Oberholser,25,3.19,"$619,865","$19,422,000"
117,118,118,Pierre Fulke,3,3.18,"$103,045","$3,242,720"
118,119,119,Glen Day,31,3.16,"$788,557","$24,966,000"
119,120,120,Mark Foster,2,3.15,"$68,204","$2,162,720"
120,121,121,Kent Jones,23,3.13,"$539,737","$17,226,000"
121,122,122,Luke Donald,27,3.12,"$705,121","$22,632,720"
122,123,123,Arjun Atwal,1,3.1,"$32,500","$1,050,000"
123,124,124,David Frost,26,2.98,"$583,177","$19,584,000"
124,125,125,Bernhard Langer,21,2.97,"$555,981","$18,746,720"
125,126,126,Taichi Teshima,1,2.96,"$31,083","$1,050,000"
126,127,127,Joey Sindelar,29,2.94,"$691,328","$23,508,000"
127,128,128,Dean Wilson,27,2.93,"$654,345","$22,356,000"
128,129,129,Cameron Beckman,26,2.91,"$608,981","$20,898,000"
129,130,130,David Peoples,30,2.89,"$674,222","$23,292,000"
130,131,131,Dicky Pride,23,2.84,"$483,923","$17,010,000"
131,132,132,Mario Tiziani,1,2.82,"$17,780","$630,000"
132,133,133,Cliff Kresge,32,2.79,"$734,667","$26,312,720"
133,134,134,Ángel Cabrera,14,2.78,"$372,252","$13,382,720"
134,135,135,J.P. Hayes,25,2.77,"$585,330","$21,106,000"
135,T136,T136,Craig Barlow,29,2.76,"$638,721","$23,166,000"
136,T136,T136,Carlos Franco,30,2.76,"$672,022","$24,336,000"
137,138,138,Andrew Magee,26,2.73,"$578,558","$21,222,000"
138,T139,T139,Billy Andrade,29,2.71,"$659,693","$24,336,000"
