,Career_Money_Leaders_RANK THIS WEEK,Career_Money_Leaders_RANK LAST WEEK,Career_Money_Leaders_PLAYER NAME,Career_Money_Leaders_MONEY
0,1,1,Tiger Woods,"$39,777,265"
1,2,2,Davis Love III,"$26,132,746"
2,3,3,Vijay Singh,"$25,854,923"
3,4,4,Phil Mickelson,"$23,773,106"
4,5,5,Jim Furyk,"$19,039,707"
5,6,6,Nick Price,"$18,919,447"
6,7,7,Ernie Els,"$18,679,767"
7,8,8,Scott Hoch,"$17,216,624"
8,9,9,David Toms,"$16,585,384"
9,10,10,David Duval,"$16,235,305"
10,11,11,Justin Leonard,"$16,108,759"
11,12,12,Mark Calcavecchia,"$15,694,587"
12,13,13,Fred Couples,"$15,148,465"
13,14,14,Hal Sutton,"$15,145,667"
14,15,15,Jeff Sluman,"$14,494,507"
15,16,16,Brad Faxon,"$14,310,795"
16,17,17,Tom Lehman,"$14,130,264"
17,18,18,Kenny Perry,"$13,957,135"
18,19,19,Greg Norman,"$13,931,929"
19,20,20,Mark O'Meara,"$13,143,679"
20,21,21,Loren Roberts,"$13,083,271"
21,22,22,Fred Funk,"$12,915,575"
22,23,23,Mike Weir,"$12,845,208"
23,24,24,Paul Azinger,"$12,680,533"
24,25,25,Bob Estes,"$12,240,269"
25,26,26,Bob Tway,"$12,150,383"
26,27,27,John Huston,"$12,131,701"
27,28,28,Payne Stewart,"$11,737,008"
28,29,29,Jay Haas,"$11,720,183"
29,30,30,Scott Verplank,"$11,281,259"
30,31,31,Lee Janzen,"$11,263,976"
31,32,32,Rocco Mediate,"$11,104,130"
32,33,33,John Cook,"$11,084,705"
33,34,34,Tom Kite,"$10,920,309"
34,35,35,Jeff Maggert,"$10,753,185"
35,36,36,Chris DiMarco,"$10,637,535"
36,37,37,Stuart Appleby,"$10,284,272"
37,38,38,Kirk Triplett,"$10,284,090"
38,39,39,Corey Pavin,"$10,257,093"
39,40,40,Steve Elkington,"$10,018,932"
40,41,41,Billy Mayfair,"$9,980,493"
41,42,42,Tom Watson,"$9,881,778"
42,43,43,Jesper Parnevik,"$9,846,860"
43,44,44,Stewart Cink,"$9,654,318"
44,45,45,Craig Stadler,"$9,593,493"
45,46,46,Steve Lowery,"$9,350,137"
46,47,47,Robert Allenby,"$9,253,571"
47,48,48,Jerry Kelly,"$8,831,176"
48,49,49,Billy Andrade,"$8,808,559"
49,50,50,Duffy Waldorf,"$8,695,756"
50,51,51,David Frost,"$8,584,414"
51,52,52,Mark Brooks,"$8,123,182"
52,53,53,Steve Flesch,"$8,024,835"
53,54,54,Tim Herron,"$7,961,913"
54,55,55,Andrew Magee,"$7,959,025"
55,56,56,Sergio Garcia,"$7,806,269"
56,57,57,Steve Pate,"$7,806,237"
57,58,58,Dan Forsman,"$7,686,555"
58,59,59,Scott McCarron,"$7,656,128"
