,Total_Money_Official_and_Unofficial_RANK THIS WEEK,Total_Money_Official_and_Unofficial_RANK LAST WEEK,Total_Money_Official_and_Unofficial_PLAYER NAME,Total_Money_Official_and_Unofficial_EVENTS,Total_Money_Official_and_Unofficial_MONEY
0,1,1,Vijay Singh,29,"$7,778,907"
1,2,2,Tiger Woods,20,"$7,373,413"
2,3,3,Davis Love III,25,"$7,281,896"
3,4,4,Jim Furyk,29,"$5,250,365"
4,5,5,Mike Weir,23,"$5,236,410"
5,6,6,Kenny Perry,29,"$4,632,622"
6,7,7,Chad Campbell,28,"$4,054,564"
7,8,8,David Toms,27,"$3,710,905"
8,9,9,Ernie Els,18,"$3,371,237"
9,10,10,Retief Goosen,20,"$3,166,373"
10,11,11,Brad Faxon,28,"$2,860,945"
11,12,16,Justin Leonard,26,"$2,835,525"
12,13,15,Jay Haas,27,"$2,728,545"
13,14,12,Stuart Appleby,29,"$2,686,538"
14,15,18,Fred Couples,20,"$2,610,495"
15,16,13,Bob Tway,26,"$2,601,600"
16,17,14,Charles Howell III,32,"$2,568,955"
17,18,19,Chris DiMarco,29,"$2,528,130"
18,19,17,Jonathan Kaye,27,"$2,474,837"
19,20,22,Nick Price,19,"$2,448,611"
20,21,27,Robert Allenby,26,"$2,371,452"
21,22,20,Scott Verplank,26,"$2,306,714"
22,23,21,Rory Sabbatini,28,"$2,304,701"
23,24,23,Steve Flesch,33,"$2,269,630"
24,25,31,K.J. Choi,35,"$2,260,497"
25,26,24,Fred Funk,35,"$2,215,903"
26,27,25,Briny Baird,33,"$2,202,519"
27,28,26,Chris Riley,29,"$2,178,133"
28,29,28,Tim Herron,29,"$2,176,390"
29,30,32,Darren Clarke,17,"$2,163,931"
30,31,29,Jerry Kelly,31,"$2,158,342"
31,32,34,Shaun Micheel,30,"$2,139,500"
32,33,30,J.L. Lewis,31,"$2,039,259"
33,34,33,Kirk Triplett,25,"$2,001,561"
34,35,35,Rocco Mediate,25,"$1,907,656"
35,36,36,Jeff Sluman,32,"$1,884,748"
36,37,37,Bob Estes,25,"$1,824,414"
37,38,55,Padraig Harrington,13,"$1,806,735"
38,39,38,Phil Mickelson,25,"$1,793,137"
39,40,39,Stewart Cink,28,"$1,781,885"
40,41,40,Adam Scott,15,"$1,744,236"
41,42,41,Tim Petrovic,32,"$1,739,349"
