,Official_Money_RANK THIS WEEK,Official_Money_RANK LAST WEEK,Official_Money_PLAYER NAME,Official_Money_EVENTS,Official_Money_MONEY,Official_Money_YTD VICTORIES
0,1,1,Vijay Singh,27,"$7,573,907",4.0
1,2,2,Tiger Woods,18,"$6,673,413",5.0
2,3,3,Davis Love III,23,"$6,081,896",4.0
3,4,4,Jim Furyk,27,"$5,182,865",2.0
4,5,5,Mike Weir,21,"$4,918,910",3.0
5,6,6,Kenny Perry,26,"$4,400,122",3.0
6,7,7,Chad Campbell,27,"$3,912,064",1.0
7,8,8,David Toms,26,"$3,710,905",2.0
8,9,9,Ernie Els,17,"$3,371,237",2.0
9,10,10,Retief Goosen,19,"$3,166,373",1.0
10,11,11,Brad Faxon,27,"$2,718,445",
11,12,12,Stuart Appleby,27,"$2,662,538",1.0
12,13,13,Bob Tway,26,"$2,601,600",1.0
13,14,14,Charles Howell III,31,"$2,568,955",
14,15,15,Jay Haas,25,"$2,563,545",
15,16,16,Jonathan Kaye,27,"$2,474,837",1.0
16,17,17,Justin Leonard,23,"$2,450,525",1.0
17,18,18,Chris DiMarco,27,"$2,350,630",
18,19,19,Scott Verplank,26,"$2,306,714",
19,20,20,Nick Price,17,"$2,271,111",
20,21,21,Steve Flesch,33,"$2,269,630",1.0
21,22,22,Briny Baird,33,"$2,202,519",
22,23,23,Chris Riley,29,"$2,178,133",
23,24,24,Robert Allenby,24,"$2,176,452",
24,25,25,Tim Herron,29,"$2,176,390",
25,26,26,Jerry Kelly,30,"$2,158,342",
26,27,27,Fred Funk,33,"$2,144,653",
27,28,28,J.L. Lewis,31,"$2,039,259",1.0
28,29,29,Kirk Triplett,25,"$2,001,561",1.0
29,30,30,K.J. Choi,32,"$1,999,663",
30,31,31,Rocco Mediate,24,"$1,832,656",
31,32,32,Shaun Micheel,28,"$1,827,000",1.0
32,33,33,Bob Estes,25,"$1,824,414",
33,34,34,Fred Couples,18,"$1,820,495",1.0
34,35,35,Stewart Cink,28,"$1,781,885",
35,36,36,Tim Petrovic,32,"$1,739,349",
36,37,37,Shigeki Maruyama,28,"$1,669,292",1.0
37,38,38,Phil Mickelson,23,"$1,623,137",
38,39,39,John Rollins,27,"$1,612,314",
39,40,40,Jeff Sluman,31,"$1,609,748",
40,41,41,Rory Sabbatini,27,"$1,604,701",1.0
41,42,42,John Huston,23,"$1,565,119",1.0
42,43,43,Robert Gamez,31,"$1,519,804",
43,44,44,Woody Austin,31,"$1,518,707",
44,45,45,Geoff Ogilvy,26,"$1,477,246",
45,46,46,Ben Curtis,21,"$1,434,911",1.0
46,47,47,Jonathan Byrd,29,"$1,430,538",
47,48,48,Ben Crane,27,"$1,419,070",1.0
48,49,49,Frank Lickliter II,30,"$1,340,436",1.0
49,50,50,Peter Lonard,26,"$1,323,594",
50,51,51,Brenden Pappas,33,"$1,307,809",
51,52,52,Loren Roberts,24,"$1,297,739",
52,53,53,Tim Clark,25,"$1,253,690",
53,54,54,Scott McCarron,27,"$1,250,849",
