,Tenth_Tee_Early_Round_3_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Round_3_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Round_3_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Round_3_Scoring_Average_AVG,Tenth_Tee_Early_Round_3_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Round_3_Scoring_Average_TOTAL ROUNDS
0,1,1,Justin Thomas,62.0,62,1
1,2,2,Dustin Johnson,64.0,64,1
2,T3,T3,J.B. Holmes,65.0,65,1
3,T3,T3,Brooks Koepka,65.0,65,1
4,T3,T3,Kyle Stanley,65.0,65,1
5,6,6,William McGirt,65.5,131,2
6,T7,T7,Brian Harman,66.0,66,1
7,T7,T7,D.A. Points,66.0,66,1
8,T7,T7,Jordan Spieth,66.0,132,2
9,T10,T10,Tom Hoge,66.5,133,2
10,T10,T10,Kevin Kisner,66.5,133,2
11,T12,T12,Austin Cook,67.0,335,5
12,T12,T12,Bryson DeChambeau,67.0,201,3
13,T12,T12,Harris English,67.0,67,1
14,T12,T12,Cameron Percy,67.0,67,1
15,T16,T16,Tyler Duncan,67.33,202,3
16,T16,T16,Nick Taylor,67.33,202,3
17,T18,T18,Billy Hurley III,67.5,135,2
18,T18,T18,Andrew Landry,67.5,135,2
19,20,20,Brice Garnett,67.8,339,5
20,21,21,Chez Reavie,67.83,407,6
21,T22,T22,Byeong Hun An,68.0,136,2
22,T22,T22,Ricky Barnes,68.0,68,1
23,T22,T22,Dominic Bozzelli,68.0,136,2
24,T22,T22,Scott Brown,68.0,68,1
25,T22,T22,Stewart Cink,68.0,68,1
26,T22,T22,Tony Finau,68.0,136,2
27,T22,T22,Tommy Fleetwood,68.0,136,2
28,T22,T22,Charley Hoffman,68.0,68,1
29,T22,T22,Mackenzie Hughes,68.0,68,1
30,T22,T22,Zach Johnson,68.0,68,1
31,T22,T22,Matt Jones,68.0,68,1
32,T22,T22,Nicholas Lindheim,68.0,204,3
33,T22,T22,Ryan Moore,68.0,68,1
34,T22,T22,J.T. Poston,68.0,68,1
35,T22,T22,"Ted Potter, Jr.",68.0,136,2
36,T22,T22,Webb Simpson,68.0,136,2
37,38,38,Kevin Na,68.33,205,3
38,T39,T39,Bronson Burgoon,68.5,137,2
39,T39,T39,Derek Fathauer,68.5,137,2
40,T39,T39,Matt Kuchar,68.5,137,2
41,T39,T39,Alex Noren,68.5,137,2
42,T39,T39,Brendan Steele,68.5,137,2
43,T44,T44,Aaron Baddeley,69.0,138,2
44,T44,T44,Paul Casey,69.0,276,4
45,T44,T44,Matt Every,69.0,138,2
46,T44,T44,Martin Flores,69.0,138,2
47,T44,T44,Adam Hadwin,69.0,345,5
48,T44,T44,Tyrrell Hatton,69.0,69,1
49,T44,T44,Charles Howell III,69.0,207,3
50,T44,T44,Denny McCarthy,69.0,138,2
51,T44,T44,Trey Mullinax,69.0,69,1
52,T44,T44,Pat Perez,69.0,69,1
53,T44,T44,Jonathan Randolph,69.0,69,1
54,T44,T44,Cameron Tringale,69.0,207,3
55,T44,T44,Peter Uihlein,69.0,69,1
56,T44,T44,Nick Watney,69.0,69,1
57,T44,T44,Xinjun Zhang,69.0,207,3
58,59,59,Scott Piercy,69.25,277,4
59,60,60,John Huh,69.33,208,3
60,T61,T61,Corey Conners,69.4,347,5
61,T61,T61,Jason Kokrak,69.4,347,5
62,T63,T63,Rafa Cabrera Bello,69.5,139,2
63,T63,T63,Greg Chalmers,69.5,139,2
64,T63,T63,Talor Gooch,69.5,139,2
65,T63,T63,Lanto Griffin,69.5,278,4
66,T63,T63,Rob Oppenheim,69.5,278,4
67,T63,T63,J.J. Spaun,69.5,139,2
68,T63,T63,Gary Woodland,69.5,139,2
69,T70,T70,Blayne Barber,69.67,209,3
70,T70,T70,Kevin Chappell,69.67,209,3
71,T70,T70,James Hahn,69.67,209,3
72,T70,T70,J.J. Henry,69.67,209,3
73,74,74,Tyrone Van Aswegen,69.71,488,7
74,75,75,Russell Knox,69.75,279,4
75,76,76,Brian Stuard,69.8,349,5
76,T77,T77,Matt Atkins,70.0,140,2
77,T77,T77,Zac Blair,70.0,140,2
78,T77,T77,Keegan Bradley,70.0,70,1
79,T77,T77,Brian Gay,70.0,210,3
80,T77,T77,Branden Grace,70.0,280,4
81,T77,T77,Hunter Mahan,70.0,70,1
82,T77,T77,Troy Merritt,70.0,140,2
83,T77,T77,C.T. Pan,70.0,70,1
84,T77,T77,Martin Piller,70.0,140,2
85,T77,T77,Patrick Rodgers,70.0,210,3
86,T77,T77,Rory Sabbatini,70.0,350,5
87,T77,T77,Kevin Streelman,70.0,280,4
88,T77,T77,Vaughn Taylor,70.0,140,2
89,T77,T77,Ethan Tracy,70.0,210,3
90,T77,T77,Bubba Watson,70.0,70,1
91,92,92,Fabián Gómez,70.33,211,3
92,93,93,Jason Day,70.5,141,2
93,94,94,Jhonattan Vegas,70.6,353,5
94,95,95,Richy Werenski,70.67,212,3
95,T96,T96,Chad Campbell,71.0,213,3
96,T96,T96,Jim Furyk,71.0,71,1
97,T96,T96,Chesson Hadley,71.0,71,1
98,T96,T96,Satoshi Kodaira,71.0,142,2
99,T96,T96,David Lingmerth,71.0,213,3
100,T96,T96,Luke List,71.0,71,1
101,T96,T96,Ian Poulter,71.0,142,2
102,T96,T96,Robert Streb,71.0,71,1
103,T96,T96,Kevin Tway,71.0,142,2
104,105,105,Abraham Ancer,71.25,285,4
105,106,106,Jonathan Byrd,71.29,499,7
106,T107,T107,Chris Kirk,71.5,572,8
107,T107,T107,Tom Lovelady,71.5,143,2
108,T107,T107,Ben Martin,71.5,286,4
109,T107,T107,Brett Stegmaier,71.5,143,2
110,T107,T107,Johnson Wagner,71.5,143,2
111,T112,T112,Billy Horschel,71.67,215,3
112,T112,T112,Stephan Jaeger,71.67,215,3
113,T112,T112,Seamus Power,71.67,215,3
114,T112,T112,Ben Silverman,71.67,430,6
115,T112,T112,Jimmy Walker,71.67,215,3
116,T117,T117,Ben Crane,71.75,287,4
117,T117,T117,Russell Henley,71.75,287,4
118,119,119,Andrew Putnam,71.8,359,5
119,T120,T120,Patrick Cantlay,72.0,72,1
120,T120,T120,Jason Dufner,72.0,144,2
121,T120,T120,Retief Goosen,72.0,216,3
122,T120,T120,Sung Kang,72.0,288,4
123,T120,T120,Marc Leishman,72.0,72,1
124,T120,T120,Jamie Lovemark,72.0,72,1
125,T120,T120,Francesco Molinari,72.0,144,2
126,T120,T120,Patrick Reed,72.0,72,1
127,T120,T120,Ollie Schniederjans,72.0,72,1
128,T120,T120,Aaron Wise,72.0,144,2
129,130,130,Ryan Armour,72.33,217,3
130,131,131,Adam Schenk,72.4,362,5
131,T132,T132,Cody Gribble,72.5,145,2
132,T132,T132,Keith Mitchell,72.5,145,2
133,T132,T132,Daniel Summerhays,72.5,290,4
134,T132,T132,Steve Wheatcroft,72.5,145,2
135,T136,T136,Robert Garrigus,72.67,218,3
136,T136,T136,Emiliano Grillo,72.67,218,3
137,T136,T136,Graeme McDowell,72.67,218,3
138,T139,T139,Kelly Kraft,73.0,146,2
139,T139,T139,Anirban Lahiri,73.0,73,1
140,T139,T139,Peter Malnati,73.0,73,1
141,T139,T139,Hideki Matsuyama,73.0,73,1
142,T139,T139,Justin Rose,73.0,73,1
143,T139,T139,Charl Schwartzel,73.0,73,1
144,T139,T139,Brandt Snedeker,73.0,146,2
145,T139,T139,Scott Stallings,73.0,146,2
146,T147,T147,Lucas Glover,73.5,294,4
147,T147,T147,Sean O'Hair,73.5,147,2
148,149,149,Roberto Díaz,73.67,221,3
149,150,150,Harold Varner III,73.75,295,4
150,T151,T151,Whee Kim,74.0,222,3
151,T151,T151,Si Woo Kim,74.0,148,2
152,T151,T151,Danny Lee,74.0,222,3
153,T151,T151,Phil Mickelson,74.0,74,1
154,T151,T151,Ryan Palmer,74.0,74,1
155,T151,T151,Adam Scott,74.0,74,1
156,157,157,Chris Stroud,74.25,297,4
157,158,158,Bill Haas,74.33,223,3
158,159,159,Rod Pampling,74.4,372,5
159,T160,T160,Bud Cauley,75.0,75,1
160,T160,T160,Joel Dahmen,75.0,75,1
161,T160,T160,Conrad Shindler,75.0,75,1
162,T160,T160,Hudson Swafford,75.0,150,2
163,164,164,Shawn Stefani,75.33,226,3
164,T165,T165,Jonas Blixt,76.0,228,3
165,T165,T165,Kyle Thompson,76.0,76,1
166,T165,T165,Andrew Yun,76.0,76,1
167,168,168,Grayson Murray,83.0,83,1
