,Front_9_Round_3_Scoring_Average_RANK THIS WEEK,Front_9_Round_3_Scoring_Average_RANK LAST WEEK,Front_9_Round_3_Scoring_Average_PLAYER NAME,Front_9_Round_3_Scoring_Average_AVG,Front_9_Round_3_Scoring_Average_TOTAL STROKES,Front_9_Round_3_Scoring_Average_TOTAL ROUNDS
0,1,1,Tiger Woods,33.13,530,16
1,2,2,Gary Woodland,33.86,711,21
2,3,3,Sam Ryder,33.93,509,15
3,4,4,Justin Thomas,33.95,679,20
4,T5,T5,Bud Cauley,34.0,374,11
5,T5,T5,Austin Cook,34.0,850,25
6,T5,T5,Webb Simpson,34.0,714,21
7,8,8,Stewart Cink,34.05,647,19
8,9,9,Peter Uihlein,34.07,511,15
9,10,10,Rickie Fowler,34.12,580,17
10,T11,T11,Jason Day,34.13,546,16
11,T11,T11,Billy Hurley III,34.13,273,8
12,13,13,Jordan Spieth,34.18,581,17
13,14,14,Abraham Ancer,34.2,684,20
14,15,15,Patton Kizzire,34.24,582,17
15,T16,T16,Nate Lashley,34.25,274,8
16,T16,T16,Justin Rose,34.25,548,16
17,18,18,Dustin Johnson,34.28,617,18
18,19,19,Rory McIlroy,34.29,480,14
19,T20,T20,Blayne Barber,34.31,446,13
20,T20,T20,Vaughn Taylor,34.31,549,16
21,22,22,Byeong Hun An,34.32,652,19
22,23,23,Chesson Hadley,34.33,721,21
23,24,24,Francesco Molinari,34.38,550,16
24,25,25,Kyle Stanley,34.42,654,19
25,26,26,Satoshi Kodaira,34.43,241,7
26,27,27,Bronson Burgoon,34.45,379,11
27,T28,T28,Chris Kirk,34.46,896,26
28,T28,T28,Trey Mullinax,34.46,448,13
29,30,30,Jon Rahm,34.47,517,15
30,T31,T31,Bryson DeChambeau,34.5,759,22
31,T31,T31,"Ted Potter, Jr.",34.5,552,16
32,T33,T33,William McGirt,34.53,518,15
33,T33,T33,Nick Taylor,34.53,587,17
34,35,35,Sam Saunders,34.54,449,13
35,36,36,Michael Kim,34.56,311,9
36,T37,T37,Ben Martin,34.58,415,12
37,T37,T37,Denny McCarthy,34.58,415,12
38,39,39,Paul Casey,34.59,588,17
39,T40,T40,Ricky Barnes,34.6,346,10
40,T40,T40,Andrew Landry,34.6,519,15
41,42,42,Bubba Watson,34.61,623,18
42,T43,T43,Russell Knox,34.63,658,19
43,T43,T43,Scott Piercy,34.63,554,16
44,T45,T45,Brian Gay,34.64,762,22
45,T45,T45,Emiliano Grillo,34.64,762,22
46,T45,T45,Michael Thompson,34.64,381,11
47,T48,T48,Ryan Blaum,34.67,520,15
48,T48,T48,J.T. Poston,34.67,520,15
49,T48,T48,Brandt Snedeker,34.67,624,18
50,T51,T51,Chez Reavie,34.71,590,17
51,T51,T51,Cameron Smith,34.71,590,17
52,53,53,Brooks Koepka,34.73,521,15
53,T54,T54,Danny Lee,34.75,556,16
54,T54,T54,Aaron Wise,34.75,556,16
55,56,56,Kevin Kisner,34.76,591,17
56,T57,T57,Jonathan Byrd,34.8,348,10
57,T57,T57,Kevin Streelman,34.8,696,20
