,First_Tee_Early_Lowest_Round_RANK THIS WEEK,First_Tee_Early_Lowest_Round_RANK LAST WEEK,First_Tee_Early_Lowest_Round_PLAYER NAME,First_Tee_Early_Lowest_Round_ROUNDS,First_Tee_Early_Lowest_Round_LOW RND
0,T1,T1,Tommy Fleetwood,73,62
1,T1,T1,Brian Gay,103,62
2,T1,T1,Patton Kizzire,92,62
3,T1,T1,Trey Mullinax,75,62
4,T1,T1,Kevin Na,91,62
5,T1,T1,Jon Rahm,71,62
6,T1,T1,Brandt Snedeker,84,62
7,T1,T1,J.J. Spaun,85,62
8,T1,T1,Peter Uihlein,83,62
9,T1,T1,Steve Wheatcroft,60,62
10,T11,T11,Blayne Barber,69,63
11,T11,T11,Keegan Bradley,98,63
12,T11,T11,Bud Cauley,55,63
13,T11,T11,Alex Cejka,77,63
14,T11,T11,Corey Conners,97,63
15,T11,T11,Jim Furyk,50,63
16,T11,T11,Robert Garrigus,80,63
17,T11,T11,Lanto Griffin,80,63
18,T11,T11,Russell Henley,77,63
19,T11,T11,Charley Hoffman,87,63
20,T11,T11,Zach Johnson,94,63
21,T11,T11,Dustin Johnson,77,63
22,T11,T11,Chris Kirk,108,63
23,T11,T11,Brooks Koepka,64,63
24,T11,T11,Phil Mickelson,90,63
25,T11,T11,Martin Piller,79,63
26,T11,T11,"Ted Potter, Jr.",87,63
27,T11,T11,Sam Ryder,82,63
28,T11,T11,Charl Schwartzel,65,63
29,T11,T11,Ben Silverman,90,63
30,T11,T11,Scott Stallings,96,63
31,T11,T11,Nick Taylor,94,63
32,T11,T11,Michael Thompson,62,63
33,T34,T34,Ryan Blaum,81,64
34,T34,T34,Rafa Cabrera Bello,75,64
35,T34,T34,Patrick Cantlay,87,64
36,T34,T34,Kevin Chappell,77,64
37,T34,T34,Stewart Cink,87,64
38,T34,T34,Austin Cook,107,64
39,T34,T34,Joel Dahmen,93,64
40,T34,T34,Talor Gooch,78,64
41,T34,T34,Emiliano Grillo,94,64
42,T34,T34,Bill Haas,76,64
43,T34,T34,Brian Harman,94,64
44,T34,T34,Tyrrell Hatton,58,64
45,T34,T34,David Hearn,66,64
46,T34,T34,Billy Horschel,86,64
47,T34,T34,Beau Hossler,104,64
48,T34,T34,John Huh,94,64
49,T34,T34,Jason Kokrak,99,64
50,T34,T34,Anirban Lahiri,82,64
51,T34,T34,Nicholas Lindheim,77,64
52,T34,T34,Jamie Lovemark,92,64
53,T34,T34,Peter Malnati,87,64
54,T34,T34,Hideki Matsuyama,75,64
55,T34,T34,Rory McIlroy,64,64
56,T34,T34,George McNeill,27,64
57,T34,T34,Francesco Molinari,73,64
58,T34,T34,C.T. Pan,104,64
59,T34,T34,John Peterson,36,64
60,T34,T34,Andrew Putnam,97,64
61,T34,T34,Doc Redman,18,64
62,T34,T34,Patrick Reed,94,64
63,T34,T34,Justin Rose,70,64
64,T34,T34,Rory Sabbatini,91,64
65,T34,T34,Xander Schauffele,96,64
66,T34,T34,Adam Schenk,86,64
67,T34,T34,Adam Scott,78,64
68,T34,T34,Conrad Shindler,60,64
69,T34,T34,Cameron Smith,85,64
70,T34,T34,Jordan Spieth,81,64
71,T34,T34,Robert Streb,78,64
72,T34,T34,Braden Thornberry,10,64
73,T34,T34,Aaron Wise,90,64
74,T34,T34,Gary Woodland,96,64
75,T76,T76,Abraham Ancer,98,65
76,T76,T76,Ryan Armour,109,65
77,T76,T76,Aaron Baddeley,84,65
78,T76,T76,Ricky Barnes,65,65
79,T76,T76,Daniel Berger,81,65
80,T76,T76,Dominic Bozzelli,65,65
81,T76,T76,Scott Brown,102,65
82,T76,T76,Wesley Bryan,69,65
83,T76,T76,Bronson Burgoon,69,65
84,T76,T76,Paul Casey,74,65
85,T76,T76,Tyler Duncan,97,65
86,T76,T76,Derek Fathauer,84,65
87,T76,T76,Matthew Fitzpatrick,43,65
88,T76,T76,Rickie Fowler,74,65
89,T76,T76,Brice Garnett,99,65
90,T76,T76,Lucas Glover,65,65
91,T76,T76,Fabián Gómez,88,65
92,T76,T76,Gavin Kyle Green,20,65
93,T76,T76,Chesson Hadley,103,65
94,T76,T76,Adam Hadwin,92,65
95,T76,T76,Brandon Harkins,101,65
96,T76,T76,Tim Herron,33,65
97,T76,T76,Tom Hoge,101,65
98,T76,T76,Stephan Jaeger,81,65
99,T76,T76,Daisuke Kataoka,8,65
100,T76,T76,Si Woo Kim,108,65
101,T76,T76,Matt Kuchar,88,65
102,T76,T76,Martin Laird,73,65
103,T76,T76,Danny Lee,88,65
104,T76,T76,Marc Leishman,93,65
105,T76,T76,Luke List,98,65
106,T76,T76,Michael Lorenzo-Vera,8,65
107,T76,T76,Hunter Mahan,67,65
108,T76,T76,Maverick McNealy,24,65
109,T76,T76,John Merrick,28,65
110,T76,T76,Keith Mitchell,99,65
111,T76,T76,Yusaku Miyazato,21,65
112,T76,T76,Joaquin Niemann,44,65
113,T76,T76,Seung-Yul Noh,4,65
114,T76,T76,Sean O'Hair,67,65
115,T76,T76,Chris Paisley,12,65
116,T76,T76,Ryan Palmer,69,65
