,Birdie_or_Better_Percentage_-_200_yards_RANK THIS WEEK,Birdie_or_Better_Percentage_-_200_yards_RANK LAST WEEK,Birdie_or_Better_Percentage_-_200_yards_PLAYER NAME,Birdie_or_Better_Percentage_-_200_yards_ROUNDS,Birdie_or_Better_Percentage_-_200_yards_%,Birdie_or_Better_Percentage_-_200_yards_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_200_yards_TOTAL HOLES
0,1,1,Jon Rahm,71,41.3,95,230
1,2,2,Justin Thomas,91,41.03,119,290
2,3,3,Keith Mitchell,99,40.18,131,326
3,4,4,Bryson DeChambeau,93,39.88,130,326
4,5,5,Sam Saunders,80,39.11,106,271
5,6,6,Jason Kokrak,99,38.76,138,356
6,7,7,Cameron Percy,56,38.64,51,132
7,T8,T8,Blayne Barber,69,38.53,84,218
8,T8,T8,Tony Finau,105,38.53,136,353
9,10,10,Dustin Johnson,77,38.2,89,233
10,T11,T11,Tommy Fleetwood,73,38.15,95,249
11,T11,T11,Si Woo Kim,108,38.15,124,325
12,13,13,Justin Rose,70,37.71,89,236
13,T14,T14,Ricky Barnes,65,37.42,61,163
14,T14,T14,Billy Horschel,86,37.42,119,318
15,16,16,Nate Lashley,51,37.3,47,126
16,17,17,Bronson Burgoon,69,37.25,92,247
17,18,18,Jason Day,75,37.0,74,200
18,19,19,Brandon Harkins,101,36.65,118,322
19,20,20,Grayson Murray,72,36.59,90,246
20,21,21,Rory Sabbatini,91,36.33,101,278
21,22,22,Phil Mickelson,90,36.22,113,312
22,23,23,Gary Woodland,96,36.16,111,307
23,24,24,Tom Lovelady,87,36.07,101,280
24,25,25,Luke List,98,36.05,124,344
25,26,26,Jordan Spieth,81,35.92,102,284
26,27,27,Ryan Palmer,69,35.62,83,233
27,28,28,Matt Jones,70,35.59,63,177
28,29,29,Beau Hossler,104,35.31,125,354
29,30,30,Byeong Hun An,86,35.19,101,287
30,31,31,Harold Varner III,91,35.07,94,268
31,32,32,Michael Thompson,62,35.0,63,180
32,T33,T33,Stephan Jaeger,81,34.89,82,235
33,T33,T33,Xander Schauffele,96,34.89,112,321
34,T35,T35,Adam Scott,78,34.88,90,258
35,T35,T35,Nick Taylor,94,34.88,98,281
36,37,37,Jamie Lovemark,92,34.71,109,314
37,38,38,Aaron Wise,90,34.62,117,338
38,39,39,Rory McIlroy,64,34.45,72,209
39,40,40,Branden Grace,67,34.34,68,198
40,41,41,Matt Every,79,34.32,81,236
41,42,42,Denny McCarthy,71,34.31,70,204
42,43,43,Aaron Baddeley,84,34.26,86,251
43,44,44,Chesson Hadley,103,34.23,114,333
44,45,45,Jonathan Byrd,70,34.22,64,187
45,46,46,Kevin Tway,110,34.17,123,360
46,47,47,Patrick Cantlay,87,34.08,106,311
47,48,48,Hideki Matsuyama,75,33.97,89,262
48,49,49,J.T. Poston,73,33.81,71,210
49,50,50,Fabián Gómez,88,33.74,82,243
50,51,51,Scott Piercy,84,33.72,88,261
51,52,52,Kevin Chappell,77,33.71,89,264
52,53,53,Brett Stegmaier,67,33.54,54,161
53,54,54,Jhonattan Vegas,92,33.46,90,269
54,55,55,Kevin Streelman,94,33.44,108,323
55,T56,T56,Martin Laird,73,33.33,75,225
56,T56,T56,Louis Oosthuizen,62,33.33,57,171
57,T56,T56,Kyle Stanley,93,33.33,98,294
58,59,59,Nick Watney,94,33.22,95,286
59,60,60,Sam Ryder,82,33.21,88,265
60,61,61,Hudson Swafford,73,33.16,63,190
61,62,62,Austin Cook,107,33.15,122,368
62,63,63,Chris Kirk,108,33.14,113,341
63,64,64,Stewart Cink,87,33.05,79,239
64,65,65,Paul Casey,74,33.04,75,227
65,66,66,Troy Merritt,89,32.99,97,294
66,67,67,Sean O'Hair,67,32.91,77,234
67,T68,T68,Joel Dahmen,93,32.84,89,271
68,T68,T68,James Hahn,85,32.84,88,268
69,70,70,Bud Cauley,55,32.7,52,159
70,71,71,Matt Atkins,56,32.69,51,156
71,72,72,Rickie Fowler,74,32.59,88,270
72,T73,T73,Zac Blair,64,32.56,56,172
73,T73,T73,Lucas Glover,65,32.56,56,172
74,T73,T73,Trey Mullinax,75,32.56,70,215
75,76,76,Adam Schenk,86,32.53,81,249
76,77,77,Richy Werenski,98,32.46,87,268
77,78,78,Hunter Mahan,67,32.29,62,192
78,79,79,Ryan Moore,78,32.23,88,273
79,80,80,Kiradech Aphibarnrat,51,32.21,48,149
80,81,81,Corey Conners,97,32.18,93,289
81,82,82,Lanto Griffin,80,32.11,70,218
82,83,83,Vaughn Taylor,83,32.1,78,243
83,T84,T84,Ryan Blaum,81,32.04,91,284
84,T84,T84,Marc Leishman,93,32.04,107,334
85,86,86,Scott Stallings,96,32.0,96,300
86,87,87,Harris English,84,31.97,86,269
87,88,88,Dominic Bozzelli,65,31.92,68,213
88,89,89,Patrick Reed,94,31.88,95,298
89,90,90,Jason Dufner,71,31.84,64,201
90,91,91,Cody Gribble,71,31.82,70,220
91,92,92,Emiliano Grillo,94,31.79,96,302
92,93,93,Conrad Shindler,60,31.76,47,148
93,94,94,Patrick Rodgers,97,31.71,91,287
94,95,95,J.B. Holmes,77,31.7,84,265
95,96,96,Bubba Watson,90,31.67,95,300
96,97,97,Patton Kizzire,92,31.51,98,311
97,98,98,Keegan Bradley,98,31.47,107,340
98,99,99,Steve Wheatcroft,60,31.46,56,178
99,100,100,Danny Lee,88,31.23,84,269
100,101,101,Brooks Koepka,64,31.22,74,237
101,102,102,Mackenzie Hughes,80,31.17,77,247
102,103,103,David Lingmerth,82,31.12,75,241
103,104,104,Tyler Duncan,97,31.03,99,319
104,105,105,Cameron Smith,85,30.95,78,252
105,T106,T106,Tom Hoge,101,30.77,96,312
106,T106,T106,Shane Lowry,64,30.77,60,195
107,T106,T106,Ben Martin,64,30.77,68,221
108,T106,T106,Graeme McDowell,67,30.77,56,182
109,T106,T106,Seamus Power,86,30.77,80,260
110,111,111,Kevin Na,91,30.72,90,293
111,112,112,Alex Noren,67,30.71,74,241
112,113,113,Ethan Tracy,72,30.69,58,189
113,T114,T114,Robert Garrigus,80,30.59,78,255
114,T114,T114,William McGirt,84,30.59,78,255
115,116,116,Brice Garnett,99,30.56,92,301
116,T117,T117,Daniel Summerhays,51,30.5,43,141
117,T117,T117,Peter Uihlein,83,30.5,79,259
118,119,119,Jonas Blixt,67,30.48,57,187
119,T120,T120,Abraham Ancer,98,30.47,103,338
120,T120,T120,Tiger Woods,68,30.47,78,256
121,122,122,Shawn Stefani,76,30.45,67,220
122,123,123,J.J. Spaun,85,30.39,86,283
123,124,124,Daniel Berger,81,30.26,82,271
124,125,125,Andrew Yun,51,30.23,39,129
125,T126,T126,Charles Howell III,104,30.13,91,302
126,T126,T126,Chris Stroud,81,30.13,72,239
127,128,128,Rafa Cabrera Bello,75,30.0,63,210
128,129,129,Bill Haas,76,29.88,72,241
129,130,130,Francesco Molinari,73,29.81,79,265
130,131,131,Alex Cejka,77,29.65,67,226
131,132,132,Cameron Tringale,67,29.63,56,189
132,133,133,Pat Perez,82,29.47,61,207
133,134,134,Derek Fathauer,84,29.45,81,275
134,135,135,Robert Streb,78,29.44,68,231
135,136,136,Charley Hoffman,87,29.41,80,272
136,137,137,C.T. Pan,104,29.33,100,341
137,138,138,Sung Kang,89,29.3,75,256
138,139,139,Ben Silverman,90,29.28,77,263
139,140,140,J.J. Henry,81,29.19,61,209
140,141,141,Whee Kim,93,29.18,75,257
141,142,142,Chez Reavie,93,29.11,69,237
142,143,143,Russell Henley,77,29.1,71,244
143,144,144,Peter Malnati,87,29.08,73,251
144,145,145,Martin Flores,92,28.92,72,249
145,146,146,Xinjun Zhang,81,28.87,69,239
146,147,147,Matt Kuchar,88,28.86,71,246
147,148,148,Jimmy Walker,81,28.85,73,253
148,149,149,Brendan Steele,74,28.81,70,243
149,150,150,David Hearn,66,28.65,49,171
150,T151,T151,Ben Crane,65,28.57,52,182
151,T151,T151,Talor Gooch,78,28.57,70,245
152,T151,T151,Henrik Stenson,60,28.57,62,217
153,154,154,Kevin Kisner,89,28.52,75,263
154,155,155,Ian Poulter,73,28.5,59,207
155,156,156,Zecheng Dou,53,28.46,35,123
156,157,157,John Huh,94,28.12,88,313
