,Stroke_Differential_Field_Average_RANK THIS WEEK,Stroke_Differential_Field_Average_RANK LAST WEEK,Stroke_Differential_Field_Average_PLAYER NAME,Stroke_Differential_Field_Average_ROUNDS,Stroke_Differential_Field_Average_STROKE DIFFERENTIAL,Stroke_Differential_Field_Average_PLAYER'S SCORE,Stroke_Differential_Field_Average_FIELD AVERAGE SCORE
0,1,1,Dustin Johnson,77,+2.40,68.54,70.94
1,2,2,Justin Rose,70,+2.13,69.03,71.16
2,3,3,Justin Thomas,91,+1.83,69.06,70.89
3,4,4,Tommy Fleetwood,73,+1.59,69.52,71.11
4,5,5,Tiger Woods,68,+1.56,69.56,71.12
5,T6,T6,Tony Finau,105,+1.54,69.53,71.07
6,T6,T6,Rory McIlroy,64,+1.54,69.52,71.06
7,T8,T8,Jason Day,75,+1.53,69.69,71.22
8,T8,T8,Rickie Fowler,74,+1.53,69.41,70.94
9,10,10,Webb Simpson,95,+1.45,69.25,70.7
10,11,11,Bryson DeChambeau,93,+1.43,69.6,71.03
11,12,12,Henrik Stenson,60,+1.42,69.66,71.08
12,13,13,Brooks Koepka,64,+1.33,69.39,70.72
13,14,14,Jon Rahm,71,+1.18,69.65,70.83
14,T15,T15,Rafa Cabrera Bello,75,+1.13,69.97,71.1
15,T15,T15,Patrick Cantlay,87,+1.13,69.93,71.06
16,T17,T17,Paul Casey,74,+1.12,70.04,71.16
17,T17,T17,Hideki Matsuyama,75,+1.12,69.82,70.94
18,T17,T17,Francesco Molinari,73,+1.12,69.91,71.03
19,T20,T20,Zach Johnson,94,+1.08,69.69,70.77
20,T20,T20,Jordan Spieth,81,+1.08,69.53,70.61
21,22,22,Ryan Moore,78,+1.06,69.96,71.02
22,T23,T23,Alex Noren,67,+1.02,70.37,71.39
23,T23,T23,Patrick Reed,94,+1.02,70.21,71.23
24,25,25,Phil Mickelson,90,+.97,70.06,71.03
25,26,26,Billy Horschel,86,+.94,69.76,70.7
26,27,27,Emiliano Grillo,94,+.91,69.98,70.89
27,28,28,Luke List,98,+.88,70.31,71.19
28,29,29,Charles Howell III,104,+.84,70.11,70.95
29,30,30,Tyrrell Hatton,58,+.83,70.41,71.24
30,T31,T31,Branden Grace,67,+.82,70.55,71.37
31,T31,T31,Chesson Hadley,103,+.82,70.11,70.93
32,33,33,Marc Leishman,93,+.81,70.13,70.94
33,34,34,Byeong Hun An,86,+.79,70.26,71.05
34,35,35,Keegan Bradley,98,+.78,70.16,70.94
35,T36,T36,Kevin Streelman,94,+.77,70.1,70.87
36,T36,T36,Gary Woodland,96,+.77,70.21,70.98
37,T38,T38,Chris Kirk,108,+.74,69.92,70.66
38,T38,T38,Aaron Wise,90,+.74,70.06,70.8
39,T40,T40,Matt Kuchar,88,+.72,70.33,71.05
40,T40,T40,Kevin Na,91,+.72,69.9,70.62
41,T42,T42,Chez Reavie,93,+.71,70.19,70.9
42,T42,T42,Kyle Stanley,93,+.71,70.26,70.97
43,44,44,Louis Oosthuizen,62,+.70,70.48,71.18
44,45,45,Daniel Berger,81,+.68,70.43,71.11
45,T46,T46,Brian Gay,103,+.66,69.92,70.58
46,T46,T46,Adam Scott,78,+.66,70.56,71.22
47,48,48,Jason Kokrak,99,+.62,69.97,70.59
48,T49,T49,Beau Hossler,104,+.59,70.21,70.8
49,T49,T49,Bubba Watson,90,+.59,70.08,70.67
50,51,51,Russell Henley,77,+.58,70.59,71.17
51,52,52,Austin Cook,107,+.57,70.12,70.69
52,T53,T53,Stewart Cink,87,+.56,70.26,70.82
53,T53,T53,Charley Hoffman,87,+.56,70.64,71.2
54,T53,T53,Ian Poulter,73,+.56,70.61,71.17
55,T53,T53,Cameron Smith,85,+.56,70.42,70.98
56,T57,T57,Pat Perez,82,+.55,70.6,71.15
57,T57,T57,Xander Schauffele,96,+.55,70.42,70.97
58,59,59,Peter Uihlein,83,+.52,70.45,70.97
59,60,60,Brandt Snedeker,84,+.51,70.16,70.67
60,61,61,Johnson Wagner,75,+.50,69.94,70.44
61,T62,T62,Joel Dahmen,93,+.49,70.04,70.53
62,T62,T62,Adam Hadwin,92,+.49,70.56,71.05
63,T62,T62,C.T. Pan,104,+.49,70.06,70.55
64,T62,T62,Andrew Putnam,97,+.49,70.1,70.59
65,66,66,Lucas Glover,65,+.47,71.23,71.7
66,67,67,Russell Knox,94,+.45,70.42,70.87
67,T68,T68,Abraham Ancer,98,+.42,70.26,70.68
68,T68,T68,Jamie Lovemark,92,+.42,70.47,70.89
69,70,70,Rory Sabbatini,91,+.41,70.22,70.63
70,71,71,Kevin Tway,110,+.40,70.41,70.81
71,T72,T72,Brian Harman,94,+.39,70.46,70.85
72,T72,T72,Patrick Rodgers,97,+.39,70.67,71.06
73,74,74,J.J. Spaun,85,+.38,70.09,70.47
74,T75,T75,Alex Cejka,77,+.37,70.32,70.69
75,T75,T75,Jim Furyk,50,+.37,70.58,70.95
76,T75,T75,J.B. Holmes,77,+.37,70.75,71.12
77,T75,T75,Shane Lowry,64,+.37,70.95,71.32
78,T79,T79,Brandon Harkins,101,+.36,70.4,70.76
79,T79,T79,Martin Laird,73,+.36,70.4,70.76
80,T81,T81,Bronson Burgoon,69,+.35,70.22,70.57
81,T81,T81,John Huh,94,+.35,70.32,70.67
82,T81,T81,Ollie Schniederjans,91,+.35,70.61,70.96
83,84,84,Anirban Lahiri,82,+.34,70.66,71.0
84,85,85,Kiradech Aphibarnrat,51,+.33,71.24,71.57
85,86,86,Scott Stallings,96,+.32,70.53,70.85
86,T87,T87,Kevin Chappell,77,+.31,70.85,71.16
87,T87,T87,James Hahn,85,+.31,70.48,70.79
88,T87,T87,Hunter Mahan,67,+.31,70.46,70.77
89,90,90,Jimmy Walker,81,+.29,70.86,71.15
90,91,91,Ryan Armour,109,+.28,70.23,70.51
91,92,92,Troy Merritt,89,+.27,70.51,70.78
92,T93,T93,Corey Conners,97,+.26,70.35,70.61
93,T93,T93,Scott Piercy,84,+.26,70.43,70.69
94,T95,T95,Vaughn Taylor,83,+.24,70.3,70.54
95,T95,T95,Nick Watney,94,+.24,70.51,70.75
96,T97,T97,Kevin Kisner,89,+.23,70.4,70.63
97,T97,T97,Peter Malnati,87,+.23,70.46,70.69
98,T97,T97,Seamus Power,86,+.23,70.38,70.61
99,100,100,Aaron Baddeley,84,+.22,70.74,70.96
100,101,101,Nate Lashley,51,+.21,70.6,70.81
101,T102,T102,Denny McCarthy,71,+.20,70.35,70.55
102,T102,T102,J.T. Poston,73,+.20,70.41,70.61
103,T102,T102,Sam Ryder,82,+.20,70.15,70.35
104,T102,T102,Brendan Steele,74,+.20,70.96,71.16
105,T106,T106,Bud Cauley,55,+.19,71.23,71.42
106,T106,T106,William McGirt,84,+.19,70.44,70.63
107,T106,T106,Cameron Percy,56,+.19,70.06,70.25
108,109,109,Graeme McDowell,67,+.17,71.12,71.29
109,110,110,Tom Hoge,101,+.16,70.62,70.78
110,111,111,Trey Mullinax,75,+.15,70.61,70.76
111,112,112,Keith Mitchell,99,+.14,70.3,70.44
112,113,113,Patton Kizzire,92,+.13,70.37,70.5
113,T114,T114,Sam Saunders,80,+.11,70.38,70.49
114,T114,T114,Harold Varner III,91,+.11,70.82,70.93
115,T116,T116,Ben Crane,65,+.10,70.58,70.68
116,T116,T116,Ben Martin,64,+.10,70.83,70.93
117,T116,T116,Brian Stuard,103,+.10,70.67,70.77
118,119,119,David Lingmerth,82,+.09,70.65,70.74
119,120,120,Brice Garnett,99,+.07,70.69,70.76
120,T121,T121,Zac Blair,64,+.04,70.5,70.54
121,T121,T121,Bill Haas,76,+.04,70.86,70.9
122,T121,T121,Michael Thompson,62,+.04,70.43,70.47
123,T124,T124,Fabián Gómez,88,+.03,70.58,70.61
124,T124,T124,Danny Lee,88,+.03,70.66,70.69
125,T126,T126,Blayne Barber,69,+.01,70.13,70.14
126,T126,T126,Shawn Stefani,76,+.01,70.66,70.67
127,128,128,Brett Stegmaier,67,E,70.51,70.51
128,129,129,Jhonattan Vegas,92,-.01,71.22,71.21
129,T130,T130,Matt Jones,70,-.03,70.66,70.63
130,T130,T130,Nick Taylor,94,-.03,70.81,70.78
131,132,132,Talor Gooch,78,-.04,71.0,70.96
132,T133,T133,Harris English,84,-.06,70.79,70.73
133,T133,T133,Andrew Landry,82,-.06,70.71,70.65
134,T133,T133,Ryan Palmer,69,-.06,70.54,70.48
135,T136,T136,Tyler Duncan,97,-.07,70.77,70.7
136,T136,T136,"Ted Potter, Jr.",87,-.07,70.93,70.86
137,T138,T138,Ryan Blaum,81,-.08,70.54,70.46
138,T138,T138,Lanto Griffin,80,-.08,70.65,70.57
139,140,140,Richy Werenski,98,-.09,70.78,70.69
140,141,141,Tom Lovelady,87,-.13,70.85,70.72
141,T142,T142,David Hearn,66,-.14,70.63,70.49
142,T142,T142,Tyrone Van Aswegen,101,-.14,70.91,70.77
143,144,144,Sean O'Hair,67,-.16,71.27,71.11
144,145,145,Ben Silverman,90,-.17,70.9,70.73
145,T146,T146,Jason Dufner,71,-.20,71.31,71.11
146,T146,T146,Si Woo Kim,108,-.20,71.1,70.9
147,T148,T148,Mackenzie Hughes,80,-.21,70.88,70.67
148,T148,T148,Charl Schwartzel,65,-.21,71.72,71.51
149,150,150,Stephan Jaeger,81,-.22,70.88,70.66
150,151,151,Robert Garrigus,80,-.23,70.93,70.7
151,152,152,Whee Kim,93,-.24,70.99,70.75
152,153,153,Kelly Kraft,94,-.25,71.16,70.91
153,T154,T154,Jonathan Byrd,70,-.26,70.68,70.42
154,T154,T154,Adam Schenk,86,-.26,71.04,70.78
155,T156,T156,Scott Brown,102,-.28,70.96,70.68
156,T156,T156,J.J. Henry,81,-.28,70.95,70.67
157,T156,T156,Nicholas Lindheim,77,-.28,70.67,70.39
158,T159,T159,Retief Goosen,60,-.30,71.56,71.26
