,First_Tee_Late_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Scoring_Average_PLAYER NAME,First_Tee_Late_Scoring_Average_ROUNDS,First_Tee_Late_Scoring_Average_AVG,First_Tee_Late_Scoring_Average_TOTAL STROKES,First_Tee_Late_Scoring_Average_TOTAL 1ST TEE LATE ROUNDS
0,1,1,Chris Kirk,108,68.52,1850,27
1,2,2,Justin Rose,70,68.95,2827,41
2,3,3,Emiliano Grillo,94,69.0,1863,27
3,4,4,Brian Gay,103,69.04,1657,24
4,5,5,Joel Dahmen,93,69.07,1865,27
5,6,6,Webb Simpson,95,69.17,3320,48
6,7,7,Abraham Ancer,98,69.2,1730,25
7,8,8,Justin Thomas,91,69.22,3392,49
8,9,9,Rory McIlroy,64,69.27,2286,33
9,10,10,Dustin Johnson,77,69.33,3189,46
10,11,11,Jonathan Byrd,70,69.36,971,14
11,12,12,Xander Schauffele,96,69.49,2849,41
12,13,13,J.T. Poston,73,69.5,1390,20
13,14,14,Francesco Molinari,73,69.56,2226,32
14,15,15,Brett Stegmaier,67,69.58,835,12
15,T16,T16,Bryson DeChambeau,93,69.63,2785,40
16,T16,T16,Brian Harman,94,69.63,2437,35
17,T16,T16,Aaron Wise,90,69.63,2089,30
18,19,19,Rickie Fowler,74,69.65,3343,48
19,20,20,Ryan Moore,78,69.68,2160,31
20,21,21,Tiger Woods,68,69.71,2858,41
21,22,22,Brooks Koepka,64,69.72,2231,32
22,23,23,Russell Knox,94,69.73,1813,26
23,24,24,Jordan Spieth,81,69.74,2441,35
24,25,25,Bubba Watson,90,69.78,2582,37
25,26,26,J.J. Henry,81,69.85,908,13
26,27,27,Jason Day,75,69.87,2725,39
27,T28,T28,Blayne Barber,69,69.88,1118,16
28,T28,T28,Keegan Bradley,98,69.88,2306,33
29,30,30,Chesson Hadley,103,69.9,2167,31
30,31,31,Johnson Wagner,75,69.91,1608,23
31,32,32,Tony Finau,105,69.92,3426,49
32,T33,T33,Billy Horschel,86,69.94,2518,36
33,T33,T33,David Lingmerth,82,69.94,1189,17
34,T35,T35,Hideki Matsuyama,75,69.97,2099,30
35,T35,T35,Kevin Na,91,69.97,2029,29
36,37,37,Henrik Stenson,60,70.03,2101,30
37,T38,T38,Chez Reavie,93,70.04,1751,25
38,T38,T38,Sam Ryder,82,70.04,1611,23
39,40,40,Phil Mickelson,90,70.05,2872,41
40,41,41,Marc Leishman,93,70.08,2523,36
41,42,42,Andrew Putnam,97,70.09,1542,22
42,43,43,J.J. Spaun,85,70.1,1402,20
43,T44,T44,Lanto Griffin,80,70.13,1052,15
44,T44,T44,Kevin Streelman,94,70.13,1613,23
45,46,46,Ryan Blaum,81,70.14,1543,22
46,T47,T47,Anirban Lahiri,82,70.15,1824,26
47,T47,T47,Danny Lee,88,70.15,1894,27
48,49,49,Patrick Cantlay,87,70.17,2456,35
49,50,50,Jim Furyk,50,70.19,1123,16
50,T51,T51,Tommy Fleetwood,73,70.2,2457,35
