,Front_9_Par_5_Scoring_Average_RANK THIS WEEK,Front_9_Par_5_Scoring_Average_RANK LAST WEEK,Front_9_Par_5_Scoring_Average_PLAYER NAME,Front_9_Par_5_Scoring_Average_ROUNDS,Front_9_Par_5_Scoring_Average_AVG,Front_9_Par_5_Scoring_Average_TOTAL STROKES,Front_9_Par_5_Scoring_Average_TOTAL HOLES
0,T1,T1,Bryson DeChambeau,93,4.41,596,135
1,T1,T1,Dustin Johnson,77,4.41,463,105
2,T3,T3,Lanto Griffin,80,4.44,462,104
3,T3,T3,Cameron Percy,56,4.44,311,70
4,T5,T5,Jon Rahm,71,4.45,432,97
5,T5,T5,Jordan Spieth,81,4.45,476,107
6,7,7,Tiger Woods,68,4.46,428,96
7,T8,T8,Rory McIlroy,64,4.47,371,83
8,T8,T8,Sam Saunders,80,4.47,429,96
9,T8,T8,Justin Thomas,91,4.47,492,110
10,T8,T8,Peter Uihlein,83,4.47,510,114
11,12,12,Ricky Barnes,65,4.48,403,90
12,T13,T13,Tony Finau,105,4.5,594,132
13,T13,T13,Conrad Shindler,60,4.5,369,82
14,T13,T13,Steve Wheatcroft,60,4.5,387,86
15,T16,T16,Rickie Fowler,74,4.51,460,102
16,T16,T16,Phil Mickelson,90,4.51,537,119
17,T16,T16,Webb Simpson,95,4.51,528,117
18,T19,T19,Blayne Barber,69,4.52,402,89
19,T19,T19,Jason Day,75,4.52,457,101
20,T19,T19,Keith Mitchell,99,4.52,642,142
21,T19,T19,Scott Piercy,84,4.52,515,114
22,23,23,Gary Woodland,96,4.53,557,123
23,T24,T24,Jamie Lovemark,92,4.54,576,127
24,T24,T24,Rory Sabbatini,91,4.54,595,131
25,T26,T26,Brooks Koepka,64,4.55,355,78
26,T26,T26,Cameron Smith,85,4.55,528,116
27,T28,T28,Lucas Glover,65,4.56,493,108
28,T28,T28,Stephan Jaeger,81,4.56,492,108
29,T28,T28,Patton Kizzire,92,4.56,552,121
30,T28,T28,Russell Knox,94,4.56,639,140
31,T28,T28,Ryan Palmer,69,4.56,415,91
32,T28,T28,Henrik Stenson,60,4.56,392,86
33,T34,T34,Bronson Burgoon,69,4.57,448,98
34,T34,T34,Alex Cejka,77,4.57,434,95
35,T34,T34,Alex Noren,67,4.57,375,82
36,T34,T34,Vaughn Taylor,83,4.57,484,106
37,T34,T34,Bubba Watson,90,4.57,466,102
38,T39,T39,Keegan Bradley,98,4.58,600,131
39,T39,T39,Tommy Fleetwood,73,4.58,394,86
40,T39,T39,Martin Laird,73,4.58,453,99
41,T39,T39,Tom Lovelady,87,4.58,549,120
42,T39,T39,Nick Taylor,94,4.58,604,132
43,T39,T39,Harold Varner III,91,4.58,550,120
44,T45,T45,Fabián Gómez,88,4.59,564,123
45,T45,T45,Tyrrell Hatton,58,4.59,340,74
46,T45,T45,Francesco Molinari,73,4.59,422,92
47,T45,T45,Jonathan Randolph,71,4.59,399,87
48,T45,T45,Justin Rose,70,4.59,468,102
49,T45,T45,Xander Schauffele,96,4.59,587,128
50,T45,T45,Johnson Wagner,75,4.59,477,104
51,T52,T52,Rafa Cabrera Bello,75,4.6,455,99
52,T52,T52,Patrick Cantlay,87,4.6,520,113
53,T52,T52,Paul Casey,74,4.6,460,100
54,T52,T52,James Hahn,85,4.6,557,121
55,T52,T52,Charley Hoffman,87,4.6,520,113
56,T52,T52,Charles Howell III,104,4.6,704,153
57,T52,T52,Jason Kokrak,99,4.6,644,140
58,T52,T52,Luke List,98,4.6,653,142
59,T52,T52,C.T. Pan,104,4.6,644,140
60,T52,T52,Ollie Schniederjans,91,4.6,566,123
61,T52,T52,Ben Silverman,90,4.6,534,116
62,T63,T63,Abraham Ancer,98,4.61,646,140
63,T63,T63,Daniel Berger,81,4.61,479,104
64,T63,T63,Ryan Blaum,81,4.61,475,103
65,T63,T63,Jonathan Byrd,70,4.61,443,96
66,T63,T63,Brandon Harkins,101,4.61,618,134
67,T63,T63,Billy Horschel,86,4.61,562,122
68,T63,T63,Michael Kim,74,4.61,475,103
69,T63,T63,Kevin Kisner,89,4.61,479,104
70,T63,T63,Ian Poulter,73,4.61,443,96
71,T63,T63,Seamus Power,86,4.61,512,111
72,T63,T63,Patrick Rodgers,97,4.61,641,139
73,T63,T63,Shawn Stefani,76,4.61,507,110
74,T75,T75,Bud Cauley,55,4.62,425,92
75,T75,T75,Brice Garnett,99,4.62,674,146
76,T75,T75,David Hearn,66,4.62,397,86
77,T75,T75,Tom Hoge,101,4.62,633,137
78,T75,T75,Beau Hossler,104,4.62,749,162
79,T75,T75,D.A. Points,63,4.62,434,94
80,T75,T75,Hudson Swafford,73,4.62,476,103
81,T75,T75,Kevin Tway,110,4.62,734,159
82,T75,T75,Jhonattan Vegas,92,4.62,619,134
83,T84,T84,Jason Dufner,71,4.63,435,94
84,T84,T84,Harris English,84,4.63,542,117
85,T84,T84,Matt Every,79,4.63,542,117
86,T84,T84,Brian Gay,103,4.63,676,146
87,T84,T84,Bill Haas,76,4.63,509,110
88,T84,T84,Brian Harman,94,4.63,570,123
89,T84,T84,Zach Johnson,94,4.63,597,129
90,T84,T84,Hunter Mahan,67,4.63,482,104
91,T84,T84,Hideki Matsuyama,75,4.63,509,110
92,T84,T84,Troy Merritt,89,4.63,583,126
93,T84,T84,Kyle Stanley,93,4.63,584,126
94,T95,T95,Kiradech Aphibarnrat,51,4.64,297,64
95,T95,T95,Corey Conners,97,4.64,622,134
96,T95,T95,Ben Crane,65,4.64,418,90
97,T95,T95,Martin Flores,92,4.64,575,124
98,T95,T95,Matt Jones,70,4.64,422,91
99,T95,T95,Nate Lashley,51,4.64,353,76
100,T95,T95,Denny McCarthy,71,4.64,427,92
101,T95,T95,Martin Piller,79,4.64,538,116
102,T95,T95,Brendan Steele,74,4.64,455,98
103,T95,T95,Michael Thompson,62,4.64,376,81
104,T95,T95,Xinjun Zhang,81,4.64,510,110
105,T106,T106,Zac Blair,64,4.65,409,88
106,T106,T106,Stewart Cink,87,4.65,595,128
107,T106,T106,Russell Henley,77,4.65,479,103
108,T106,T106,Matt Kuchar,88,4.65,567,122
