,Early_Par_4_Scoring_Average_RANK THIS WEEK,Early_Par_4_Scoring_Average_RANK LAST WEEK,Early_Par_4_Scoring_Average_PLAYER NAME,Early_Par_4_Scoring_Average_ROUNDS,Early_Par_4_Scoring_Average_AVG,Early_Par_4_Scoring_Average_TOTAL STROKES,Early_Par_4_Scoring_Average_TOTAL HOLES
164,T156,T156,Charl Schwartzel,65,4.07,1347,331
165,T166,T166,Ricky Barnes,65,4.08,1298,318
166,T166,T166,Jonas Blixt,67,4.08,1594,391
167,T166,T166,Stephan Jaeger,81,4.08,1737,426
168,T166,T166,Michael Kim,74,4.08,1432,351
169,T166,T166,Shane Lowry,64,4.08,1229,301
170,T166,T166,Xander Schauffele,96,4.08,1773,435
171,T166,T166,Conrad Shindler,60,4.08,1330,326
172,T166,T166,Robert Streb,78,4.08,1766,433
173,T166,T166,Tyrone Van Aswegen,101,4.08,2391,586
174,T166,T166,Harold Varner III,91,4.08,2207,541
175,T166,T166,Jhonattan Vegas,92,4.08,2260,554
176,T177,T177,Matt Atkins,56,4.09,1132,277
177,T177,T177,Cody Gribble,71,4.09,1353,331
178,T177,T177,Sean O'Hair,67,4.09,1251,306
179,T177,T177,Kyle Thompson,50,4.09,1100,269
180,T177,T177,Cameron Tringale,67,4.09,1412,345
181,182,182,Retief Goosen,60,4.1,1210,295
182,T183,T183,Grayson Murray,72,4.11,1438,350
183,T183,T183,Xinjun Zhang,81,4.11,1749,426
184,T185,T185,Greg Chalmers,56,4.12,1140,277
185,T185,T185,Matt Every,79,4.12,1844,448
186,T185,T185,Derek Fathauer,84,4.12,1754,426
187,T185,T185,Satoshi Kodaira,51,4.12,1129,274
188,T185,T185,Jonathan Randolph,71,4.12,1636,397
189,T185,T185,Daniel Summerhays,51,4.12,1042,253
190,191,191,Martin Piller,79,4.13,1694,410
191,192,192,Sung Kang,89,4.14,1917,463
192,193,193,Andrew Yun,51,4.17,993,238
