,Rounds_in_the_60s_RANK THIS WEEK,Rounds_in_the_60s_RANK LAST WEEK,Rounds_in_the_60s_PLAYER NAME,Rounds_in_the_60s_EVENTS,Rounds_in_the_60s_TOTAL RNDS
0,T1,T1,Tony Finau,28,52
1,T1,T1,Dustin Johnson,20,52
2,T3,T3,Beau Hossler,28,51
3,T3,T3,Jason Kokrak,29,51
4,5,5,Webb Simpson,26,50
5,6,6,Justin Thomas,23,49
6,7,7,Gary Woodland,27,48
7,T8,T8,Chesson Hadley,30,47
8,T8,T8,Keith Mitchell,29,47
9,10,10,Chris Kirk,29,46
10,T11,T11,Bryson DeChambeau,26,45
11,T11,T11,Brian Gay,30,45
12,T11,T11,Emiliano Grillo,25,45
13,T14,T14,Marc Leishman,25,44
14,T14,T14,Kevin Streelman,27,44
15,16,16,Ryan Armour,32,43
16,T17,T17,Austin Cook,29,42
17,T17,T17,Billy Horschel,27,42
18,T17,T17,Chez Reavie,28,42
19,T17,T17,Aaron Wise,29,42
20,T21,T21,Abraham Ancer,30,41
21,T21,T21,Rickie Fowler,20,41
22,T21,T21,Phil Mickelson,24,41
23,T21,T21,C.T. Pan,30,41
24,T21,T21,Andrew Putnam,28,41
25,T26,T26,Joel Dahmen,28,40
26,T26,T26,Charles Howell III,28,40
27,T28,T28,Keegan Bradley,27,39
28,T28,T28,Corey Conners,28,39
29,T28,T28,Kevin Tway,31,39
30,T31,T31,Patrick Cantlay,23,38
31,T31,T31,Brian Harman,25,38
32,T31,T31,Zach Johnson,25,38
33,T31,T31,Russell Knox,27,38
34,T31,T31,Patrick Rodgers,30,38
35,T31,T31,Justin Rose,18,38
36,T31,T31,Xander Schauffele,27,38
37,T31,T31,Jordan Spieth,23,38
38,T39,T39,Byeong Hun An,24,37
39,T39,T39,Jason Day,20,37
40,T39,T39,Brandon Harkins,30,37
41,T39,T39,Danny Lee,30,37
42,T43,T43,Stewart Cink,25,36
43,T43,T43,Brooks Koepka,17,36
44,T43,T43,Jamie Lovemark,26,36
45,T43,T43,Jon Rahm,20,36
46,T43,T43,Rory Sabbatini,27,36
47,T48,T48,Tyler Duncan,31,35
48,T48,T48,Brice Garnett,30,35
49,T48,T48,Tom Hoge,31,35
50,T48,T48,Luke List,29,35
51,T48,T48,Kevin Na,26,35
52,T48,T48,J.T. Poston,22,35
53,T48,T48,Sam Ryder,26,35
54,T48,T48,Scott Stallings,30,35
55,T48,T48,Richy Werenski,32,35
56,T57,T57,Tommy Fleetwood,19,34
57,T57,T57,John Huh,29,34
58,T57,T57,Andrew Landry,27,34
59,T57,T57,Brian Stuard,32,34
60,T57,T57,Nick Taylor,30,34
61,T57,T57,Nick Watney,26,34
62,T63,T63,Rafa Cabrera Bello,20,33
63,T63,T63,Whee Kim,30,33
64,T63,T63,Anirban Lahiri,24,33
65,T63,T63,Hideki Matsuyama,21,33
66,T63,T63,Patrick Reed,26,33
67,T63,T63,Cameron Smith,24,33
68,T63,T63,Brandt Snedeker,25,33
69,T63,T63,J.J. Spaun,27,33
70,T63,T63,Kyle Stanley,26,33
71,T72,T72,Scott Brown,32,32
72,T72,T72,Bronson Burgoon,24,32
73,T72,T72,Kevin Kisner,25,32
74,T72,T72,Matt Kuchar,24,32
75,T72,T72,Peter Malnati,28,32
76,T72,T72,Ryan Moore,22,32
77,T72,T72,Bubba Watson,24,32
78,T79,T79,Blayne Barber,22,31
79,T79,T79,Daniel Berger,23,31
80,T79,T79,Ryan Blaum,28,31
81,T79,T79,Fabián Gómez,28,31
82,T79,T79,Adam Hadwin,25,31
83,T79,T79,Russell Henley,23,31
84,T79,T79,Patton Kizzire,29,31
85,T79,T79,Rory McIlroy,18,31
86,T79,T79,Troy Merritt,27,31
87,T79,T79,"Ted Potter, Jr.",28,31
88,T79,T79,Ollie Schniederjans,27,31
89,T79,T79,Vaughn Taylor,25,31
90,T79,T79,Harold Varner III,27,31
91,T92,T92,Paul Casey,20,30
92,T92,T92,James Hahn,26,30
93,T92,T92,Sung Kang,29,30
94,T92,T92,David Lingmerth,26,30
95,T92,T92,Seamus Power,28,30
96,T92,T92,Sam Saunders,26,30
97,T92,T92,Tiger Woods,18,30
98,T99,T99,Si Woo Kim,31,29
99,T99,T99,Pat Perez,23,29
100,T99,T99,Tyrone Van Aswegen,31,29
101,T99,T99,Jimmy Walker,23,29
102,T103,T103,Robert Garrigus,27,28
103,T103,T103,Lanto Griffin,26,28
104,T103,T103,Mackenzie Hughes,28,28
105,T103,T103,William McGirt,26,28
106,T103,T103,Francesco Molinari,20,28
107,T103,T103,Peter Uihlein,26,28
108,T103,T103,Johnson Wagner,21,28
109,T110,T110,Martin Flores,29,27
110,T110,T110,Denny McCarthy,22,27
111,T110,T110,Ben Silverman,28,27
112,T110,T110,Shawn Stefani,25,27
113,T110,T110,Henrik Stenson,16,27
114,T110,T110,Jhonattan Vegas,27,27
115,T116,T116,Alex Cejka,24,26
116,T116,T116,Harris English,31,26
117,T116,T116,Charley Hoffman,25,26
118,T116,T116,J.B. Holmes,24,26
119,T116,T116,Stephan Jaeger,26,26
