,Tenth_Tee_Late_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Scoring_Average_ROUNDS,Tenth_Tee_Late_Scoring_Average_AVG,Tenth_Tee_Late_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Scoring_Average_TOTAL 10TH TEE LATE RNDS.
177,T177,T177,Matt Kuchar,88,72.25,578,8
178,179,179,Danny Lee,88,72.38,941,13
179,180,180,Cameron Tringale,67,72.42,1376,19
180,181,181,Zecheng Dou,53,72.46,942,13
181,182,182,Satoshi Kodaira,51,72.8,728,10
182,183,183,Rod Pampling,62,72.89,1385,19
183,T184,T184,Jason Day,75,73.0,73,1
184,T184,T184,Alex Noren,67,73.0,73,1
185,T184,T184,Steve Wheatcroft,60,73.0,730,10
186,187,187,Michael Kim,74,73.07,1023,14
187,188,188,Andrew Yun,51,73.2,1098,15
188,189,189,Daniel Summerhays,51,73.7,737,10
189,190,190,D.A. Points,63,73.71,1769,24
190,191,191,Greg Chalmers,56,73.81,1181,16
