,First_Tee_Late_Lowest_Round_RANK THIS WEEK,First_Tee_Late_Lowest_Round_RANK LAST WEEK,First_Tee_Late_Lowest_Round_PLAYER NAME,First_Tee_Late_Lowest_Round_ROUNDS,First_Tee_Late_Lowest_Round_LOW RND
0,T1,T1,Chesson Hadley,103,61
1,T1,T1,Marc Leishman,93,61
2,T1,T1,Kevin Na,91,61
3,T1,T1,Webb Simpson,95,61
4,T5,T5,Abraham Ancer,98,62
5,T5,T5,Keegan Bradley,98,62
6,T5,T5,Paul Casey,74,62
7,T5,T5,Stewart Cink,87,62
8,T5,T5,Brian Gay,103,62
9,T5,T5,Branden Grace,67,62
10,T5,T5,James Hahn,85,62
11,T5,T5,Whee Kim,93,62
12,T5,T5,Francesco Molinari,73,62
13,T14,T14,Austin Cook,107,63
14,T14,T14,Bryson DeChambeau,93,63
15,T14,T14,Tommy Fleetwood,73,63
16,T14,T14,Rickie Fowler,74,63
17,T14,T14,Zach Johnson,94,63
18,T14,T14,Chris Kirk,108,63
19,T14,T14,Satoshi Kodaira,51,63
20,T14,T14,Brooks Koepka,64,63
21,T14,T14,Kelly Kraft,94,63
22,T14,T14,Hideki Matsuyama,75,63
23,T14,T14,Rory McIlroy,64,63
24,T14,T14,Keith Mitchell,99,63
25,T14,T14,Ryan Moore,78,63
26,T14,T14,John Oda,24,63
27,T14,T14,Justin Rose,70,63
28,T14,T14,J.J. Spaun,85,63
29,T14,T14,Jordan Spieth,81,63
30,T14,T14,Robert Streb,78,63
31,T14,T14,Bubba Watson,90,63
32,T33,T33,Jonathan Byrd,70,64
33,T33,T33,Rafa Cabrera Bello,75,64
34,T33,T33,Joel Dahmen,93,64
35,T33,T33,Paul Dunne,29,64
36,T33,T33,Lanto Griffin,80,64
37,T33,T33,Emiliano Grillo,94,64
38,T33,T33,Brian Harman,94,64
39,T33,T33,Tyrrell Hatton,58,64
40,T33,T33,David Hearn,66,64
41,T33,T33,Tom Hoge,101,64
