,Sub-Par_Rounds_RANK THIS WEEK,Sub-Par_Rounds_RANK LAST WEEK,Sub-Par_Rounds_PLAYER NAME,Sub-Par_Rounds_EVENTS
0,1,1,Chris Kirk,29
1,2,2,Beau Hossler,28
2,T3,T3,Tony Finau,28
3,T3,T3,Jason Kokrak,29
4,5,5,Chesson Hadley,30
5,6,6,Bryson DeChambeau,26
6,T7,T7,Kevin Streelman,27
7,T7,T7,Justin Thomas,23
8,T9,T9,Charles Howell III,28
9,T9,T9,Luke List,29
10,T9,T9,Webb Simpson,26
11,T12,T12,Ryan Armour,32
12,T12,T12,Marc Leishman,25
13,T14,T14,Austin Cook,29
14,T14,T14,Emiliano Grillo,25
15,T14,T14,Brandon Harkins,30
16,T14,T14,C.T. Pan,30
17,T18,T18,Keegan Bradley,27
18,T18,T18,Billy Horschel,27
19,T18,T18,Dustin Johnson,20
20,T18,T18,Keith Mitchell,29
21,T22,T22,Brian Gay,30
22,T22,T22,Aaron Wise,29
23,T24,T24,Zach Johnson,25
24,T24,T24,Kevin Tway,31
25,T26,T26,Corey Conners,28
26,T26,T26,Phil Mickelson,24
27,T26,T26,Andrew Putnam,28
28,T26,T26,Chez Reavie,28
29,T26,T26,Rory Sabbatini,27
30,T26,T26,Xander Schauffele,27
31,T26,T26,Brian Stuard,32
32,T26,T26,Nick Watney,26
33,T34,T34,Patrick Cantlay,23
34,T34,T34,Joel Dahmen,28
35,T34,T34,Rickie Fowler,20
36,T34,T34,Si Woo Kim,31
37,T34,T34,Jordan Spieth,23
38,T34,T34,Kyle Stanley,26
39,T34,T34,Richy Werenski,32
40,T41,T41,Abraham Ancer,30
41,T41,T41,Adam Hadwin,25
42,T41,T41,Russell Knox,27
43,T41,T41,Danny Lee,30
44,T45,T45,Stewart Cink,25
45,T45,T45,Brice Garnett,30
46,T45,T45,Brian Harman,25
47,T45,T45,Tom Hoge,31
48,T45,T45,Kevin Na,26
49,T45,T45,J.J. Spaun,27
50,T45,T45,Gary Woodland,27
51,T52,T52,Byeong Hun An,24
52,T52,T52,Patton Kizzire,29
53,T52,T52,Jamie Lovemark,26
54,T52,T52,Scott Stallings,30
55,T56,T56,Jason Day,20
56,T56,T56,John Huh,29
57,T56,T56,Ryan Moore,22
58,T56,T56,Jon Rahm,20
59,T56,T56,Patrick Reed,26
60,T56,T56,Justin Rose,18
61,T56,T56,Sam Ryder,26
62,T63,T63,Scott Brown,32
63,T63,T63,Rafa Cabrera Bello,20
64,T63,T63,James Hahn,26
65,T63,T63,Peter Malnati,28
66,T63,T63,Patrick Rodgers,30
67,T68,T68,Ryan Blaum,28
68,T68,T68,Tyler Duncan,31
69,T68,T68,Kevin Kisner,25
70,T68,T68,Hideki Matsuyama,21
71,T68,T68,J.T. Poston,22
72,T68,T68,Brandt Snedeker,25
73,T68,T68,Bubba Watson,24
74,T75,T75,Troy Merritt,27
75,T75,T75,Ben Silverman,28
76,T75,T75,Tyrone Van Aswegen,31
77,T75,T75,Harold Varner III,27
78,T79,T79,Fabián Gómez,28
79,T79,T79,Brooks Koepka,17
80,T79,T79,Matt Kuchar,24
81,T79,T79,Nick Taylor,30
82,T79,T79,Jhonattan Vegas,27
83,T84,T84,Blayne Barber,22
84,T84,T84,Harris English,31
85,T84,T84,Tommy Fleetwood,19
86,T84,T84,Andrew Landry,27
87,T84,T84,"Ted Potter, Jr.",28
88,T84,T84,Seamus Power,28
89,T84,T84,Ollie Schniederjans,27
90,T84,T84,Vaughn Taylor,25
91,T84,T84,Johnson Wagner,21
92,T93,T93,Robert Garrigus,27
93,T93,T93,Russell Henley,23
94,T93,T93,Charley Hoffman,25
95,T93,T93,Whee Kim,30
96,T93,T93,Kelly Kraft,31
97,T93,T93,William McGirt,26
98,T93,T93,Scott Piercy,26
99,T93,T93,Cameron Smith,24
100,T93,T93,Jimmy Walker,23
101,T102,T102,Daniel Berger,23
102,T102,T102,Paul Casey,20
103,T102,T102,Martin Flores,29
104,T102,T102,Tom Lovelady,28
105,T102,T102,Francesco Molinari,20
106,T102,T102,Adam Schenk,28
107,T108,T108,Bronson Burgoon,24
108,T108,T108,Hunter Mahan,21
109,T108,T108,Rory McIlroy,18
110,T108,T108,Sam Saunders,26
111,T108,T108,Adam Scott,21
112,T108,T108,Henrik Stenson,16
113,T114,T114,Sung Kang,29
114,T114,T114,Anirban Lahiri,24
115,T114,T114,Pat Perez,23
116,T114,T114,Shawn Stefani,25
117,T114,T114,Peter Uihlein,26
118,T119,T119,Alex Cejka,24
119,T119,T119,Kevin Chappell,23
120,T119,T119,Derek Fathauer,28
121,T119,T119,Lanto Griffin,26
122,T119,T119,Stephan Jaeger,26
123,T119,T119,David Lingmerth,26
124,T119,T119,Tiger Woods,18
125,T126,T126,Aaron Baddeley,27
126,T126,T126,J.B. Holmes,24
127,T126,T126,Hudson Swafford,22
128,T129,T129,Ben Crane,21
129,T129,T129,Branden Grace,18
130,T129,T129,Nicholas Lindheim,26
131,T129,T129,Ian Poulter,20
132,T133,T133,Zac Blair,20
133,T133,T133,Wesley Bryan,23
134,T133,T133,Chad Campbell,28
135,T133,T133,David Hearn,21
136,T133,T133,J.J. Henry,28
137,T133,T133,Mackenzie Hughes,28
138,T133,T133,Denny McCarthy,22
139,T133,T133,Martin Piller,28
140,T133,T133,Chris Stroud,27
141,T133,T133,Xinjun Zhang,28
142,T143,T143,Martin Laird,22
