,Back_9_Par_3_Scoring_Average_RANK THIS WEEK,Back_9_Par_3_Scoring_Average_RANK LAST WEEK,Back_9_Par_3_Scoring_Average_PLAYER NAME,Back_9_Par_3_Scoring_Average_ROUNDS,Back_9_Par_3_Scoring_Average_AVG,Back_9_Par_3_Scoring_Average_TOTAL STROKES,Back_9_Par_3_Scoring_Average_TOTAL HOLES
0,1,1,David Hearn,66,2.92,350,120
1,T2,T2,Bronson Burgoon,69,2.93,405,138
2,T2,T2,Billy Horschel,86,2.93,474,162
3,4,4,Marc Leishman,93,2.95,519,176
4,T5,T5,Alex Cejka,77,2.96,420,142
5,T5,T5,Emiliano Grillo,94,2.96,545,184
6,T7,T7,Keegan Bradley,98,2.97,565,190
7,T7,T7,Ben Crane,65,2.97,350,118
8,T7,T7,Dustin Johnson,77,2.97,428,144
9,T7,T7,William McGirt,84,2.97,475,160
10,T7,T7,Chez Reavie,93,2.97,517,174
11,T7,T7,Brett Stegmaier,67,2.97,362,122
12,T13,T13,Zac Blair,64,2.98,346,116
13,T13,T13,Jonathan Byrd,70,2.98,370,124
14,T13,T13,Conrad Shindler,60,2.98,334,112
15,T16,T16,Bryson DeChambeau,93,2.99,548,183
16,T16,T16,Nicholas Lindheim,77,2.99,419,140
17,T16,T16,Harold Varner III,91,2.99,545,182
18,T16,T16,Johnson Wagner,75,2.99,413,138
19,T20,T20,Ricky Barnes,65,3.0,354,118
20,T20,T20,Austin Cook,107,3.0,643,214
21,T20,T20,Joel Dahmen,93,3.0,510,170
22,T20,T20,Brian Gay,103,3.0,613,204
23,T20,T20,Branden Grace,67,3.0,396,132
24,T20,T20,Charles Howell III,104,3.0,613,204
25,T20,T20,Jordan Spieth,81,3.0,450,150
26,T27,T27,Scott Brown,102,3.01,601,200
27,T27,T27,Rafa Cabrera Bello,75,3.01,422,140
28,T27,T27,Paul Casey,74,3.01,440,146
29,T27,T27,Tyler Duncan,97,3.01,566,188
30,T27,T27,Tony Finau,105,3.01,595,198
31,T27,T27,Jim Furyk,50,3.01,301,100
32,T27,T27,Russell Henley,77,3.01,433,144
33,T27,T27,Charley Hoffman,87,3.01,488,162
34,T27,T27,Kevin Kisner,89,3.01,457,152
